"anio","tgf","fuente"
"1869","6.8","INDEC"
"1895","6.2","INDEC"
"1914","5.3","INDEC"
"1947","3.3","INDEC"
"1950","3.172135","World Population Prospects (UN)"
"1951","3.169765","World Population Prospects (UN)"
"1952","3.164625","World Population Prospects (UN)"
"1953","3.15898","World Population Prospects (UN)"
"1954","3.14709","World Population Prospects (UN)"
"1955","3.1436","World Population Prospects (UN)"
"1956","3.149645","World Population Prospects (UN)"
"1957","3.138045","World Population Prospects (UN)"
"1958","3.0999","World Population Prospects (UN)"
"1959","3.139665","World Population Prospects (UN)"
"1960","3.13412","World Population Prospects (UN)"
"1961","3.116835","World Population Prospects (UN)"
"1962","3.122305","World Population Prospects (UN)"
"1963","3.10435","World Population Prospects (UN)"
"1964","3.070975","World Population Prospects (UN)"
"1965","3.00221","World Population Prospects (UN)"
"1966","2.96374","World Population Prospects (UN)"
"1967","2.979325","World Population Prospects (UN)"
"1968","3.008425","World Population Prospects (UN)"
"1969","3.04733","World Population Prospects (UN)"
"1970","3.08492","World Population Prospects (UN)"
"1971","3.108445","World Population Prospects (UN)"
"1972","3.136295","World Population Prospects (UN)"
"1973","3.171965","World Population Prospects (UN)"
"1974","3.218485","World Population Prospects (UN)"
"1975","3.273925","World Population Prospects (UN)"
"1976","3.32069","World Population Prospects (UN)"
"1977","3.363225","World Population Prospects (UN)"
"1978","3.36365","World Population Prospects (UN)"
"1979","3.342965","World Population Prospects (UN)"
"1980","3.305265","World Population Prospects (UN)"
"1981","3.2582","World Population Prospects (UN)"
"1982","3.208895","World Population Prospects (UN)"
"1983","3.15177","World Population Prospects (UN)"
"1984","3.117625","World Population Prospects (UN)"
"1985","3.06508","World Population Prospects (UN)"
"1986","3.05252","World Population Prospects (UN)"
"1987","3.03517","World Population Prospects (UN)"
"1988","3.0432","World Population Prospects (UN)"
"1989","3.018","World Population Prospects (UN)"
"1990","3.02931","World Population Prospects (UN)"
"1991","3.00662","World Population Prospects (UN)"
"1992","2.98218","World Population Prospects (UN)"
"1993","2.96137","World Population Prospects (UN)"
"1994","2.931595","World Population Prospects (UN)"
"1995","2.86123","World Population Prospects (UN)"
"1996","2.779715","World Population Prospects (UN)"
"1997","2.705555","World Population Prospects (UN)"
"1998","2.66256","World Population Prospects (UN)"
"1999","2.64509","World Population Prospects (UN)"
"2000","2.593355","World Population Prospects (UN)"
"2001","2.533795","World Population Prospects (UN)"
"2002","2.494865","World Population Prospects (UN)"
"2003","2.453045","World Population Prospects (UN)"
"2004","2.432005","World Population Prospects (UN)"
"2005","2.39172427836418","Dirección de Estadísticas e Información en Salud (DEIS)"
"2006","2.3134232481001","Dirección de Estadísticas e Información en Salud (DEIS)"
"2007","2.29257167998613","Dirección de Estadísticas e Información en Salud (DEIS)"
"2008","2.41674018994487","Dirección de Estadísticas e Información en Salud (DEIS)"
"2009","2.38176065146608","Dirección de Estadísticas e Información en Salud (DEIS)"
"2010","2.38032600672151","Dirección de Estadísticas e Información en Salud (DEIS)"
"2011","2.37433876204723","Dirección de Estadísticas e Información en Salud (DEIS)"
"2012","2.28064312449072","Dirección de Estadísticas e Información en Salud (DEIS)"
"2013","2.32078779794524","Dirección de Estadísticas e Información en Salud (DEIS)"
"2014","2.36648091931182","Dirección de Estadísticas e Información en Salud (DEIS)"
"2015","2.31778222338004","Dirección de Estadísticas e Información en Salud (DEIS)"
"2016","2.19459655307202","Dirección de Estadísticas e Información en Salud (DEIS)"
"2017","2.08685848737523","Dirección de Estadísticas e Información en Salud (DEIS)"
"2018","2.02907561956103","Dirección de Estadísticas e Información en Salud (DEIS)"
"2019","1.84741403561942","Dirección de Estadísticas e Información en Salud (DEIS)"
"2020","1.56461670996754","Dirección de Estadísticas e Información en Salud (DEIS)"
"2021","1.55198865532479","Dirección de Estadísticas e Información en Salud (DEIS)"
"2022","1.45931108456521","Dirección de Estadísticas e Información en Salud (DEIS)"
"2023","1.35472292811567","Dirección de Estadísticas e Información en Salud (DEIS)"
