"anio","tasa_migracion_neta","fuente"
"1870","1.02304147465438",
"1875","0.388016603501173",
"1880","1.17848362670862",
"1885","3.80498279074174",
"1890","0.819412649617372",
"1895","1.37861612198442",
"1900","0.969353367957816",
"1905","2.58215113507471",
"1910","1.96457369817004",
"1915","-0.160389583974989",
"1920","1.03540717216918",
"1925","0.86205585742716",
"1930","0.202651409210411",
"1935","0.242391320305962",
"1940","0.120638651238142",
"1945","0.450512538727563",
"1950","0.402493011884702",
"1955","0.16022124819496",
"1960","0.0343746983384778",
"1965","0.0298166495294012",
"1950","0.35538766047974","World Population Prospects (UN)"
"1951","0.313877242413447","World Population Prospects (UN)"
"1952","0.272045508876072","World Population Prospects (UN)"
"1953","0.231064254675189","World Population Prospects (UN)"
"1954","0.19380113815122","World Population Prospects (UN)"
"1955","0.162331443277845","World Population Prospects (UN)"
"1956","0.137874276297845","World Population Prospects (UN)"
"1957","0.121038836281315","World Population Prospects (UN)"
"1958","0.111792214495776","World Population Prospects (UN)"
"1959","0.105248935278488","World Population Prospects (UN)"
"1960","0.100004684577121","World Population Prospects (UN)"
"1961","0.126998212317543","World Population Prospects (UN)"
"1962","0.149241633826927","World Population Prospects (UN)"
"1963","0.153423828775534","World Population Prospects (UN)"
"1964","0.15861675532224","World Population Prospects (UN)"
"1965","0.163178245336635","World Population Prospects (UN)"
"1966","0.16813120112401","World Population Prospects (UN)"
"1967","0.174178241303731","World Population Prospects (UN)"
"1968","0.181481390771023","World Population Prospects (UN)"
"1969","0.181583754209238","World Population Prospects (UN)"
"1970","0.160626831184614","World Population Prospects (UN)"
"1971","0.146109148258118","World Population Prospects (UN)"
"1972","0.146281123997376","World Population Prospects (UN)"
"1973","0.154072475829978","World Population Prospects (UN)"
"1974","0.130134492863321","World Population Prospects (UN)"
"1975","-0.0204567446520956","World Population Prospects (UN)"
"1976","-0.0389425834886566","World Population Prospects (UN)"
"1977","-0.0549588314348037","World Population Prospects (UN)"
"1978","-0.0540502528401906","World Population Prospects (UN)"
"1979","-0.0370453730553945","World Population Prospects (UN)"
"1980","0.00689714359724451","World Population Prospects (UN)"
"1981","0.0582104548422094","World Population Prospects (UN)"
"1982","0.102391549350507","World Population Prospects (UN)"
"1983","0.157998963776123","World Population Prospects (UN)"
"1984","0.15959164042385","World Population Prospects (UN)"
"1985","0.154563285785567","World Population Prospects (UN)"
"1986","0.125230510989557","World Population Prospects (UN)"
"1987","0.130574302591206","World Population Prospects (UN)"
"1988","0.118292544630782","World Population Prospects (UN)"
"1989","0.0822876353059104","World Population Prospects (UN)"
"1990","0.0479882998791576","World Population Prospects (UN)"
"1991","-0.0256904136929995","World Population Prospects (UN)"
"1992","-0.0391796323370955","World Population Prospects (UN)"
"1993","-0.0481806469453075","World Population Prospects (UN)"
"1994","-0.0540916257190007","World Population Prospects (UN)"
"1995","-0.0565012509260046","World Population Prospects (UN)"
"1996","-0.0576846297437168","World Population Prospects (UN)"
"1997","-0.0574472000950712","World Population Prospects (UN)"
"1998","-0.0558823254481501","World Population Prospects (UN)"
"1999","-0.0549535935655049","World Population Prospects (UN)"
"2000","-0.0612001123018702","World Population Prospects (UN)"
"2001","-0.0629557728718799","World Population Prospects (UN)"
"2002","-0.0596223721841781","World Population Prospects (UN)"
"2003","-0.0584265959738688","World Population Prospects (UN)"
"2004","-0.0576593374738342","World Population Prospects (UN)"
"2005","-0.0562718162297322","World Population Prospects (UN)"
"2006","-0.0507519601111652","World Population Prospects (UN)"
"2007","-0.0452285458471491","World Population Prospects (UN)"
"2008","-0.030964165280614","World Population Prospects (UN)"
"2009","-0.0192927000481289","World Population Prospects (UN)"
"2010","-0.0121171185506618","World Population Prospects (UN)"
"2011","-0.00267668903391415","World Population Prospects (UN)"
"2012","0.0070632788670254","World Population Prospects (UN)"
"2013","0.0123877310502647","World Population Prospects (UN)"
"2014","0.013466879970517","World Population Prospects (UN)"
"2015","0.0125675609906219","World Population Prospects (UN)"
"2016","0.0118791863739104","World Population Prospects (UN)"
"2017","0.0111337167281712","World Population Prospects (UN)"
"2018","0.0128586164442222","World Population Prospects (UN)"
"2019","0.0120004093080129","World Population Prospects (UN)"
"2020","0.000646132559183917","World Population Prospects (UN)"
"2021","0.000692968866431597","World Population Prospects (UN)"
"2022","0.0123084298275472","World Population Prospects (UN)"
"2023","0.00907585665996485","World Population Prospects (UN)"
"2024","0.00755862215903092","World Population Prospects (UN)"
"2025","0.00623536330794682","World Population Prospects (UN)"
