"anosedu","variable","valor"
"0","ila","204349.20312"
"1","ila","640144.87500"
"2","ila","596168.50000"
"3","ila","675203.56250"
"4","ila","482491.68750"
"5","ila","529504.18750"
"6","ila","407923.21875"
"7","ila","564034.37500"
"8","ila","528956.87500"
"9","ila","745535.75000"
"10","ila","833274.87500"
"11","ila","1057630.62500"
"12","ila","1092049.25000"
"13","ila","1550839.25000"
"14","ila","1140678.37500"
"15","ila","1426174.25000"
"16","ila","1334839.37500"
"17","ila","2568496.75000"
"18","ila","2010507.75000"
"19","ila","4674579.50000"
"0","suavizado","411314.45942"
"1","suavizado","475326.51229"
"2","suavizado","502680.18067"
"3","suavizado","518024.90475"
"4","suavizado","535001.51281"
"5","suavizado","560006.99054"
"6","suavizado","594521.62758"
"7","suavizado","640269.58580"
"8","suavizado","707525.33807"
"9","suavizado","792817.71708"
"10","suavizado","890302.13573"
"11","suavizado","998254.04748"
"12","suavizado","1128869.74200"
"13","suavizado","1293054.48770"
"14","suavizado","1515710.51551"
"15","suavizado","1786208.93597"
"16","suavizado","2108520.09563"
"17","suavizado","2507250.71999"
"18","suavizado","3031416.16142"
"19","suavizado","3747353.79146"
