"ano","variable","valor"
"1992","quintil1","2.05741"
"1993","quintil1","1.90040"
"1994","quintil1","1.79732"
"1995","quintil1","1.92341"
"1996","quintil1","1.98118"
"1997","quintil1","1.87903"
"1998","quintil1","1.87903"
"1999","quintil1","1.68958"
"2000","quintil1","1.75930"
"2001","quintil1","1.86450"
"2002","quintil1","1.83573"
"2003","quintil1","1.67050"
"2004","quintil1","1.72932"
"2005","quintil1","1.76844"
"2006","quintil1","1.76531"
"2007","quintil1","1.66414"
"2008","quintil1","1.68850"
"2009","quintil1","1.53787"
"2010","quintil1","1.41071"
"2011","quintil1","1.36999"
"2012","quintil1","1.44999"
"2013","quintil1","1.34197"
"2014","quintil1","1.39470"
"2015","quintil1","1.31037"
"2016","quintil1","1.36975"
"2017","quintil1","1.29232"
"2018","quintil1","1.24655"
"2019","quintil1","1.34641"
"2020","quintil1","1.21298"
"2021","quintil1","1.21924"
"2022","quintil1","1.15030"
"2023","quintil1","1.13356"
"2024","quintil1","1.08829"
"2025","quintil1","1.04788"
"1992","quintil5","1.21399"
"1993","quintil5","1.13319"
"1994","quintil5","1.09224"
"1995","quintil5","1.08890"
"1996","quintil5","1.00984"
"1997","quintil5","1.02827"
"1998","quintil5","1.02827"
"1999","quintil5","1.08054"
"2000","quintil5","1.03536"
"2001","quintil5","0.95965"
"2002","quintil5","0.98311"
"2003","quintil5","0.95504"
"2004","quintil5","0.88538"
"2005","quintil5","0.87524"
"2006","quintil5","0.86908"
"2007","quintil5","0.88777"
"2008","quintil5","0.85170"
"2009","quintil5","0.81078"
"2010","quintil5","0.72470"
"2011","quintil5","0.78615"
"2012","quintil5","0.76608"
"2013","quintil5","0.77245"
"2014","quintil5","0.81620"
"2015","quintil5","0.84466"
"2016","quintil5","0.73354"
"2017","quintil5","0.81596"
"2018","quintil5","0.81233"
"2019","quintil5","0.68996"
"2020","quintil5","0.81333"
"2021","quintil5","0.77712"
"2022","quintil5","0.79569"
"2023","quintil5","0.74557"
"2024","quintil5","0.64285"
"2025","quintil5","0.70082"
