"ano","indice"
"1980","0.629"
"1981","0.632"
"1982","0.634"
"1983","0.637"
"1984","0.64"
"1985","0.643"
"1986","0.646"
"1987","0.642"
"1988","0.638"
"1989","0.647"
"1990","0.657"
"1991","0.666"
"1992","0.662"
"1993","0.668"
"1994","0.667"
"1995","0.675"
"1996","0.67"
"1997","0.672"
"1998","0.675"
"1999","0.67"
"2000","0.667"
"2001","0.67"
"2002","0.668"
"2003","0.672"
"2004","0.66"
"2005","0.674"
"2006","0.682"
"2007","0.681"
"2008","0.672"
"2009","0.674"
"2010","0.671"
"2011","0.668"
"2012","0.667"
"2013","0.676"
"2014","0.675"
"2015","0.67"
"2016","0.663"
"2017","0.651"
"2018","0.657"
"2019","0.653"
"2020","0.647"
"2021","0.657"
"2022","0.639"
"2023","0.629"
