"ano","gini"
"1974","34.81227"
"1975","35.61288"
"1976","36.41349"
"1977","37.21409"
"1978","38.01470"
"1979","38.81531"
"1980","39.61592"
"1981","43.35337"
"1982","42.62109"
"1983","43.63049"
"1984","44.56100"
"1985","41.47197"
"1986","42.50454"
"1987","45.02729"
"1988","45.91124"
"1989","52.26218"
"1990","46.80623"
"1991","46.89018"
"1992","44.77571"
"1993","44.18243"
"1994","45.07498"
"1995","47.85684"
"1996","48.28348"
"1997","48.07425"
"1998","49.94140"
"1999","48.87922"
"2000","50.21395"
"2001","51.99377"
"2002","53.03869"
"2003","52.56350"
"2004","49.60043"
"2005","48.84258"
"2006","47.46762"
"2007","46.90239"
"2008","45.94336"
"2009","44.86003"
"2010","44.21735"
"2011","43.32709"
"2012","42.25587"
"2013","41.93811"
"2014","42.49648"
"2015","41.47236"
"2016","43.78232"
"2017","42.43810"
"2018","43.01913"
"2019","44.23044"
"2020","43.63202"
"2021","42.87531"
"2022","41.71510"
"2023","43.39952"
"2024","43.17483"
"2025","42.86521"
