"ano","variable","valor"
"1992","giniila","40.11208"
"1993","giniila","40.28311"
"1994","giniila","40.48755"
"1995","giniila","44.51784"
"1996","giniila","44.82192"
"1997","giniila","44.18084"
"1998","giniila","46.68723"
"1999","giniila","45.77816"
"2000","giniila","46.47036"
"2001","giniila","48.19547"
"2002","giniila","48.15177"
"2003","giniila","48.10808"
"2004","giniila","45.70277"
"2005","giniila","45.28731"
"2006","giniila","43.23094"
"2007","giniila","43.35538"
"2008","giniila","41.56731"
"2009","giniila","41.19549"
"2010","giniila","40.33998"
"2011","giniila","40.02559"
"2012","giniila","38.83221"
"2013","giniila","38.32116"
"2014","giniila","38.87542"
"2015","giniila","37.80225"
"2016","giniila","40.03605"
"2017","giniila","39.88613"
"2018","giniila","40.34618"
"2019","giniila","41.48477"
"2020","giniila","41.45869"
"2021","giniila","41.26474"
"2022","giniila","41.07079"
"2023","giniila","42.07183"
"2024","giniila","44.16513"
"2025","giniila","43.77341"
"1992","brecha","1.96046"
"1993","brecha","1.93161"
"1994","brecha","1.98057"
"1995","brecha","2.11062"
"1996","brecha","1.95383"
"1997","brecha","1.97981"
"1998","brecha","2.28312"
"1999","brecha","2.07380"
"2000","brecha","2.18626"
"2001","brecha","2.12934"
"2002","brecha","2.22336"
"2003","brecha","2.31739"
"2004","brecha","2.36692"
"2005","brecha","2.36701"
"2006","brecha","2.26292"
"2007","brecha","2.40839"
"2008","brecha","2.10304"
"2009","brecha","2.10227"
"2010","brecha","2.03753"
"2011","brecha","2.06457"
"2012","brecha","1.86539"
"2013","brecha","1.98120"
"2014","brecha","1.83626"
"2015","brecha","1.83629"
"2016","brecha","2.00291"
"2017","brecha","1.86626"
"2018","brecha","2.02359"
"2019","brecha","2.08174"
"2020","brecha","2.37494"
"2021","brecha","2.15502"
"2022","brecha","1.93510"
"2023","brecha","2.10464"
"2024","brecha","2.38230"
"2025","brecha","2.35105"
