"anio","part_salarial_vab"
"1935","35.2939622061927"
"1936","35.7641395191046"
"1937","33.8425452837255"
"1938","35.9890069296277"
"1939","35.3144046980584"
"1940","34.7931211554822"
"1941","34.6193599746234"
"1942","33.5563503976052"
"1943","34.496705023429"
"1944","35.2121922387298"
"1945","36.3671930291438"
"1946","36.5920604396669"
"1947","37.8594949353425"
"1948","42.3159581620729"
"1949","47.0586162749236"
"1950","47.5083510959698"
"1951","44.5646322673038"
"1952","47.6514485390299"
"1953","47.3754748988425"
"1954","48.9802105103028"
"1955","46.0467129275697"
"1956","43.0723303611052"
"1957","41.3756035362491"
"1958","43.2052065582324"
"1959","36.3365292913452"
"1960","35.5086083707829"
"1961","37.5835212951551"
"1962","37.440423852095"
"1963","36.5818391937341"
"1964","36.7658216205257"
"1965","38.3296722482545"
"1966","40.8952049774043"
"1967","41.3653822903162"
"1968","40.4863551400896"
"1969","40.4863551400896"
"1970","41.8151171113624"
"1971","43.0927728529709"
"1972","39.8833016300504"
"1973","43.9104725276003"
"1974","47.6821122768285"
"1975","46.2715803380928"
"1976","29.7131619268469"
"1977","28.5377186445671"
"1978","31.5427649488302"
"1979","34.3536075803689"
"1980","39.5971067439301"
"1981","37.747061230081"
"1982","28.9772322196804"
"1983","33.5256866598066"
"1984","38.9429470042265"
"1985","38.0128136243356"
"1986","39.218920644414"
"1987","38.0025923784027"
"1988","32.176482196668"
"1989","27.8222314292663"
"1990","37.4506450980278"
"1991","41.4778159955778"
"1992","43.9411362653989"
"1993","44.6975084644312"
"1994","40.7977258467291"
"1995","39.2078144718198"
"1996","36.4479683115999"
"1997","35.7080095584975"
"1998","36.4979655246474"
"1999","38.4278579482794"
"2000","37.8878880473668"
"2001","38.9978261770205"
"2002","31.8582241538429"
"2003","31.1782620563974"
"2004","32.5381862512884"
"2005","34.5780725436248"
"2006","37.4679114577681"
"2007","38.6278468004692"
"2008","41.3776935180797"
"2009","46.3774148228259"
"2010","44.837500660964"
"2011","47.2073685594137"
"2012","51.1271500623348"
"2013","51.9971015693606"
"2014","51.1271500623348"
"2015","53.2370324529377"
"2016","51.8371104876087"
"2017","51.7764565632951"
"2018","47.4137840134982"
"2019","46.1769982257363"
"2020","47.9709026962324"
"2021","43.2459941522634"
"2022","43.9334198341751"
"2023","45.457972581195"
