"geocodigoFundar","geonombreFundar","orden","indicador"
"BTN","Bhután","109","0.21000"
"BEN","Benin","108","0.25520"
"MLI","Malí","107","0.28940"
"GTM","Guatemala","106","0.29240"
"ROU","Rumania","105","0.31120"
"ETH","Etiopía","104","0.32230"
"MDG","Madagascar","103","0.34770"
"NPL","Nepal","102","0.38800"
"HUN","Hungría","101","0.39830"
"TGO","Togo","100","0.42220"
"TLS","Timor-Leste","99","0.42380"
"TUR","Turquía","98","0.42430"
"IND","India","97","0.42440"
"BGR","Bulgaria","96","0.42540"
"NGA","Nigeria","95","0.44340"
"HND","Honduras","94","0.44900"
"MNE","Montenegro","93","0.46010"
"BDI","Burundi","92","0.46190"
"GHA","Ghana","91","0.47440"
"MKD","Macedonia del Norte","90","0.47620"
"NER","Níger","89","0.47910"
"GMB","Gambia","88","0.49080"
"ECU","Ecuador","87","0.50670"
"MAR","Marruecos","86","0.50730"
"PAN","Panamá","85","0.50770"
"IRQ","Iraq","84","0.50970"
"PRT","Portugal","83","0.51730"
"CHN","China","82","0.51750"
"ARM","Armenia","81","0.51770"
"AUT","Austria","80","0.51780"
"COD","Rep. Dem. Congo","79","0.51890"
"VNM","Vietnam","78","0.52570"
"DJI","Djibouti","77","0.52740"
"MDA","Moldavia","76","0.52840"
"COL","Colombia","75","0.53210"
"HRV","Croacia","74","0.54970"
"GEO","Georgia","73","0.55050"
"SLV","El Salvador","72","0.55150"
"SRB","Serbia","71","0.55320"
"BIH","Bosnia y Herzegovina","70","0.55370"
"URY","Uruguay","69","0.55920"
"UGA","Uganda","68","0.56130"
"BOL","Bolivia","67","0.56160"
"TZA","Tanzanía","66","0.56780"
"AZE","Azerbaiyán","65","0.58820"
"GAB","Gabón","64","0.58970"
"RUS","Rusia","63","0.59270"
"LKA","Sri Lanka","62","0.59310"
"PRY","Paraguay","61","0.59380"
"NIC","Nicaragua","60","0.59430"
"IDN","Indonesia","59","0.59460"
"MEX","México","58","0.59610"
"TUN","Túnez","57","0.59700"
"ALB","Albania","56","0.60170"
"PER","Perú","55","0.60510"
"EGY","Egipto","54","0.60650"
"CZE","Chequia","53","0.60720"
"LAO","Laos","52","0.60730"
"COM","Comoras","51","0.60780"
"SVK","Eslovaquia","50","0.60900"
"XKX","Kosovo","49","0.60900"
"LVA","Letonia","48","0.61270"
"EST","Estonia","47","0.61450"
"UKR","Ucrania","46","0.62080"
"CHL","Chile","45","0.62460"
"MWI","Malawi","44","0.62890"
"LBR","Liberia","43","0.63090"
"ARG","Argentina","42","0.63540"
"SVN","Eslovenia","41","0.63560"
"KGZ","Kirguistán","40","0.63970"
"BRA","Brasil","39","0.64090"
"CRI","Costa Rica","38","0.64360"
"SWE","Suecia","37","0.64450"
"IRL","Irlanda","36","0.64520"
"POL","Polonia","35","0.65300"
"CHE","Suiza","34","0.65770"
"TWN","Taiwán","33","0.65940"
"KEN","Kenia","32","0.65970"
"KAZ","Kazajstán","31","0.66670"
"ITA","Italia","30","0.66890"
"USA","Estados Unidos","29","0.67150"
"NOR","Noruega","28","0.67380"
"VEN","Venezuela","27","0.67470"
"BLR","Belarús","26","0.68280"
"ESP","España","25","0.68340"
"GRC","Grecia","24","0.68400"
"BEL","Bélgica","23","0.68840"
"LTU","Lituania","22","0.70280"
"MYS","Malasia","21","0.70720"
"DOM","Rep. Dominicana","20","0.71260"
"JPN","Japón","19","0.71360"
"DEU","Alemania","18","0.72740"
"FRA","Francia","17","0.73470"
"CAN","Canadá","16","0.74050"
"NLD","Países Bajos","15","0.75430"
"JOR","Jordania","14","0.75450"
"MNG","Mongolia","13","0.75460"
"FIN","Finlandia","12","0.75540"
"ISL","Islandia","11","0.76050"
"TJK","Tayikistán","10","0.76840"
"AUS","Australia","9","0.76860"
"UZB","Uzbekistán","8","0.78330"
"ZAF","Sudáfrica","7","0.79510"
"CYP","Chipre","6","0.79610"
"DNK","Dinamarca","5","0.79910"
"ISR","Israel","4","0.80020"
"NZL","Nueva Zelanda","3","0.80500"
"KOR","Corea del Sur","2","0.81430"
"GBR","Reino Unido","1","0.82090"
