code,pais,variable,valor
AGO,Angola,gini,42.720001
AGO,Angola,ginial,
AGO,Angola,gininoal,42.720001
AGO,Angola,loggnip,8.4799995
ALB,Albania,gini,28.959999
ALB,Albania,ginial,
ALB,Albania,gininoal,28.959999
ALB,Albania,loggnip,9.25
ARG,Argentina,gini,36.740002
ARG,Argentina,ginial,36.740002
ARG,Argentina,gininoal,
ARG,Argentina,loggnip,9.8699999
ARM,Armenia,gini,32.360001
ARM,Armenia,ginial,
ARM,Armenia,gininoal,32.360001
ARM,Armenia,loggnip,9.1099997
AUS,Australia,gini,32.860001
AUS,Australia,ginial,
AUS,Australia,gininoal,32.860001
AUS,Australia,loggnip,10.54
AUT,Austria,gini,28.93
AUT,Austria,ginial,
AUT,Austria,gininoal,28.93
AUT,Austria,loggnip,10.79
AZE,Azerbaijan,gini,31.790001
AZE,Azerbaijan,ginial,
AZE,Azerbaijan,gininoal,31.790001
AZE,Azerbaijan,loggnip,9.4200001
BDI,Burundi,gini,39.209999
BDI,Burundi,ginial,
BDI,Burundi,gininoal,39.209999
BDI,Burundi,loggnip,6.71
BEL,Belgium,gini,26.67
BEL,Belgium,ginial,
BEL,Belgium,gininoal,26.67
BEL,Belgium,loggnip,10.72
BEN,Benin,gini,47.759998
BEN,Benin,ginial,
BEN,Benin,gininoal,47.759998
BEN,Benin,loggnip,7.6500001
BFA,Burkina Faso,gini,35.299999
BFA,Burkina Faso,ginial,
BFA,Burkina Faso,gininoal,35.299999
BFA,Burkina Faso,loggnip,7.3600001
BGD,Bangladesh,gini,32.130001
BGD,Bangladesh,ginial,
BGD,Bangladesh,gininoal,32.130001
BGD,Bangladesh,loggnip,7.8600001
BGR,Bulgaria,gini,34.830002
BGR,Bulgaria,ginial,
BGR,Bulgaria,gininoal,34.830002
BGR,Bulgaria,loggnip,9.7600002
BIH,Bosnia and Herzegovina,gini,33.830002
BIH,Bosnia and Herzegovina,ginial,
BIH,Bosnia and Herzegovina,gininoal,33.830002
BIH,Bosnia and Herzegovina,loggnip,9.21
BLR,Belarus,gini,26.73
BLR,Belarus,ginial,
BLR,Belarus,gininoal,26.73
BLR,Belarus,loggnip,9.7700005
BLZ,Belize,gini,45.860001
BLZ,Belize,ginial,
BLZ,Belize,gininoal,45.860001
BLZ,Belize,loggnip,8.4499998
BOL,Bolivia,gini,39.419998
BOL,Bolivia,ginial,39.419998
BOL,Bolivia,gininoal,
BOL,Bolivia,loggnip,8.8100004
BRA,Brazil,gini,44.209999
BRA,Brazil,ginial,44.209999
BRA,Brazil,gininoal,
BRA,Brazil,loggnip,9.6300001
BTN,Bhutan,gini,38.810001
BTN,Bhutan,ginial,
BTN,Bhutan,gininoal,38.810001
BTN,Bhutan,loggnip,8.79
BWA,Botswana,gini,60.459999
BWA,Botswana,ginial,
BWA,Botswana,gininoal,60.459999
BWA,Botswana,loggnip,9.3800001
CAF,Central African Republic,gini,56.240002
CAF,Central African Republic,ginial,
CAF,Central African Republic,gininoal,56.240002
CAF,Central African Republic,loggnip,6.71
CAN,Canada,gini,32.259998
CAN,Canada,ginial,
CAN,Canada,gininoal,32.259998
CAN,Canada,loggnip,10.68
CHE,Switzerland,gini,30.780001
CHE,Switzerland,ginial,
CHE,Switzerland,gininoal,30.780001
CHE,Switzerland,loggnip,11.02
CHL,Chile,gini,41.029999
CHL,Chile,ginial,41.029999
CHL,Chile,gininoal,
CHL,Chile,loggnip,10.04
CHN,China,gini,38.59
CHN,China,ginial,
CHN,China,gininoal,38.59
CHN,China,loggnip,9.5699997
CIV,Cote d'Ivoire,gini,41.73
CIV,Cote d'Ivoire,ginial,
CIV,Cote d'Ivoire,gininoal,41.73
CIV,Cote d'Ivoire,loggnip,8.1199999
CMR,Cameroon,gini,46.540001
CMR,Cameroon,ginial,
CMR,Cameroon,gininoal,46.540001
CMR,Cameroon,loggnip,8.0200005
COD,Congo- Dem. Rep.,gini,42.099998
COD,Congo- Dem. Rep.,ginial,
COD,Congo- Dem. Rep.,gininoal,42.099998
COD,Congo- Dem. Rep.,loggnip,6.4499998
COG,Congo- Rep.,gini,48.939999
COG,Congo- Rep.,ginial,
COG,Congo- Rep.,gininoal,48.939999
COG,Congo- Rep.,loggnip,8.2600002
COL,Colombia,gini,43.970001
COL,Colombia,ginial,43.970001
COL,Colombia,gininoal,
COL,Colombia,loggnip,9.5100002
COM,Comoros,gini,44.990002
COM,Comoros,ginial,
COM,Comoros,gininoal,44.990002
COM,Comoros,loggnip,7.3099999
CPV,Cabo Verde,gini,47.189999
CPV,Cabo Verde,ginial,
CPV,Cabo Verde,gininoal,47.189999
CPV,Cabo Verde,loggnip,8.5600004
CRI,Costa Rica,gini,41.470001
CRI,Costa Rica,ginial,41.470001
CRI,Costa Rica,gininoal,
CRI,Costa Rica,loggnip,9.6300001
CYP,Cyprus,gini,33.720001
CYP,Cyprus,ginial,
CYP,Cyprus,gininoal,33.720001
CYP,Cyprus,loggnip,10.29
CZE,Czech Republic,gini,24.58
CZE,Czech Republic,ginial,
CZE,Czech Republic,gininoal,24.58
CZE,Czech Republic,loggnip,10.31
DEU,Germany,gini,29.76
DEU,Germany,ginial,
DEU,Germany,gininoal,29.76
