"ano","variable","valor"
"2006","argentina","45.48074"
"2007","argentina","43.98702"
"2008","argentina","43.46593"
"2009","argentina","43.47819"
"2010","argentina","42.59969"
"2011","argentina","41.49795"
"2012","argentina","40.44295"
"2013","argentina","39.89102"
"2014","argentina","40.07386"
"2015","argentina","39.31392"
"2016","argentina","39.30742"
"2017","argentina","39.74458"
"2018","argentina","40.16141"
"2019","argentina","40.94752"
"2020","argentina","40.02112"
"2021","argentina","39.32515"
"2022","argentina","38.36263"
"2023","argentina","38.54410"
"2024","argentina","39.28537"
"2006","gba","47.55908"
"2007","gba","47.05021"
"2008","gba","45.75961"
"2009","gba","44.85760"
"2010","gba","43.61425"
"2011","gba","42.90312"
"2012","gba","42.47729"
"2013","gba","41.97158"
"2014","gba","42.37140"
"2015","gba","41.78578"
"2016","gba","43.95241"
"2017","gba","43.50742"
"2018","gba","44.02328"
"2019","gba","44.92301"
"2020","gba","46.23034"
"2021","gba","44.03122"
"2022","gba","43.14939"
"2023","gba","44.79391"
"2024","gba","45.50668"
"2006","pampeana","43.68972"
"2007","pampeana","42.22990"
"2008","pampeana","42.19104"
"2009","pampeana","42.17906"
"2010","pampeana","41.70654"
"2011","pampeana","40.66195"
"2012","pampeana","39.50801"
"2013","pampeana","39.00830"
"2014","pampeana","39.72563"
"2015","pampeana","39.16388"
"2016","pampeana","40.17135"
"2017","pampeana","40.78619"
"2018","pampeana","40.77536"
"2019","pampeana","42.17643"
"2020","pampeana","41.14465"
"2021","pampeana","40.48855"
"2022","pampeana","39.51863"
"2023","pampeana","40.43618"
"2024","pampeana","41.39483"
"2006","cuyo","44.02619"
"2007","cuyo","42.57978"
"2008","cuyo","41.52226"
"2009","cuyo","43.38010"
"2010","cuyo","42.15436"
"2011","cuyo","39.37268"
"2012","cuyo","38.54819"
"2013","cuyo","38.17984"
"2014","cuyo","39.49474"
"2015","cuyo","39.07119"
"2016","cuyo","38.52635"
"2017","cuyo","38.88613"
"2018","cuyo","39.15378"
"2019","cuyo","39.33400"
"2020","cuyo","38.37179"
"2021","cuyo","39.03236"
"2022","cuyo","37.44435"
"2023","cuyo","37.32236"
"2024","cuyo","37.34143"
"2006","patagonia","44.99354"
"2007","patagonia","42.57982"
"2008","patagonia","43.01607"
"2009","patagonia","42.92416"
"2010","patagonia","42.25440"
"2011","patagonia","41.26469"
"2012","patagonia","41.05603"
"2013","patagonia","40.13156"
"2014","patagonia","40.21125"
"2015","patagonia","40.01937"
"2016","patagonia","38.51347"
"2017","patagonia","38.08351"
"2018","patagonia","38.53667"
"2019","patagonia","40.02788"
"2020","patagonia","40.87164"
"2021","patagonia","39.27194"
"2022","patagonia","39.14930"
"2023","patagonia","38.83594"
"2024","patagonia","40.49158"
"2006","nea","47.76898"
"2007","nea","46.96767"
"2008","nea","45.60014"
"2009","nea","45.52143"
"2010","nea","44.29855"
"2011","nea","43.36515"
"2012","nea","40.90767"
"2013","nea","41.33412"
"2014","nea","40.51043"
"2015","nea","39.03186"
"2016","nea","39.65230"
"2017","nea","39.65574"
"2018","nea","40.62096"
"2019","nea","41.71232"
"2020","nea","39.26838"
"2021","nea","38.98063"
"2022","nea","37.50303"
"2023","nea","37.07876"
"2024","nea","37.00452"
"2006","noa","47.42697"
"2007","noa","46.03198"
"2008","noa","44.85165"
"2009","noa","44.31390"
"2010","noa","43.07139"
"2011","noa","42.39701"
"2012","noa","41.60916"
"2013","noa","40.42794"
"2014","noa","40.05969"
"2015","noa","38.80297"
"2016","noa","37.99042"
"2017","noa","39.54575"
"2018","noa","40.24011"
"2019","noa","39.32584"
"2020","noa","37.71512"
"2021","noa","37.08852"
"2022","noa","36.02697"
"2023","noa","35.88912"
"2024","noa","36.39917"
