"ano","variable","valor"
"1992","quintil1","66.12293"
"1993","quintil1","66.99129"
"1994","quintil1","64.91035"
"1995","quintil1","66.55491"
"1996","quintil1","65.09377"
"1997","quintil1","61.74895"
"1998","quintil1","61.89062"
"1999","quintil1","63.93509"
"2000","quintil1","63.25143"
"2001","quintil1","63.27726"
"2002","quintil1","62.06425"
"2003","quintil1","63.26496"
"2004","quintil1","63.10767"
"2005","quintil1","63.58666"
"2006","quintil1","65.74427"
"2007","quintil1","60.84835"
"2008","quintil1","63.93626"
"2009","quintil1","61.95209"
"2010","quintil1","58.73812"
"2011","quintil1","58.29480"
"2012","quintil1","58.67924"
"2013","quintil1","61.24412"
"2014","quintil1","63.49435"
"2015","quintil1","63.91542"
"2016","quintil1","62.54937"
"2017","quintil1","59.48660"
"2018","quintil1","59.60974"
"2019","quintil1","61.87260"
"2020","quintil1","60.12398"
"2021","quintil1","58.37535"
"2022","quintil1","58.07002"
"2023","quintil1","60.24185"
"2024","quintil1","59.99291"
"1992","quintil5","77.44708"
"1993","quintil5","78.80714"
"1994","quintil5","80.34891"
"1995","quintil5","79.68416"
"1996","quintil5","79.62110"
"1997","quintil5","79.64353"
"1998","quintil5","79.20609"
"1999","quintil5","82.76602"
"2000","quintil5","80.57769"
"2001","quintil5","80.39675"
"2002","quintil5","81.55847"
"2003","quintil5","80.31570"
"2004","quintil5","78.38090"
"2005","quintil5","75.73706"
"2006","quintil5","76.18994"
"2007","quintil5","76.81669"
"2008","quintil5","75.28270"
"2009","quintil5","75.02489"
"2010","quintil5","74.40663"
"2011","quintil5","74.75825"
"2012","quintil5","72.38311"
"2013","quintil5","71.83095"
"2014","quintil5","74.46742"
"2015","quintil5","75.14096"
"2016","quintil5","75.32408"
"2017","quintil5","75.64404"
"2018","quintil5","76.60290"
"2019","quintil5","76.30415"
"2020","quintil5","76.51829"
"2021","quintil5","76.73243"
"2022","quintil5","72.97204"
"2023","quintil5","69.42323"
"2024","quintil5","68.35952"
"1992","media","74.13300"
"1993","media","74.78984"
"1994","media","73.66808"
"1995","media","73.37572"
"1996","media","73.00919"
"1997","media","72.02020"
"1998","media","72.22365"
"1999","media","73.30227"
"2000","media","73.13595"
"2001","media","73.68619"
"2002","media","73.74465"
"2003","media","72.58366"
"2004","media","71.89652"
"2005","media","70.58102"
"2006","media","71.25210"
"2007","media","71.10982"
"2008","media","70.60974"
"2009","media","70.04781"
"2010","media","69.36896"
"2011","media","68.64266"
"2012","media","67.57103"
"2013","media","68.37243"
"2014","media","70.51326"
"2015","media","71.35402"
"2016","media","71.72877"
"2017","media","69.70849"
"2018","media","70.04380"
"2019","media","69.75278"
"2020","media","69.47658"
"2021","media","69.20038"
"2022","media","67.44994"
"2023","media","66.05535"
"2024","media","66.16160"
