ano,variable,valor
1992,agua,10.1
1992,sanidad,25.3
1992,cloacas,56.0
1993,agua,9.8
1993,sanidad,26.2
1993,cloacas,57.0
1994,agua,8.3
1994,sanidad,24.1
1994,cloacas,56.8
1995,agua,9.5
1995,sanidad,22.3
1995,cloacas,56.2
1996,agua,9.7
1996,sanidad,26.2
1996,cloacas,54.9
1997,agua,10.0
1997,sanidad,34.9
1997,cloacas,54.0
1998,agua,9.4
1998,sanidad,40.7
1998,cloacas,53.3
1999,agua,6.6
1999,sanidad,36.7
1999,cloacas,50.4
2000,agua,8.3
2000,sanidad,37.4
2000,cloacas,50.7
2001,agua,7.7
2001,sanidad,39.5
2001,cloacas,54.3
2002,agua,6.7
2002,sanidad,38.4
2002,cloacas,52.8
2003,agua,8.7
2003,sanidad,38.9
2003,cloacas,53.2
2004,agua,6.0
2004,sanidad,39.4
2004,cloacas,56.6
2005,agua,6.2
2005,sanidad,38.5
2005,cloacas,53.0
2006,agua,6.5
2006,sanidad,37.3
2006,cloacas,52.0
2007,agua,4.5
2007,sanidad,33.8
2007,cloacas,48.8
2008,agua,3.3
2008,sanidad,31.2
2008,cloacas,50.4
2009,agua,2.9
2009,sanidad,28.0
2009,cloacas,48.1
2010,agua,2.7
2010,sanidad,27.0
2010,cloacas,46.5
2011,agua,2.3
2011,sanidad,24.0
2011,cloacas,45.5
2012,agua,1.2
2012,sanidad,20.2
2012,cloacas,40.9
2013,agua,1.2
2013,sanidad,20.4
2013,cloacas,39.0
2014,agua,1.5
2014,sanidad,21.1
2014,cloacas,40.2
2015,agua,1.3
2015,sanidad,20.7
2015,cloacas,38.7
2016,agua,1.3
2016,sanidad,20.0
2016,cloacas,39.2
2017,agua,1.4
2017,sanidad,19.0
2017,cloacas,36.5
2018,agua,0.7
2018,sanidad,20.4
2018,cloacas,40.4
2019,agua,1.5
2019,sanidad,21.3
2019,cloacas,42.4
2020,agua,0.6
2020,sanidad,22.6
2020,cloacas,38.5
2021,agua,0.7
2021,sanidad,15.3
2021,cloacas,30.7
2022,agua,1.2
2022,sanidad,15.9
2022,cloacas,33.6
2023,agua,0.900000000000006
2023,sanidad,17.8
2023,cloacas,33.9
