iso3,anio,intensidad_id_ocde,empleo,share
ARG,1995,Baja intensidad de I+D,11239.79991483688,.91514409
ARG,1995,Media y alta intensidad de I+D,1042.199997901917,.084855884
ARG,1996,Baja intensidad de I+D,11634.40001630783,.91494179
ARG,1996,Media y alta intensidad de I+D,1081.59999370575,.085058197
ARG,1997,Baja intensidad de I+D,12105.00001811981,.91486913
ARG,1997,Media y alta intensidad de I+D,1126.400002479553,.085130826
ARG,1998,Baja intensidad de I+D,12607.79995250702,.91689754
ARG,1998,Media y alta intensidad de I+D,1142.700024604797,.083102435
ARG,1999,Baja intensidad de I+D,12614.69976902008,.91730601
ARG,1999,Media y alta intensidad de I+D,1137.200001716614,.082694031
ARG,2000,Baja intensidad de I+D,12661.6000919342,.91711515
ARG,2000,Media y alta intensidad de I+D,1144.299981117249,.082884848
ARG,2001,Baja intensidad de I+D,12381.79995012283,.91739458
ARG,2001,Media y alta intensidad de I+D,1114.900018692017,.082605377
ARG,2002,Baja intensidad de I+D,12642.70017623901,.916058
ARG,2002,Media y alta intensidad de I+D,1158.499988555908,.083941974
ARG,2003,Baja intensidad de I+D,13139.99998807907,.91622216
ARG,2003,Media y alta intensidad de I+D,1201.500001907349,.083777845
ARG,2004,Baja intensidad de I+D,14762.59978914261,.91633976
ARG,2004,Media y alta intensidad de I+D,1347.7999792099,.083660245
ARG,2005,Baja intensidad de I+D,15480.40006542206,.91613555
ARG,2005,Media y alta intensidad de I+D,1417.099990844727,.083864473
ARG,2006,Baja intensidad de I+D,16056.0000705719,.91248012
ARG,2006,Media y alta intensidad de I+D,1540.00000667572,.087519892
ARG,2007,Baja intensidad de I+D,16460.69975280762,.91442746
ARG,2007,Media y alta intensidad de I+D,1540.399990081787,.085572548
ARG,2008,Baja intensidad de I+D,16665.60002470016,.9183414
ARG,2008,Media y alta intensidad de I+D,1481.900045394897,.081658632
ARG,2009,Baja intensidad de I+D,16889.9000120163,.91975385
ARG,2009,Media y alta intensidad de I+D,1473.600008010864,.080246143
ARG,2010,Baja intensidad de I+D,17046.29988622665,.91748875
ARG,2010,Media y alta intensidad de I+D,1533.000022888184,.082511179
ARG,2011,Baja intensidad de I+D,17449.69979476929,.91897601
ARG,2011,Media y alta intensidad de I+D,1538.499998092651,.081024006
ARG,2012,Baja intensidad de I+D,17652.10029315948,.92055488
ARG,2012,Media y alta intensidad de I+D,1523.399974822998,.079445124
ARG,2013,Baja intensidad de I+D,17673.60000991821,.91422898
ARG,2013,Media y alta intensidad de I+D,1658.100028991699,.085771047
ARG,2014,Baja intensidad de I+D,17846.99981975555,.9128713
ARG,2014,Media y alta intensidad de I+D,1703.399991989136,.087128647
ARG,2015,Baja intensidad de I+D,17926.500187397,.91476202
ARG,2015,Media y alta intensidad de I+D,1670.40000629425,.085237972
ARG,2016,Baja intensidad de I+D,18435.6999835968,.92087328
ARG,2016,Media y alta intensidad de I+D,1584.100009918213,.079126664
ARG,2017,Baja intensidad de I+D,18711.6998796463,.91973794
ARG,2017,Media y alta intensidad de I+D,1632.900009155273,.080262087
ARG,2018,Baja intensidad de I+D,18959.60006523132,.92159033
ARG,2018,Media y alta intensidad de I+D,1613.100009918213,.078409739
ARG,2019,Baja intensidad de I+D,19090.1998090744,.91507483
ARG,2019,Media y alta intensidad de I+D,1771.70001411438,.084925152
ARG,2020,Baja intensidad de I+D,17755.0002887249,.91944796
ARG,2020,Media y alta intensidad de I+D,1555.500030517578,.080552034
AUS,1995,Baja intensidad de I+D,7188.200063228607,.86889571
AUS,1995,Media y alta intensidad de I+D,1084.600014686584,.13110435
AUS,1996,Baja intensidad de I+D,7207.49998998642,.86741203
AUS,1996,Media y alta intensidad de I+D,1101.700006484985,.13258797
AUS,1997,Baja intensidad de I+D,7349.099977970123,.86840057
AUS,1997,Media y alta intensidad de I+D,1113.699995040894,.13159947
AUS,1998,Baja intensidad de I+D,7462.69996547699,.86883682
AUS,1998,Media y alta intensidad de I+D,1126.599992752075,.13116319
AUS,1999,Baja intensidad de I+D,7648.499910354614,.86454988
AUS,1999,Media y alta intensidad de I+D,1198.30001449585,.13545011
AUS,2000,Baja intensidad de I+D,7759.999980926514,.86572361
AUS,2000,Media y alta intensidad de I+D,1203.600011825562,.13427642
AUS,2001,Baja intensidad de I+D,7910.199994087219,.86964452
AUS,2001,Media y alta intensidad de I+D,1185.699981689453,.13035543
AUS,2002,Baja intensidad de I+D,8129.90000629425,.87066275
AUS,2002,Media y alta intensidad de I+D,1207.700004577637,.12933731
AUS,2003,Baja intensidad de I+D,8248.699997901917,.87361789
AUS,2003,Media y alta intensidad de I+D,1193.300008773804,.12638213
AUS,2004,Baja intensidad de I+D,8507.099953651428,.87556738
AUS,2004,Media y alta intensidad de I+D,1209.000019073486,.12443265
AUS,2005,Baja intensidad de I+D,8686.600064277649,.87080216
AUS,2005,Media y alta intensidad de I+D,1288.79997253418,.12919782
AUS,2006,Baja intensidad de I+D,8989.499974250793,.87330967
AUS,2006,Media y alta intensidad de I+D,1304.100011825562,.12669037
AUS,2007,Baja intensidad de I+D,9199.799971580505,.87211818
AUS,2007,Media y alta intensidad de I+D,1349.000005722046,.12788184
AUS,2008,Baja intensidad de I+D,9369.299999237061,.87804812
AUS,2008,Media y alta intensidad de I+D,1301.300025939941,.12195192
AUS,2009,Baja intensidad de I+D,9461.300036430359,.87312782
AUS,2009,Media y alta intensidad de I+D,1374.800022125244,.12687223
AUS,2010,Baja intensidad de I+D,9713.100129127502,.87782985
AUS,2010,Media y alta intensidad de I+D,1351.800004959106,.1221701
AUS,2011,Baja intensidad de I+D,9799.699896812439,.87148726
AUS,2011,Media y alta intensidad de I+D,1445.099969863892,.12851274
AUS,2012,Baja intensidad de I+D,9914.600008964539,.87626612
AUS,2012,Media y alta intensidad de I+D,1400.000007629395,.12373395
AUS,2013,Baja intensidad de I+D,9978.80010175705,.87281442
AUS,2013,Media y alta intensidad de I+D,1454.100027084351,.12718558
AUS,2014,Baja intensidad de I+D,10151.49988746643,.86932135
AUS,2014,Media y alta intensidad de I+D,1526.000001907349,.13067865
AUS,2015,Baja intensidad de I+D,10434.10007858276,.87480086
AUS,2015,Media y alta intensidad de I+D,1493.300003051758,.12519912
AUS,2016,Baja intensidad de I+D,10700.99995994568,.87807399
AUS,2016,Media y alta intensidad de I+D,1485.899980545044,.12192599
AUS,2017,Baja intensidad de I+D,10975.09995174408,.87452388
AUS,2017,Media y alta intensidad de I+D,1574.700037002563,.12547611
AUS,2018,Baja intensidad de I+D,11223.89998483658,.87152904
AUS,2018,Media y alta intensidad de I+D,1654.499982833862,.12847093
AUS,2019,Baja intensidad de I+D,11398.79996204376,.86838073
AUS,2019,Media y alta intensidad de I+D,1727.700016021729,.13161924
