"anio","letra","letra_desc_abrev","porc_mujeres"
"1996","A","Agro","0.0921218546456964"
"1996","B","Pesca","0.101148403967194"
"1996","C","Petróleo y minería","0.0781887378864292"
"1996","D","Industria manufacturera","0.17981172585309"
"1996","E","Electricidad, gas y agua","0.132329316575308"
"1996","F","Construcción","0.045846726722584"
"1996","G","Comercio","0.279633498461818"
"1996","H","Hotelería y restaurantes","0.343072569397249"
"1996","I","Transporte y comunicaciones","0.113376054428833"
"1996","J","Finanzas","0.374549880893926"
"1996","K","Serv. inmobiliarios y profesionales","0.30116860350428"
"1996","M","Enseñanza","0.720907902278614"
"1996","N","Salud","0.711500646748858"
"1996","O","Serv. comunitarios, sociales y personales","0.402141124670738"
"1996","Z","No definido","0.306504473609268"
"1997","A","Agro","0.0930568057175336"
"1997","B","Pesca","0.0929182846053086"
"1997","C","Petróleo y minería","0.0763037038509712"
"1997","D","Industria manufacturera","0.1803556349085"
"1997","E","Electricidad, gas y agua","0.137449912793696"
"1997","F","Construcción","0.0428700448698588"
"1997","G","Comercio","0.284034846438102"
"1997","H","Hotelería y restaurantes","0.356647683777215"
"1997","I","Transporte y comunicaciones","0.115572979377555"
"1997","J","Finanzas","0.396893713272147"
"1997","K","Serv. inmobiliarios y profesionales","0.301955622830737"
"1997","M","Enseñanza","0.733287058462293"
"1997","N","Salud","0.710541305540765"
"1997","O","Serv. comunitarios, sociales y personales","0.405448403599926"
"1997","Z","No definido","0.278870055560963"
"1998","A","Agro","0.0950040885273468"
"1998","B","Pesca","0.0905636531898194"
"1998","C","Petróleo y minería","0.0764127388977722"
"1998","D","Industria manufacturera","0.182296473928915"
"1998","E","Electricidad, gas y agua","0.140810496420942"
"1998","F","Construcción","0.0434193745497133"
"1998","G","Comercio","0.2920755937702"
"1998","H","Hotelería y restaurantes","0.36900299505252"
"1998","I","Transporte y comunicaciones","0.123760885110416"
"1998","J","Finanzas","0.415794379931912"
"1998","K","Serv. inmobiliarios y profesionales","0.305732934908614"
"1998","M","Enseñanza","0.751972785826303"
"1998","N","Salud","0.713807910678637"
"1998","O","Serv. comunitarios, sociales y personales","0.417493997907955"
"1998","Z","No definido","0.277831398927025"
"1999","A","Agro","0.0962798596391624"
"1999","B","Pesca","0.0962291039458153"
"1999","C","Petróleo y minería","0.0773396585204909"
"1999","D","Industria manufacturera","0.18464627308002"
"1999","E","Electricidad, gas y agua","0.14184392460257"
"1999","F","Construcción","0.0437530579715864"
"1999","G","Comercio","0.298642851038946"
"1999","H","Hotelería y restaurantes","0.38088463092347"
"1999","I","Transporte y comunicaciones","0.130869516339263"
"1999","J","Finanzas","0.428703927680721"
"1999","K","Serv. inmobiliarios y profesionales","0.312341704928162"
"1999","M","Enseñanza","0.750323273103939"
"1999","N","Salud","0.717229865175765"
"1999","O","Serv. comunitarios, sociales y personales","0.420354266459321"
"1999","Z","No definido","0.312047515021515"
"2000","A","Agro","0.0974045170644668"
"2000","B","Pesca","0.0962304267640874"
"2000","C","Petróleo y minería","0.070660710889119"
"2000","D","Industria manufacturera","0.187127556401349"
"2000","E","Electricidad, gas y agua","0.147807055828496"
"2000","F","Construcción","0.0497782397939953"
"2000","G","Comercio","0.306625986271537"
"2000","H","Hotelería y restaurantes","0.38950276249916"
"2000","I","Transporte y comunicaciones","0.140764025076918"
"2000","J","Finanzas","0.437522701801071"
"2000","K","Serv. inmobiliarios y profesionales","0.320701765154835"
"2000","M","Enseñanza","0.748647043165205"
"2000","N","Salud","0.719956467033152"
"2000","O","Serv. comunitarios, sociales y personales","0.428392734852751"
"2000","Z","No definido","0.333036816160191"
"2001","A","Agro","0.0981851332690637"
"2001","B","Pesca","0.105482328426665"
"2001","C","Petróleo y minería","0.0694868463172694"
"2001","D","Industria manufacturera","0.187527858656959"
"2001","E","Electricidad, gas y agua","0.152941639083712"
"2001","F","Construcción","0.0537889317468897"
"2001","G","Comercio","0.311765196275868"
"2001","H","Hotelería y restaurantes","0.393913813783894"
"2001","I","Transporte y comunicaciones","0.144158348867636"
"2001","J","Finanzas","0.4397080839665"
"2001","K","Serv. inmobiliarios y profesionales","0.324118365830951"
"2001","M","Enseñanza","0.748008820072432"
"2001","N","Salud","0.720410110138698"
"2001","O","Serv. comunitarios, sociales y personales","0.431801377447056"
"2001","Z","No definido","0.353580238710415"
"2002","A","Agro","0.0953224899919953"
"2002","B","Pesca","0.125734892688128"
"2002","C","Petróleo y minería","0.071969158008886"
"2002","D","Industria manufacturera","0.184734279228018"
"2002","E","Electricidad, gas y agua","0.157762058018243"
"2002","F","Construcción","0.0715833082451747"
"2002","G","Comercio","0.310006836433518"
"2002","H","Hotelería y restaurantes","0.396990177438529"
"2002","I","Transporte y comunicaciones","0.140610047440606"
"2002","J","Finanzas","0.436356859726082"
"2002","K","Serv. inmobiliarios y profesionales","0.322699122264526"
"2002","M","Enseñanza","0.74690686661198"
"2002","N","Salud","0.72189318386609"
"2002","O","Serv. comunitarios, sociales y personales","0.441345863571733"
"2002","Z","No definido","0.355889302849933"
"2003","A","Agro","0.0936192028624853"
"2003","B","Pesca","0.133513668320154"
"2003","C","Petróleo y minería","0.0705867814834773"
"2003","D","Industria manufacturera","0.184367316098046"
"2003","E","Electricidad, gas y agua","0.159783539374866"
"2003","F","Construcción","0.0564249093520917"
"2003","G","Comercio","0.309968836552212"
"2003","H","Hotelería y restaurantes","0.398391158611491"
"2003","I","Transporte y comunicaciones","0.137925355223544"
"2003","J","Finanzas","0.433422942494469"
"2003","K","Serv. inmobiliarios y profesionales","0.311341810818258"
"2003","M","Enseñanza","0.745105092715888"
"2003","N","Salud","0.721325363529701"
"2003","O","Serv. comunitarios, sociales y personales","0.439956354746143"
"2003","Z","No definido","0.331865928682726"
"2004","A","Agro","0.0954647005250674"
"2004","B","Pesca","0.141504045667493"
"2004","C","Petróleo y minería","0.0706114851300566"
"2004","D","Industria manufacturera","0.183249024058026"
"2004","E","Electricidad, gas y agua","0.161300930311093"
"2004","F","Construcción","0.0464162832976309"
"2004","G","Comercio","0.315100685837126"
"2004","H","Hotelería y restaurantes","0.399747212621784"
"2004","I","Transporte y comunicaciones","0.138571477480423"
"2004","J","Finanzas","0.43906363776898"
"2004","K","Serv. inmobiliarios y profesionales","0.310604456296608"
"2004","M","Enseñanza","0.743051202074156"
"2004","N","Salud","0.719417691284783"
"2004","O","Serv. comunitarios, sociales y personales","0.4414749004366"
"2004","Z","No definido","0.348291667911768"
"2005","A","Agro","0.100301502274817"
"2005","B","Pesca","0.155593198256422"
"2005","C","Petróleo y minería","0.0703673986767619"
"2005","D","Industria manufacturera","0.183807262137798"
"2005","E","Electricidad, gas y agua","0.16285781337535"
"2005","F","Construcción","0.0406474482427146"
"2005","G","Comercio","0.321001289854785"
"2005","H","Hotelería y restaurantes","0.400831353002712"
"2005","I","Transporte y comunicaciones","0.140313460666349"
"2005","J","Finanzas","0.445897766968694"
"2005","K","Serv. inmobiliarios y profesionales","0.314588246716926"
"2005","M","Enseñanza","0.742113035280013"
"2005","N","Salud","0.717886769853535"
"2005","O","Serv. comunitarios, sociales y personales","0.442215047773663"
"2005","Z","No definido","0.38376841348611"
"2006","A","Agro","0.103538441022005"
"2006","B","Pesca","0.149856386480316"
"2006","C","Petróleo y minería","0.0725539315974824"
"2006","D","Industria manufacturera","0.183685401110917"
"2006","E","Electricidad, gas y agua","0.163823543142475"
"2006","F","Construcción","0.0385892414112326"
"2006","G","Comercio","0.327851538934266"
"2006","H","Hotelería y restaurantes","0.406862502575981"
"2006","I","Transporte y comunicaciones","0.142300720385498"
"2006","J","Finanzas","0.453482469364729"
"2006","K","Serv. inmobiliarios y profesionales","0.321439201604557"
"2006","M","Enseñanza","0.741223627281154"
"2006","N","Salud","0.718536283844839"
"2006","O","Serv. comunitarios, sociales y personales","0.446606211632712"
"2006","Z","No definido","0.396612564112905"
"2007","A","Agro","0.106432986566836"
"2007","B","Pesca","0.143812030253865"
"2007","C","Petróleo y minería","0.0764355717832176"
"2007","D","Industria manufacturera","0.183802405206987"
"2007","E","Electricidad, gas y agua","0.165384845798451"
"2007","F","Construcción","0.0393400739573411"
"2007","G","Comercio","0.335365117642561"
"2007","H","Hotelería y restaurantes","0.416550572480056"
"2007","I","Transporte y comunicaciones","0.143345491094946"
"2007","J","Finanzas","0.465107181690133"
"2007","K","Serv. inmobiliarios y profesionales","0.326795240693634"
"2007","M","Enseñanza","0.740007235664384"
"2007","N","Salud","0.719485265484781"
"2007","O","Serv. comunitarios, sociales y personales","0.451797774278413"
"2007","Z","No definido","0.415921015157981"
"2008","A","Agro","0.111085618940155"
"2008","B","Pesca","0.140364397601163"
"2008","C","Petróleo y minería","0.0794931247176364"
"2008","D","Industria manufacturera","0.184974887979181"
"2008","E","Electricidad, gas y agua","0.166520265909558"
"2008","F","Construcción","0.0431765808225254"
"2008","G","Comercio","0.342313138497787"
"2008","H","Hotelería y restaurantes","0.429821146440363"
"2008","I","Transporte y comunicaciones","0.144674969349894"
"2008","J","Finanzas","0.474196449246644"
"2008","K","Serv. inmobiliarios y profesionales","0.335103556035838"
"2008","M","Enseñanza","0.739786553946421"
"2008","N","Salud","0.720112178351348"
