anio,letra,letra_desc_abrev,porc_mujeres,porc_varones
2016,AB,Agro y pesca,0.14260552144055,0.85739447855945
2017,AB,Agro y pesca,0.14449075855711,0.85550924144289
2018,AB,Agro y pesca,0.145809823177714,0.854190176822286
2019,AB,Agro y pesca,0.144419083330486,0.855580916669514
2020,AB,Agro y pesca,0.143625595703955,0.856374404296045
2021,AB,Agro y pesca,0.132093057318644,0.867906942681356
2022,AB,Agro y pesca,0.140202696922645,0.859797303077355
2016,C,Petróleo y minería,0.105441225483169,0.894558774516831
2017,C,Petróleo y minería,0.106944712853027,0.893055287146973
2018,C,Petróleo y minería,0.125950640259768,0.874049359740232
2019,C,Petróleo y minería,0.118926487678091,0.881073512321909
2020,C,Petróleo y minería,0.125811837868016,0.874188162131984
2021,C,Petróleo y minería,0.121223130348633,0.878776869651367
2022,C,Petróleo y minería,0.131532390393521,0.868467609606479
2016,D,Industria manufacturera,0.261925747065187,0.738074252934813
2017,D,Industria manufacturera,0.266643488919605,0.733356511080395
2018,D,Industria manufacturera,0.27478226883484,0.72521773116516
2019,D,Industria manufacturera,0.282909347590607,0.717090652409393
2020,D,Industria manufacturera,0.292871742518612,0.707128257481388
2021,D,Industria manufacturera,0.279883078829883,0.720116921170117
2022,D,Industria manufacturera,0.292344776834747,0.707655223165253
2016,E,"Electricidad, gas y agua",0.196744170958628,0.803255829041372
2017,E,"Electricidad, gas y agua",0.172788329669008,0.827211670330992
2018,E,"Electricidad, gas y agua",0.172858097538636,0.827141902461364
2019,E,"Electricidad, gas y agua",0.168907903470933,0.831092096529067
2020,E,"Electricidad, gas y agua",0.171817716071364,0.828182283928636
2021,E,"Electricidad, gas y agua",0.160826098501468,0.839173901498532
2022,E,"Electricidad, gas y agua",0.170142286626147,0.829857713373853
2016,F,Construcción,0.047507887831855,0.952492112168145
2017,F,Construcción,0.0485581182993029,0.951441881700697
2018,F,Construcción,0.0484072129838428,0.951592787016157
2019,F,Construcción,0.0491000400289312,0.950899959971069
2020,F,Construcción,0.0525718142276802,0.94742818577232
2021,F,Construcción,0.0549941595138089,0.945005840486191
2022,F,Construcción,0.0493932677835135,0.950606732216487
2016,G,Comercio,0.389077342275642,0.610922657724358
2017,G,Comercio,0.389221860449329,0.610778139550671
2018,G,Comercio,0.400394543758595,0.599605456241405
2019,G,Comercio,0.398362576974043,0.601637423025957
2020,G,Comercio,0.395361773597271,0.604638226402729
2021,G,Comercio,0.401328070280397,0.598671929719603
2022,G,Comercio,0.409444577523483,0.590555422476517
2016,H,Hotelería y restaurantes,0.484258786548644,0.515741213451355
2017,H,Hotelería y restaurantes,0.481994947837579,0.518005052162421
2018,H,Hotelería y restaurantes,0.484402178195545,0.515597821804455
2019,H,Hotelería y restaurantes,0.500292150347601,0.499707849652399
