anio,iso3,iso3_desc_fundar,es_agregacion,particip_bys_alta_intensidad,geocodigoFundar,geonombreFundar
1995,A5_A7,América del Sur y Central,1,0.138143304614988,ZSCA,América del Sur y Central
1996,A5_A7,América del Sur y Central,1,0.13437668976271,ZSCA,América del Sur y Central
1997,A5_A7,América del Sur y Central,1,0.136377198972226,ZSCA,América del Sur y Central
1998,A5_A7,América del Sur y Central,1,0.133570361721366,ZSCA,América del Sur y Central
1999,A5_A7,América del Sur y Central,1,0.131391740754258,ZSCA,América del Sur y Central
2000,A5_A7,América del Sur y Central,1,0.14393793228819,ZSCA,América del Sur y Central
2001,A5_A7,América del Sur y Central,1,0.142435444775484,ZSCA,América del Sur y Central
2002,A5_A7,América del Sur y Central,1,0.145985668608473,ZSCA,América del Sur y Central
2003,A5_A7,América del Sur y Central,1,0.153018996345229,ZSCA,América del Sur y Central
2004,A5_A7,América del Sur y Central,1,0.158106857757983,ZSCA,América del Sur y Central
2005,A5_A7,América del Sur y Central,1,0.155903014705971,ZSCA,América del Sur y Central
2006,A5_A7,América del Sur y Central,1,0.156032733752177,ZSCA,América del Sur y Central
2007,A5_A7,América del Sur y Central,1,0.154311595747521,ZSCA,América del Sur y Central
2008,A5_A7,América del Sur y Central,1,0.152223139329948,ZSCA,América del Sur y Central
2009,A5_A7,América del Sur y Central,1,0.141468398334581,ZSCA,América del Sur y Central
2010,A5_A7,América del Sur y Central,1,0.137977924597988,ZSCA,América del Sur y Central
2011,A5_A7,América del Sur y Central,1,0.135558066298224,ZSCA,América del Sur y Central
2012,A5_A7,América del Sur y Central,1,0.130492841916366,ZSCA,América del Sur y Central
2013,A5_A7,América del Sur y Central,1,0.130387565511978,ZSCA,América del Sur y Central
2014,A5_A7,América del Sur y Central,1,0.127517472968153,ZSCA,América del Sur y Central
2015,A5_A7,América del Sur y Central,1,0.12324996168753,ZSCA,América del Sur y Central
2016,A5_A7,América del Sur y Central,1,0.120436818504069,ZSCA,América del Sur y Central
2017,A5_A7,América del Sur y Central,1,0.119534700842747,ZSCA,América del Sur y Central
2018,A5_A7,América del Sur y Central,1,0.122582564538352,ZSCA,América del Sur y Central
2019,A5_A7,América del Sur y Central,1,0.12197896120595,ZSCA,América del Sur y Central
2020,A5_A7,América del Sur y Central,1,0.123719978247956,ZSCA,América del Sur y Central
1995,APEC,Cooperación Económica Asia-Pacífico,1,0.190661123757647,APEC,Cooperación Económica Asia-Pacífico
1996,APEC,Cooperación Económica Asia-Pacífico,1,0.191054239503796,APEC,Cooperación Económica Asia-Pacífico
1997,APEC,Cooperación Económica Asia-Pacífico,1,0.193011612639184,APEC,Cooperación Económica Asia-Pacífico
1998,APEC,Cooperación Económica Asia-Pacífico,1,0.19444077885715,APEC,Cooperación Económica Asia-Pacífico
1999,APEC,Cooperación Económica Asia-Pacífico,1,0.193879466960885,APEC,Cooperación Económica Asia-Pacífico
