anio,tamanio_cod,tamanio_desc,tasa_informalidad
2003,1,Hasta 5 ocupados,.75992835
2003,2,Entre 6 y 10 ocupados,.6187349
2003,3,Entre 11 y 25 ocupados,.42370492
2003,4,Entre 26 y 40 ocupados,.29464459
2003,5,Entre 41 y 100 ocupados,.18771812
2003,6,Más de 100 ocupados,.1606995
2004,1,Hasta 5 ocupados,.76253796
2004,2,Entre 6 y 10 ocupados,.60091758
2004,3,Entre 11 y 25 ocupados,.39877337
2004,4,Entre 26 y 40 ocupados,.25317046
2004,5,Entre 41 y 100 ocupados,.17228019
2004,6,Más de 100 ocupados,.12549827
2005,1,Hasta 5 ocupados,.74287039
2005,2,Entre 6 y 10 ocupados,.57629919
2005,3,Entre 11 y 25 ocupados,.37198132
2005,4,Entre 26 y 40 ocupados,.24875657
2005,5,Entre 41 y 100 ocupados,.15439543
2005,6,Más de 100 ocupados,.12319634
2006,1,Hasta 5 ocupados,.73681992
2006,2,Entre 6 y 10 ocupados,.52486193
2006,3,Entre 11 y 25 ocupados,.3233799
2006,4,Entre 26 y 40 ocupados,.21652547
2006,5,Entre 41 y 100 ocupados,.13354862
2006,6,Más de 100 ocupados,.11044201
2007,1,Hasta 5 ocupados,.71212262
2007,2,Entre 6 y 10 ocupados,.48726097
2007,3,Entre 11 y 25 ocupados,.28505066
2007,4,Entre 26 y 40 ocupados,.18341993
2007,5,Entre 41 y 100 ocupados,.12243584
2007,6,Más de 100 ocupados,.093782999
2008,1,Hasta 5 ocupados,.69438881
2008,2,Entre 6 y 10 ocupados,.43682006
2008,3,Entre 11 y 25 ocupados,.24842481
2008,4,Entre 26 y 40 ocupados,.16909796
2008,5,Entre 41 y 100 ocupados,.12297107
2008,6,Más de 100 ocupados,.075287409
2009,1,Hasta 5 ocupados,.67318195
2009,2,Entre 6 y 10 ocupados,.42687756
2009,3,Entre 11 y 25 ocupados,.23184608
2009,4,Entre 26 y 40 ocupados,.16294502
2009,5,Entre 41 y 100 ocupados,.092279248
2009,6,Más de 100 ocupados,.075785853
2010,1,Hasta 5 ocupados,.66387647
2010,2,Entre 6 y 10 ocupados,.40647888
2010,3,Entre 11 y 25 ocupados,.23557289
2010,4,Entre 26 y 40 ocupados,.15029173
2010,5,Entre 41 y 100 ocupados,.097738303
2010,6,Más de 100 ocupados,.077977784
2011,1,Hasta 5 ocupados,.66441596
2011,2,Entre 6 y 10 ocupados,.42361221
2011,3,Entre 11 y 25 ocupados,.23919116
2011,4,Entre 26 y 40 ocupados,.14827344
2011,5,Entre 41 y 100 ocupados,.097846903
2011,6,Más de 100 ocupados,.067406885
2012,1,Hasta 5 ocupados,.67603093
2012,2,Entre 6 y 10 ocupados,.41405252
2012,3,Entre 11 y 25 ocupados,.25105613
2012,4,Entre 26 y 40 ocupados,.13544117
2012,5,Entre 41 y 100 ocupados,.094142683
2012,6,Más de 100 ocupados,.076059073
2013,1,Hasta 5 ocupados,.66662872
2013,2,Entre 6 y 10 ocupados,.39769453
2013,3,Entre 11 y 25 ocupados,.23462386
2013,4,Entre 26 y 40 ocupados,.16652285
2013,5,Entre 41 y 100 ocupados,.10050724
2013,6,Más de 100 ocupados,.068088546
2014,1,Hasta 5 ocupados,.67194057
2014,2,Entre 6 y 10 ocupados,.3852658
2014,3,Entre 11 y 25 ocupados,.23916836
2014,4,Entre 26 y 40 ocupados,.16193035
2014,5,Entre 41 y 100 ocupados,.099120595
2014,6,Más de 100 ocupados,.073343217
2015,1,Hasta 5 ocupados,.6787014
2015,2,Entre 6 y 10 ocupados,.4004699
2015,3,Entre 11 y 25 ocupados,.22026411
2015,4,Entre 26 y 40 ocupados,.15259013
2015,5,Entre 41 y 100 ocupados,.086162172
2015,6,Más de 100 ocupados,.055841267
2016,1,Hasta 5 ocupados,.6806711
2016,2,Entre 6 y 10 ocupados,.39837843
2016,3,Entre 11 y 25 ocupados,.23370828
2016,4,Entre 26 y 40 ocupados,.14103404
2016,5,Entre 41 y 100 ocupados,.099179596
2016,6,Más de 100 ocupados,.057009105
2017,1,Hasta 5 ocupados,.7043547
2017,2,Entre 6 y 10 ocupados,.40609428
2017,3,Entre 11 y 25 ocupados,.2382378
2017,4,Entre 26 y 40 ocupados,.15614548
2017,5,Entre 41 y 100 ocupados,.090163194
2017,6,Más de 100 ocupados,.063830204
2018,1,Hasta 5 ocupados,.68669081
2018,2,Entre 6 y 10 ocupados,.42036277
2018,3,Entre 11 y 25 ocupados,.24166356
2018,4,Entre 26 y 40 ocupados,.14187415
2018,5,Entre 41 y 100 ocupados,.10766655
2018,6,Más de 100 ocupados,.078000598
2019,1,Hasta 5 ocupados,.70340985
2019,2,Entre 6 y 10 ocupados,.4410609
2019,3,Entre 11 y 25 ocupados,.24438849
2019,4,Entre 26 y 40 ocupados,.14974523
2019,5,Entre 41 y 100 ocupados,.10664981
2019,6,Más de 100 ocupados,.080768697
2020,1,Hasta 5 ocupados,.67857617
2020,2,Entre 6 y 10 ocupados,.41003442
2020,3,Entre 11 y 25 ocupados,.20156063
2020,4,Entre 26 y 40 ocupados,.12604699
2020,5,Entre 41 y 100 ocupados,.092872255
2020,6,Más de 100 ocupados,.070275359
2021,1,Hasta 5 ocupados,.71735078
2021,2,Entre 6 y 10 ocupados,.4206875
2021,3,Entre 11 y 25 ocupados,.26538038
2021,4,Entre 26 y 40 ocupados,.14415522
2021,5,Entre 41 y 100 ocupados,.093617178
2021,6,Más de 100 ocupados,.061495677
2022,1,Hasta 5 ocupados,.73040926
2022,2,Entre 6 y 10 ocupados,.48034155
2022,3,Entre 11 y 25 ocupados,.26799196
2022,4,Entre 26 y 40 ocupados,.16978051
2022,5,Entre 41 y 100 ocupados,.10402963
2022,6,Más de 100 ocupados,.089717828
2023,1,Hasta 5 ocupados,.73538202
2023,2,Entre 6 y 10 ocupados,.46317384
2023,3,Entre 11 y 25 ocupados,.26829705
2023,4,Entre 26 y 40 ocupados,.16319494
2023,5,Entre 41 y 100 ocupados,.11668538
2023,6,Más de 100 ocupados,.080827542
