anio,letra_desc,vab,letra
1900,Agro,3830.615,A
1900,Pesca,18.822,B
1900,Petróleo y minería,48.984,C
1900,Industria manufacturera,2455.418,D
1900,"Electricidad, gas y agua",6.583,E
1900,Construcción,993.361,F
1900,"Comercio, hoteles y restaurantes",3991.111,GH
1900,Transporte y comunicaciones,375.766,I
1900,Finanzas,286.015,J
1900,Act. inmobiliarias y empresariales,4395.242,K
1900,Adm. pública y defensa,1032.702,L
1900,Otros servicios,1713.747,Z
1901,Agro,4736.475,A
1901,Pesca,19.719,B
1901,Petróleo y minería,48.984,C
1901,Industria manufacturera,2455.418,D
1901,"Electricidad, gas y agua",7.461,E
1901,Construcción,957.457,F
1901,"Comercio, hoteles y restaurantes",4035.302,GH
1901,Transporte y comunicaciones,395.653,I
1901,Finanzas,305.082,J
1901,Act. inmobiliarias y empresariales,4516.397,K
1901,Adm. pública y defensa,1090.765,L
1901,Otros servicios,1803.837,Z
1902,Agro,4323.551,A
1902,Pesca,19.719,B
1902,Petróleo y minería,48.984,C
1902,Industria manufacturera,2598.828,D
1902,"Electricidad, gas y agua",8.338,E
1902,Construcción,864.703,F
1902,"Comercio, hoteles y restaurantes",3991.111,GH
1902,Transporte y comunicaciones,399.84,I
1902,Finanzas,326.269,J
1902,Act. inmobiliarias y empresariales,4637.552,K
1902,Adm. pública y defensa,1150.903,L
1902,Otros servicios,1891.879,Z
1903,Agro,5363.718,A
1903,Pesca,20.615,B
1903,Petróleo y minería,51.562,C
1903,Industria manufacturera,2864.331,D
1903,"Electricidad, gas y agua",9.216,E
1903,Construcción,896.12,F
1903,"Comercio, hoteles y restaurantes",4684.207,GH
1903,Transporte y comunicaciones,457.408,I
1903,Finanzas,351.692,J
1903,Act. inmobiliarias y empresariales,4745.246,K
1903,Adm. pública y defensa,1206.892,L
1903,Otros servicios,1994.253,Z
1904,Agro,5636.619,A
1904,Pesca,21.511,B
1904,Petróleo y minería,56.719,C
1904,Industria manufacturera,3141.462,D
1904,"Electricidad, gas y agua",10.094,E
1904,Construcción,1313.511,F
1904,"Comercio, hoteles y restaurantes",5609.884,GH
1904,Transporte y comunicaciones,502.417,I
1904,Finanzas,377.116,J
1904,Act. inmobiliarias y empresariales,4839.477,K
1904,Adm. pública y defensa,1260.809,L
1904,Otros servicios,2065.915,Z
1905,Agro,5810.933,A
1905,Pesca,22.408,B
1905,Petróleo y minería,64.453,C
1905,Industria manufacturera,3668.592,D
1905,"Electricidad, gas y agua",10.972,E
1905,Construcción,2360.729,F
1905,"Comercio, hoteles y restaurantes",6261.114,GH
1905,Transporte y comunicaciones,593.48,I
1905,Finanzas,419.488,J
1905,Act. inmobiliarias y empresariales,4960.633,K
1905,Adm. pública y defensa,1325.093,L
1905,Otros servicios,2156.005,Z
1906,Agro,5958.099,A
1906,Pesca,24.2,B
1906,Petróleo y minería,61.875,C
1906,Industria manufacturera,3852.7,D
1906,"Electricidad, gas y agua",11.849,E
1906,Construcción,2206.639,F
1906,"Comercio, hoteles y restaurantes",7084.455,GH
1906,Transporte y comunicaciones,702.337,I
1906,Finanzas,455.505,J
1906,Act. inmobiliarias y empresariales,5142.365,K
1906,Adm. pública y defensa,1401.82,L
1906,Otros servicios,2246.094,Z
1907,Agro,5133.681,A
1907,Pesca,25.097,B
1907,Petróleo y minería,67.031,C
1907,Industria manufacturera,4275.179,D
1907,"Electricidad, gas y agua",12.727,E
1907,Construcción,2606.078,F
1907,"Comercio, hoteles y restaurantes",7519.384,GH
1907,Transporte y comunicaciones,758.858,I
1907,Finanzas,502.115,J
1907,Act. inmobiliarias y empresariales,5371.214,K
1907,Adm. pública y defensa,1495.137,L
1907,Otros servicios,2340.279,Z
1908,Agro,6423.889,A
1908,Pesca,25.993,B
1908,Petróleo y minería,69.609,C
1908,Industria manufacturera,4538.744,D
1908,"Electricidad, gas y agua",14.044,E
1908,Construcción,2573.165,F
1908,"Comercio, hoteles y restaurantes",7821.741,GH
1908,Transporte y comunicaciones,872.949,I
1908,Finanzas,525.42,J
1908,Act. inmobiliarias y empresariales,5687.564,K
1908,Adm. pública y defensa,1600.895,L
1908,Otros servicios,2436.511,Z
1909,Agro,6196.709,A
1909,Pesca,27.785,B
1909,Petróleo y minería,95.39,C
1909,Industria manufacturera,4486.419,D
1909,"Electricidad, gas y agua",15.36,E
1909,Construcción,3470.781,F
1909,"Comercio, hoteles y restaurantes",8212.479,GH
1909,Transporte y comunicaciones,906.443,I
1909,Finanzas,559.318,J
1909,Act. inmobiliarias y empresariales,6017.375,K
1909,Adm. pública y defensa,1704.58,L
1909,Otros servicios,2528.648,Z
1910,Agro,5950.955,A
1910,Pesca,29.578,B
1910,Petróleo y minería,126.328,C
1910,Industria manufacturera,5490.291,D
1910,"Electricidad, gas y agua",17.116,E
1910,Construcción,3880.692,F
1910,"Comercio, hoteles y restaurantes",8966.046,GH
1910,Transporte y comunicaciones,983.899,I
1910,Finanzas,601.69,J
1910,Act. inmobiliarias y empresariales,6340.456,K
1910,Adm. pública y defensa,1814.486,L
1910,Otros servicios,2639.212,Z
1911,Agro,5373.72,A
1911,Pesca,31.371,B
1911,Petróleo y minería,131.484,C
1911,Industria manufacturera,5885.639,D
1911,"Electricidad, gas y agua",24.577,E
1911,Construcción,3956.989,F
1911,"Comercio, hoteles y restaurantes",9398.649,GH
1911,Transporte y comunicaciones,1065.542,I
1911,Finanzas,652.537,J
1911,Act. inmobiliarias y empresariales,6751.037,K
1911,Adm. pública y defensa,1926.466,L
1911,Otros servicios,2735.444,Z
1912,Agro,7838.401,A
1912,Pesca,33.163,B
1912,Petróleo y minería,149.531,C
1912,Industria manufacturera,5581.376,D
1912,"Electricidad, gas y agua",32.037,E
1912,Construcción,2938.195,F
1912,"Comercio, hoteles y restaurantes",9919.633,GH
1912,Transporte y comunicaciones,1242.434,I
1912,Finanzas,701.266,J
1912,Act. inmobiliarias y empresariales,7175.08,K
1912,Adm. pública y defensa,2040.519,L
1912,Otros servicios,2819.391,Z
1913,Agro,7198.299,A
1913,Pesca,34.956,B
1913,Petróleo y minería,193.359,C
1913,Industria manufacturera,5910.832,D
1913,"Electricidad, gas y agua",39.937,E
1913,Construcción,2755.68,F
1913,"Comercio, hoteles y restaurantes",10468.53,GH
