"anio","provincia_id","provincia","gran_region_id","gran_region_desc","letra","letra_desc_abrev","tipo_sector","share_vab_sectorial"
2004,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0423298751815482
2005,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0421774073541016
2006,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0408790584929593
2007,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0403066019535022
2008,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.040793488123875
2009,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0448124603242786
2010,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0407676943306597
2011,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0388787024695315
2012,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0405644210518551
2013,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0395651337020007
2014,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0422338122468996
2015,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0440632977732289
2016,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0446323188646947
2017,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.04512947300198
2018,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0465684972185267
2019,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0453767591121119
2020,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0441694609631888
2021,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0443010070463294
2022,6,"Buenos Aires",2,"Centro","L","Adm. pública y defensa","Servicios",0.0445884770943518
2004,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0890591168119576
2005,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0972634792946545
2006,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.086925283489073
2007,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0832469291110963
2008,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.082153815640279
2009,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0605282909565581
2010,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0843510963504999
2011,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0812852126265543
2012,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0751492439947058
2013,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.078063329446686
2014,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0743714088799809
2015,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0815366666128662
2016,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0823508285647172
2017,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0795166605846925
2018,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0695280838032215
2019,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0877330895783054
2020,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0890202731714909
2021,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.078916531001028
2022,6,"Buenos Aires",2,"Centro","A","Agro","Bienes",0.0746804831597007
2004,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0282159504635976
2005,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0286641033441087
2006,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0296061966120111
2007,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0297853361987038
2008,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0295542353248256
2009,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0316903337849749
2010,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0301355948841492
2011,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.029702501848869
2012,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0308561926496179
2013,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0293374780592621
2014,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0293376312015421
2015,6,"Buenos Aires",2,"Centro","O","Serv. comunitarios, sociales y personales","Servicios",0.0284443066932892
