"ppg_label","programa_desc","porcentaje","nuevo_programa_desc"
"No PPG","Abordaje de Curso de Vida",0.00563564369832313,"otros"
"No PPG","Abordaje Integral de Enfermedades No Transmisibles y sus Factores de Riesgo",0.000364210320833173,"otros"
"No PPG","Abordaje Territorial",0.0043111261788592,"otros"
"No PPG","Acceso a la Informacion Publica y Proteccion de Datos Personales",0.00236527728094071,"otros"
"No PPG","Acceso a Medicamentos, Insumos y Tecnologia Medica",0.112352978374144,"otros"
"No PPG","Acciones Artisticas del Teatro Nacional Cervantes",0.00953035320975632,"otros"
"No PPG","Acciones Censales",0.00109559106719324,"otros"
"No PPG","Acciones contra la Discriminacion, la Xenofobia y el Racismo",0.00249919939642726,"otros"
"No PPG","Acciones de Abordaje Integral Comunitaria",0.000862931251060126,"otros"
"No PPG","Acciones de Articulacion Territorial",0.0389469327032528,"otros"
"No PPG","Acciones de Capacitacion Laboral",0.0208719252865315,"otros"
"No PPG","Acciones de Comunicacion y Prensa Institucional",0.00237016457778365,"otros"
"No PPG","Acciones de Empleo",0.786355408419622,"Acciones de Empleo"
"No PPG","Acciones de Formacion Docente",0.00388652259320699,"otros"
"No PPG","Acciones de Formacion y Capacitacion",0.000783016914599083,"otros"
"No PPG","Acciones de Inclusion Social",0.100298496039959,"Acciones de Inclusion Social"
"No PPG","Acciones de Integracion de Personas con Discapacidad",0.00474307000939275,"otros"
"No PPG","Acciones de la Unidad Plan Belgrano",0.000198350127068613,"otros"
"No PPG","Acciones de Nutricion – Programa 1.000 Dias",0.200294710649583,"otros"
"No PPG","Acciones de Prensa Institucional",0.00276022487674326,"otros"
"No PPG","Acciones de Seguridad Vial",0.0160392224102821,"otros"
"No PPG","Acciones de Seguridad y Politica Criminal",0.00510038992827598,"otros"
"No PPG","Acciones del Banco Nacional de Datos Geneticos",0.00227734506182266,"otros"
"No PPG","Acciones del Programa Nacional de Inclusion e Integracion de Jovenes - Potenciar Inclusion Joven",0,"otros"
"No PPG","Acciones Diplomaticas de Politica Exterior",0.0274942807299338,"otros"
"No PPG","Acciones Diplomaticas para la Promocion del Reclamo Argentino de Reconocimiento de la Soberania Nacional de las Islas Malvinas,",0.00371138946722271,"otros"
"No PPG","Acciones para el Fortalecimiento de las Familias y su Inclusion Comunitaria",0.000325359577339347,"otros"
"No PPG","Acciones para el Fortalecimiento de las Organizaciones de la Sociedad Civil",0,"otros"
"No PPG","Acciones para el Uso Racional y Eficiente de la Energia",0.00617429682870144,"otros"
"No PPG","Acciones para la Ampliacion de las Redes Electricas de Alta Tension",0,"otros"
"No PPG","Acciones para la Identidad de Genero",0.000428353679377639,"otros"
"No PPG","Acciones para la Inocuidad y Calidad Agroalimentaria",0.0378598267444233,"otros"
"No PPG","Acciones para la Promocion y Proteccion Integral de los Derechos de Niños, Niñas y Adolescentes",0.0173926106881148,"otros"
"No PPG","Acciones para la Proteccion Vegetal",0.0250916181540473,"otros"
"No PPG","Acciones para la Sanidad Animal",0.0266083619861604,"otros"
"No PPG","Acciones para la Seguridad Nuclear y Proteccion Ambiental",0.0100516098787229,"otros"
"No PPG","Acciones para la Transformacion e Integracion Productiva",0.002420029024123,"otros"
"No PPG","Acciones para Potenciar Tecnologias del Estado",3.9601826621169e-08,"otros"
"No PPG","Actividad Central",0.0176576937888863,"otros"
"No PPG","Actividad Comun a la Secretaria de Cultura",0.029599139647045,"otros"
"No PPG","Actividad Comun a las acciones del Consejo Nacional de Coordinacion de Politicas Sociales",0.000487721754401552,"otros"
"No PPG","Actividad Comun a los Programas 24 y 38",0.00477642114364179,"otros"
"No PPG","Actividad Comun a los Programas 26, 51, 54 y 56",0.0017304367870826,"otros"
"No PPG","Actividad Comun a los Programas 51 y 52",0.00748646013654452,"otros"
"No PPG","Actividad Comun a los Programas 57 y 58",0.00452613631790947,"otros"
"No PPG","Actividad Comun a Programas 54 y 55 Deportes",0.00125871665721511,"otros"
"No PPG","Actividad Comun a Programas con Financiamiento Externo",1.22542604229135e-06,"otros"
"No PPG","Actividad Comun de la Secretaria de Energia",0.00476465727437406,"otros"
"No PPG","Actividades Centrales",3.5162591558652,"Actividades Centrales"
"No PPG","Actividades Comun de Programas de Turismo y Deporte",0.00611061399444426,"otros"
"No PPG","Actividades Comunes a los Programas 16, 19  y 23",0.28658636115888,"otros"
