"geocodigoFundar","geonombreFundar","componente_egresos_del_gobierno","porcentaje_del_pib"
"ARG","Argentina","Consumo del gobierno","17"
"ARG","Argentina","Subvenciones económicas","4"
"ARG","Argentina","Rentas / Intereses","4"
"ARG","Argentina","Prestaciones sociales","12"
"ARG","Argentina","Otras transferencias corrientes y de capital","5"
"ARG","Argentina","Formación bruta de capital","2"
"ARG","Argentina","TOTAL","44"
"CHL","Chile","Consumo del gobierno","15"
"CHL","Chile","Subvenciones económicas","0"
"CHL","Chile","Rentas / Intereses","1"
"CHL","Chile","Prestaciones sociales","5"
"CHL","Chile","Otras transferencias corrientes y de capital","2"
"CHL","Chile","Formación bruta de capital","3"
"CHL","Chile","TOTAL","26"
"BRA","Brasil","Consumo del gobierno","19"
"BRA","Brasil","Subvenciones económicas","0"
"BRA","Brasil","Rentas / Intereses","8"
"BRA","Brasil","Prestaciones sociales","16"
"BRA","Brasil","Otras transferencias corrientes y de capital","10"
"BRA","Brasil","Formación bruta de capital","2"
"BRA","Brasil","TOTAL","55"
"COL","Colombia","Consumo del gobierno","14"
"COL","Colombia","Subvenciones económicas","0"
"COL","Colombia","Rentas / Intereses","3"
"COL","Colombia","Prestaciones sociales","10"
"COL","Colombia","Otras transferencias corrientes y de capital","4"
"COL","Colombia","Formación bruta de capital","3"
"COL","Colombia","TOTAL","34"
"CRI","Costa Rica","Consumo del gobierno","17"
"CRI","Costa Rica","Subvenciones económicas","0"
"CRI","Costa Rica","Rentas / Intereses","3"
"CRI","Costa Rica","Prestaciones sociales","4"
"CRI","Costa Rica","Otras transferencias corrientes y de capital","6"
"CRI","Costa Rica","Formación bruta de capital","2"
"CRI","Costa Rica","TOTAL","32"
"MEX","México","Consumo del gobierno","12"
"MEX","México","Subvenciones económicas","1"
"MEX","México","Rentas / Intereses","2"
"MEX","México","Prestaciones sociales","2"
"MEX","México","Otras transferencias corrientes y de capital","8"
"MEX","México","Formación bruta de capital","2"
"MEX","México","TOTAL","27"
"USA","Estados Unidos","Consumo del gobierno","15"
"USA","Estados Unidos","Subvenciones económicas","1"
"USA","Estados Unidos","Rentas / Intereses","4"
"USA","Estados Unidos","Prestaciones sociales","15"
"USA","Estados Unidos","Otras transferencias corrientes y de capital","1"
"USA","Estados Unidos","Formación bruta de capital","4"
"USA","Estados Unidos","TOTAL","40"
"CAN","Canadá","Consumo del gobierno","21"
"CAN","Canadá","Subvenciones económicas","1"
"CAN","Canadá","Rentas / Intereses","3"
"CAN","Canadá","Prestaciones sociales","10"
"CAN","Canadá","Otras transferencias corrientes y de capital","2"
"CAN","Canadá","Formación bruta de capital","4"
"CAN","Canadá","TOTAL","41"
"ESP","España","Consumo del gobierno","20"
"ESP","España","Subvenciones económicas","1"
"ESP","España","Rentas / Intereses","3"
"ESP","España","Prestaciones sociales","16"
"ESP","España","Otras transferencias corrientes y de capital","3"
"ESP","España","Formación bruta de capital","3"
"ESP","España","TOTAL","46"
"PRT","Portugal","Consumo del gobierno","19"
"PRT","Portugal","Subvenciones económicas","1"
"PRT","Portugal","Rentas / Intereses","4"
"PRT","Portugal","Prestaciones sociales","17"
"PRT","Portugal","Otras transferencias corrientes y de capital","4"
"PRT","Portugal","Formación bruta de capital","3"
"PRT","Portugal","TOTAL","48"
"ITA","Italia","Consumo del gobierno","20"
"ITA","Italia","Subvenciones económicas","2"
"ITA","Italia","Rentas / Intereses","4"
"ITA","Italia","Prestaciones sociales","20"
"ITA","Italia","Otras transferencias corrientes y de capital","3"
"ITA","Italia","Formación bruta de capital","3"
"ITA","Italia","TOTAL","52"
"FRA","Francia","Consumo del gobierno","24"
"FRA","Francia","Subvenciones económicas","2"
"FRA","Francia","Rentas / Intereses","2"
"FRA","Francia","Prestaciones sociales","20"
"FRA","Francia","Otras transferencias corrientes y de capital","5"
"FRA","Francia","Formación bruta de capital","4"
"FRA","Francia","TOTAL","57"
"LUX","Luxemburgo","Consumo del gobierno","16"
"LUX","Luxemburgo","Subvenciones económicas","1"
"LUX","Luxemburgo","Rentas / Intereses","0"
"LUX","Luxemburgo","Prestaciones sociales","15"
"LUX","Luxemburgo","Otras transferencias corrientes y de capital","4"
"LUX","Luxemburgo","Formación bruta de capital","4"
"LUX","Luxemburgo","TOTAL","40"
"GRC","Grecia","Consumo del gobierno","21"
"GRC","Grecia","Subvenciones económicas","1"
"GRC","Grecia","Rentas / Intereses","4"
"GRC","Grecia","Prestaciones sociales","19"
"GRC","Grecia","Otras transferencias corrientes y de capital","5"
"GRC","Grecia","Formación bruta de capital","4"
"GRC","Grecia","TOTAL","54"
"GBR","Reino Unido","Consumo del gobierno","20"
"GBR","Reino Unido","Subvenciones económicas","1"
"GBR","Reino Unido","Rentas / Intereses","2"
"GBR","Reino Unido","Prestaciones sociales","13"
"GBR","Reino Unido","Otras transferencias corrientes y de capital","4"
"GBR","Reino Unido","Formación bruta de capital","3"
"GBR","Reino Unido","TOTAL","43"
"DEU","Alemania","Consumo del gobierno","20"
"DEU","Alemania","Subvenciones económicas","1"
"DEU","Alemania","Rentas / Intereses","2"
"DEU","Alemania","Prestaciones sociales","16"
"DEU","Alemania","Otras transferencias corrientes y de capital","4"
"DEU","Alemania","Formación bruta de capital","2"
"DEU","Alemania","TOTAL","45"
"IRL","Irlanda","Consumo del gobierno","15"
"IRL","Irlanda","Subvenciones económicas","1"
"IRL","Irlanda","Rentas / Intereses","2"
"IRL","Irlanda","Prestaciones sociales","11"
"IRL","Irlanda","Otras transferencias corrientes y de capital","4"
"IRL","Irlanda","Formación bruta de capital","3"
"IRL","Irlanda","TOTAL","36"
"AUT","Austria","Consumo del gobierno","20"
"AUT","Austria","Subvenciones económicas","2"
"AUT","Austria","Rentas / Intereses","2"
"AUT","Austria","Prestaciones sociales","19"
"AUT","Austria","Otras transferencias corrientes y de capital","4"
"AUT","Austria","Formación bruta de capital","3"
"AUT","Austria","TOTAL","50"
"CHE","Suiza","Consumo del gobierno","11"
"CHE","Suiza","Subvenciones económicas","3"
"CHE","Suiza","Rentas / Intereses","1"
"CHE","Suiza","Prestaciones sociales","10"
"CHE","Suiza","Otras transferencias corrientes y de capital","4"
"CHE","Suiza","Formación bruta de capital","3"
"CHE","Suiza","TOTAL","32"
"CZE","Chequia","Consumo del gobierno","20"
"CZE","Chequia","Subvenciones económicas","2"
"CZE","Chequia","Rentas / Intereses","1"
"CZE","Chequia","Prestaciones sociales","13"
"CZE","Chequia","Otras transferencias corrientes y de capital","3"
"CZE","Chequia","Formación bruta de capital","5"
"CZE","Chequia","TOTAL","44"
"HUN","Hungría","Consumo del gobierno","20"
"HUN","Hungría","Subvenciones económicas","1"
"HUN","Hungría","Rentas / Intereses","3"
"HUN","Hungría","Prestaciones sociales","13"
"HUN","Hungría","Otras transferencias corrientes y de capital","5"
"HUN","Hungría","Formación bruta de capital","5"
"HUN","Hungría","TOTAL","47"
"POL","Polonia","Consumo del gobierno","18"
"POL","Polonia","Subvenciones económicas","1"
"POL","Polonia","Rentas / Intereses","2"
"POL","Polonia","Prestaciones sociales","15"
"POL","Polonia","Otras transferencias corrientes y de capital","3"
"POL","Polonia","Formación bruta de capital","5"
"POL","Polonia","TOTAL","44"
"RUS","Rusia","Consumo del gobierno","18"
"RUS","Rusia","Subvenciones económicas","1"
"RUS","Rusia","Rentas / Intereses","1"
"RUS","Rusia","Prestaciones sociales","10"
"RUS","Rusia","Otras transferencias corrientes y de capital","5"
"RUS","Rusia","Formación bruta de capital","4"
"RUS","Rusia","TOTAL","39"
"EST","Estonia","Consumo del gobierno","19"
"EST","Estonia","Subvenciones económicas","1"
"EST","Estonia","Rentas / Intereses","0"
"EST","Estonia","Prestaciones sociales","12"
"EST","Estonia","Otras transferencias corrientes y de capital","3"
"EST","Estonia","Formación bruta de capital","6"
"EST","Estonia","TOTAL","41"
"LVA","Letonia","Consumo del gobierno","19"
"LVA","Letonia","Subvenciones económicas","1"
"LVA","Letonia","Rentas / Intereses","1"
"LVA","Letonia","Prestaciones sociales","20"
"LVA","Letonia","Otras transferencias corrientes y de capital","4"
"LVA","Letonia","Formación bruta de capital","5"
"LVA","Letonia","TOTAL","50"
"LTU","Lituania","Consumo del gobierno","18"
"LTU","Lituania","Subvenciones económicas","1"
"LTU","Lituania","Rentas / Intereses","1"
"LTU","Lituania","Prestaciones sociales","12"
"LTU","Lituania","Otras transferencias corrientes y de capital","2"
"LTU","Lituania","Formación bruta de capital","4"
"LTU","Lituania","TOTAL","38"
"SVK","Eslovaquia","Consumo del gobierno","19"
"SVK","Eslovaquia","Subvenciones económicas","1"
"SVK","Eslovaquia","Rentas / Intereses","2"
"SVK","Eslovaquia","Prestaciones sociales","14"
"SVK","Eslovaquia","Otras transferencias corrientes y de capital","2"
"SVK","Eslovaquia","Formación bruta de capital","4"
"SVK","Eslovaquia","TOTAL","42"
"SVN","Eslovenia","Consumo del gobierno","19"
"SVN","Eslovenia","Subvenciones económicas","1"
"SVN","Eslovenia","Rentas / Intereses","2"
"SVN","Eslovenia","Prestaciones sociales","17"
"SVN","Eslovenia","Otras transferencias corrientes y de capital","4"
