"geocodigoFundar","anio","geonombreFundar","region","variable","valor"
"ALB","2023","Albania","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","17992.1048140275"
"ALB","2023","Albania","Europa","Gasto público consolidado como porcentaje del PIB","29.174093573524"
"DZA","2023","Argelia","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15159.324237194"
"DZA","2023","Argelia","África","Gasto público consolidado como porcentaje del PIB","38.061397600389"
"AGO","2023","Angola","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","7244.89305295156"
"AGO","2023","Angola","África","Gasto público consolidado como porcentaje del PIB","19.242326764992"
"ATG","2023","Antigua y Barbuda","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","28967.2556775267"
"ATG","2023","Antigua y Barbuda","El Caribe","Gasto público consolidado como porcentaje del PIB","18.44305858507"
"ARG","2023","Argentina","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","27104.9799978169"
"ARG","2023","Argentina","América del Sur","Gasto público consolidado como porcentaje del PIB","41.8665404522701"
"ABW","2023","Aruba","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","40516.8085633136"
"ABW","2023","Aruba","El Caribe","Gasto público consolidado como porcentaje del PIB","21.697424946062"
"AUS","2023","Australia","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","60447.1608783424"
"AUS","2023","Australia","Oceanía","Gasto público consolidado como porcentaje del PIB","37.200193827823"
"AUT","2023","Austria","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","64394.0904537356"
"AUT","2023","Austria","Europa","Gasto público consolidado como porcentaje del PIB","51.979424854523"
"AZE","2023","Azerbaiyán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","21262.2979971542"
"AZE","2023","Azerbaiyán","Asia","Gasto público consolidado como porcentaje del PIB","32.760041357481"
"BHS","2023","Bahamas","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","33105.603858971"
"BHS","2023","Bahamas","El Caribe","Gasto público consolidado como porcentaje del PIB","24.15769263338"
"BHR","2023","Bahrein","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","57213.0913557711"
