"anio","nivel_de_gobierno","participacion_gasto_publico_consolidado"
"1980","Nacional","0.65875811467521"
"1981","Nacional","0.694742717828016"
"1982","Nacional","0.759547221596989"
"1983","Nacional","0.715203074927764"
"1984","Nacional","0.668782609327282"
"1985","Nacional","0.672160373087805"
"1986","Nacional","0.630817847966724"
"1987","Nacional","0.645414791503997"
"1988","Nacional","0.649513000394103"
"1989","Nacional","0.678057750992819"
"1990","Nacional","0.625607253161398"
"1991","Nacional","0.591542516791141"
"1992","Nacional","0.554276725871722"
"1993","Nacional","0.515672391035608"
"1994","Nacional","0.519241324251597"
"1995","Nacional","0.526285127431849"
"1996","Nacional","0.529268228593427"
"1997","Nacional","0.525895568294349"
"1998","Nacional","0.511282012205751"
"1999","Nacional","0.513819749259966"
"2000","Nacional","0.515755644467246"
"2001","Nacional","0.509564726417753"
"2002","Nacional","0.515226319035777"
"2003","Nacional","0.526652792194468"
"2004","Nacional","0.496079767134537"
"2005","Nacional","0.498483367632992"
"2006","Nacional","0.487537108606191"
"2007","Nacional","0.519024195444131"
"2008","Nacional","0.531350751091491"
"2009","Nacional","0.542025237476191"
"2010","Nacional","0.549988696649307"
"2011","Nacional","0.554488963802611"
"2012","Nacional","0.562564255207545"
"2013","Nacional","0.561116942200997"
"2014","Nacional","0.580198868456504"
"2015","Nacional","0.559903946848291"
"2016","Nacional","0.578317845508048"
"2017","Nacional","0.555979376585995"
"2018","Nacional","0.559152770391497"
"2019","Nacional","0.556076916111399"
"2020","Nacional","0.580876717233727"
"2021","Nacional","0.567921061223922"
"2022","Nacional","0.556483630504902"
"2023","Nacional","0.532528968137826"
"1980","Provincial","0.286724381659585"
"1981","Provincial","0.256011199890757"
"1982","Provincial","0.205522788907591"
"1983","Provincial","0.243926908132779"
"1984","Provincial","0.292795052110498"
"1985","Provincial","0.277911838070382"
"1986","Provincial","0.314471864833616"
"1987","Provincial","0.298571914976604"
"1988","Provincial","0.298134157266828"
"1989","Provincial","0.272407507074931"
"1990","Provincial","0.308203982830879"
"1991","Provincial","0.329656061792786"
"1992","Provincial","0.363884534074794"
"1993","Provincial","0.395053829635809"
"1994","Provincial","0.392347271408405"
"1995","Provincial","0.39212520641186"
"1996","Provincial","0.38973176844902"
"1997","Provincial","0.390344517573409"
"1998","Provincial","0.401052955338166"
"1999","Provincial","0.400376969671332"
"2000","Provincial","0.400207578459162"
"2001","Provincial","0.408445582417804"
"2002","Provincial","0.403225549191931"
"2003","Provincial","0.391449469665385"
"2004","Provincial","0.414471697583611"
"2005","Provincial","0.412254230972673"
"2006","Provincial","0.421092270715147"
"2007","Provincial","0.397763968320112"
"2008","Provincial","0.392478464405623"
"2009","Provincial","0.378341882677431"
"2010","Provincial","0.366573716421732"
"2011","Provincial","0.368313584057899"
"2012","Provincial","0.363403754922979"
"2013","Provincial","0.361165208930991"
"2014","Provincial","0.345974909655661"
"2015","Provincial","0.36342440700671"
"2016","Provincial","0.35222810487981"
"2017","Provincial","0.370565972155853"
"2018","Provincial","0.365459706272074"
"2019","Provincial","0.366924401310343"
"2020","Provincial","0.34823692775317"
"2021","Provincial","0.35387714270679"
"2022","Provincial","0.363975139134797"
"2023","Provincial","0.385312030721548"
"1980","Municipal","0.0545175036652056"
"1981","Municipal","0.0492460822812269"
"1982","Municipal","0.0349299894954201"
"1983","Municipal","0.0408700169394563"
"1984","Municipal","0.0384223385622195"
"1985","Municipal","0.0499277888418129"
"1986","Municipal","0.0547102871996601"
"1987","Municipal","0.0560132935193993"
"1988","Municipal","0.0523528423390696"
"1989","Municipal","0.0495347419322498"
"1990","Municipal","0.0661887640077228"
"1991","Municipal","0.078801421416073"
"1992","Municipal","0.0818387400534843"
"1993","Municipal","0.0892737793285832"
"1994","Municipal","0.0884114043399981"
"1995","Municipal","0.081589666156291"
"1996","Municipal","0.0810000029575532"
"1997","Municipal","0.0837599141322418"
"1998","Municipal","0.0876650324560832"
"1999","Municipal","0.0858032810687027"
"2000","Municipal","0.0840367770735915"
"2001","Municipal","0.0819896911644432"
"2002","Municipal","0.081548131772292"
"2003","Municipal","0.0818977381401473"
"2004","Municipal","0.0894485352818526"
"2005","Municipal","0.0892624013943347"
"2006","Municipal","0.0913706206786621"
"2007","Municipal","0.0832118362357562"
"2008","Municipal","0.0761707845028857"
"2009","Municipal","0.0796328798463781"
"2010","Municipal","0.0834375869289609"
"2011","Municipal","0.0771974521394907"
"2012","Municipal","0.0740319898694763"
"2013","Municipal","0.0777178488680118"
"2014","Municipal","0.0738262218878348"
"2015","Municipal","0.0766716461449984"
"2016","Municipal","0.0694540496121425"
"2017","Municipal","0.073454651258152"
"2018","Municipal","0.0753875233364286"
"2019","Municipal","0.0769986825782577"
"2020","Municipal","0.0708863550131029"
"2021","Municipal","0.0782017960692881"
"2022","Municipal","0.0795412303603012"
"2023","Municipal","0.0821590011406264"
