"geocodigoFundar","geonombreFundar","gasto_publico_promedio","fuente"
"KIR","Kiribati","97.4884730052832","FMI"
"MHL","Islas Marshall","62.3231884917305","FMI"
"FSM","Micronesia","59.9296480493184","FMI"
"FRA","Francia","57.9291685044298","FMI"
"FIN","Finlandia","55.6251500884796","FMI"
"DMA","Dominica","54.4229474459425","FMI"
"BEL","Bélgica","54.0235473121579","FMI"
"GRC","Grecia","51.9450553645054","FMI"
"AUT","Austria","51.8296199948309","FMI"
"LSO","Lesotho","51.7498552032814","FMI"
"ITA","Italia","51.7182757130168","FMI"
"DNK","Dinamarca","50.7530317485059","FMI"
"KWT","Kuwait","50.4774646555378","FMI"
"SWE","Suecia","48.8440431678729","FMI"
"HUN","Hungría","48.3989909870247","FMI"
"UKR","Ucrania","47.9594813636868","FMI"
"NOR","Noruega","47.7261035970812","FMI"
"SVN","Eslovenia","47.5235075411752","FMI"
"DEU","Alemania","46.776157954018","FMI"
"HRV","Croacia","46.5975662449564","FMI"
"ISL","Islandia","46.0217500009441","FMI"
"PRT","Portugal","45.8856401008345","FMI"
"ESP","España","44.8118922535102","FMI"
"ARG","Argentina","44.6186939853907","MECON"
"NLD","Países Bajos","44.3383140539872","FMI"
"BRA","Brasil","44.0085827690108","FMI"
"POL","Polonia","43.34242939069","FMI"
"SVK","Eslovaquia","43.1411435875804","FMI"
"LUX","Luxemburgo","42.9475548695067","FMI"
"CAN","Canadá","42.2175812625211","FMI"
"GBR","Reino Unido","42.2058915056354","FMI"
"CZE","Chequia","42.0287314197861","FMI"
"BIH","Bosnia y Herzegovina","41.7064986553065","FMI"
"ECU","Ecuador","41.1798576319176","FMI"
"CYP","Chipre","39.9398716015268","FMI"
"EST","Estonia","39.8106150515687","FMI"
"JPN","Japón","39.3588528455333","FMI"
"NAM","Namibia","39.2961594212478","FMI"
"LVA","Letonia","39.1082344913048","FMI"
"ISR","Israel","38.9375004235276","FMI"
"NZL","Nueva Zelanda","38.9143686983113","FMI"
"VUT","Vanuatu","38.7979891384112","FMI"
"OMN","Omán","38.5200301843174","FMI"
"BOL","Bolivia","38.4626804584384","FMI"
"AUS","Australia","38.4494898286269","FMI"
"MDV","Maldivas","37.4833087030028","FMI"
"USA","Estados Unidos","37.1796633872417","FMI"
"SLB","Islas Salomón","36.6676948033376","FMI"
"DZA","Argelia","36.5448166306474","FMI"
"BGR","Bulgaria","36.1207760086911","FMI"
"RUS","Rusia","35.3910573407691","FMI"
"KGZ","Kirguistán","35.1243218525257","FMI"
"KNA","Saint Kitts y Nevis","34.864826257885","FMI"
"SYC","Seychelles","34.8198351170432","FMI"
"SAU","Arabia Saudita","34.5049784656849","FMI"
"ROU","Rumania","34.4774282380212","FMI"
"AZE","Azerbaiyán","34.3035158612374","FMI"
"MDA","Moldavia","33.684146154475","FMI"
"MKD","Macedonia del Norte","33.3665165929517","FMI"
"CHE","Suiza","32.8162624264553","FMI"
"TUR","Turquía","32.7777211243571","FMI"
"CHN","China","32.7564854637828","FMI"
"COL","Colombia","32.620670754086","FMI"
"SWZ","Eswatini","32.4943910843912","FMI"
"QAT","Qatar","32.2699506059139","FMI"
