"pais","cod_pais","ratio_centralizacion"
"Costa Rica","CRI","95.82181"
"Greece","GRC","91.68314"
"Ireland","IRL","89.58196"
"Hungary","HUN","88.60606"
"Luxembourg","LUX","88.42083"
"Israel","ISR","87.05161"
"Portugal","PRT","84.78069"
"Slovak Republic","SVK","82.36566"
"France","FRA","80.90104"
"Slovenia","SVN","80.82049"
"United Kingdom","GBR","80.23674"
"Estonia","EST","75.76592"
"Latvia","LVA","75.72796"
"Lithuania","LTU","75.37043"
"Italy","ITA","75.25521"
"Czechia","CZE","72.43284"
"Netherlands","NLD","70.93097"
"Poland","POL","70.92685"
"Iceland","ISL","69.87440"
"Austria","AUT","67.35289"
"Norway","NOR","67.21914"
"Germany","DEU","60.76745"
"Finland","FIN","58.87679"
"Mexico","MEX","57.62434"
"Spain","ESP","55.31243"
"United States","USA","54.45884"
"Belgium","BEL","54.04641"
"Australia","AUS","53.66313"
"Argentina","ARG","53.25290"
"Sweden","SWE","49.29813"
"Switzerland","CHE","42.05870"
"Denmark","DNK","35.65745"
"Canada","CAN","33.79551"
