"anio","region","lall_desc_full","exportaciones","prop_global"
"1962","Asia","Total manufacturas","10543781821","11.6650815710447"
"1963","Asia","Total manufacturas","12390492188","12.1051010851335"
"1964","Asia","Total manufacturas","14558583139","12.6274070107404"
"1965","Asia","Total manufacturas","16841256644","13.2238169612593"
"1966","Asia","Total manufacturas","19303933803","13.6194031026774"
"1967","Asia","Total manufacturas","20883480535","13.7848092873093"
"1968","Asia","Total manufacturas","25220560241","14.6131311059594"
"1969","Asia","Total manufacturas","29725410553","14.9806208350932"
"1970","Asia","Total manufacturas","35057416699","15.2601847853348"
"1971","Asia","Total manufacturas","43315270150","16.8394096579313"
"1972","Asia","Total manufacturas","53944538916","17.4860080340492"
"1973","Asia","Total manufacturas","77281063169","18.1823934041684"
"1974","Asia","Total manufacturas","142431313734","22.7550872137888"
"1975","Asia","Total manufacturas","142430974502","21.7747118896101"
"1976","Asia","Total manufacturas","140340440542","21.1989454182247"
"1977","Asia","Total manufacturas","181197918897","23.1393124598745"
"1978","Asia","Total manufacturas","171307408436","19.4330491922797"
"1979","Asia","Total manufacturas","203568798063","18.6484760621586"
"1980","Asia","Total manufacturas","255938853330","19.6081812449907"
"1981","Asia","Total manufacturas","288503572911","22.9262326108719"
"1982","Asia","Total manufacturas","273425106366","22.8096568568909"
"1983","Asia","Total manufacturas","286810883560","23.9676082281481"
"1984","Asia","Total manufacturas","332517989455","25.7159044144715"
"1985","Asia","Total manufacturas","344953734673","25.5827637515388"
"1986","Asia","Total manufacturas","396152395878","25.2439029982277"
"1987","Asia","Total manufacturas","483009402025","25.6763887396926"
"1988","Asia","Total manufacturas","585739910921","26.6157363701123"
"1989","Asia","Total manufacturas","643033098947","26.8578531071409"
"1990","Asia","Total manufacturas","696157867410","25.383366186427"
"1991","Asia","Total manufacturas","776929719798","27.3804809734488"
"1992","Asia","Total manufacturas","869069179172","28.2273147776688"
"1993","Asia","Total manufacturas","942764742567","30.9478032929939"
"1994","Asia","Total manufacturas","1088969765413","31.1168796970816"
"1995","Asia","Total manufacturas","1291055231661","30.0679900269223"
"1996","Asia","Total manufacturas","1310936771914","29.3628997534627"
"1997","Asia","Total manufacturas","1355919275180","29.27181371703"
"1998","Asia","Total manufacturas","1295406987977","27.8355044447165"
"1999","Asia","Total manufacturas","1415345397278","29.3248672906495"
"2000","Asia","Total manufacturas","1636291982884","31.5347639210326"
"2001","Asia","Total manufacturas","1496013832223","29.865121345561"
"2002","Asia","Total manufacturas","1652743186141","31.1912467967746"
"2003","Asia","Total manufacturas","1855035043863.62","30.7689056413912"
"2004","Asia","Total manufacturas","2328510591121.33","31.9078279081002"
"2005","Asia","Total manufacturas","2678666088199.17","32.7602152363567"
"2006","Asia","Total manufacturas","3094706561603.07","33.1368558368205"
"2007","Asia","Total manufacturas","3667696540614.82","34.1372463883627"
"2008","Asia","Total manufacturas","4176527229101.27","34.6399928112697"
"2009","Asia","Total manufacturas","3410552818107.07","35.8427081035711"
"2010","Asia","Total manufacturas","4341569032889.9","38.2799394968932"
"2011","Asia","Total manufacturas","5033330967229.49","38.0228625257839"
