"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2002","AUS","Australia","Productos primarios","39437.354","75.5805392657663"
"2002","AUS","Australia","Manufacturas en basadas en RRNN","653.36","1.25214539329086"
"2002","AUS","Australia","Manufacturas de baja tecnología","2067.366","3.96204667127795"
"2002","BEL","Bélgica","Manufacturas de alta tecnología","13869.898","15.6627426032126"
"2002","BEL","Bélgica","Manufacturas de media tecnología","39851.694","45.0029859934076"
"2002","BOL","Bolivia","Manufacturas de alta tecnología","1205.504","4.29534884566134"
"2002","BOL","Bolivia","Manufacturas de media tecnología","1863.394","6.63948627869527"
"2002","BRA","Brasil","Manufacturas de media tecnología","1054966.602","42.1187083669213"
"2002","BRA","Brasil","Manufacturas de alta tecnología","174439.149","6.9643452509077"
"2002","BGR","Bulgaria","Productos primarios","114.042","7.4997977773262"
"2002","BGR","Bulgaria","Manufacturas en basadas en RRNN","40.963","2.69386906887474"
"2002","BGR","Bulgaria","Manufacturas de baja tecnología","69.732","4.58581837049956"
"2002","CAN","Canadá","Manufacturas de alta tecnología","18700.271","28.5143195083837"
"2002","CAN","Canadá","Manufacturas de media tecnología","29164.12","44.4696783196801"
"2002","LKA","Sri Lanka","Manufacturas de media tecnología","0.442","0.017330492491819"
"2002","LKA","Sri Lanka","Manufacturas de alta tecnología","0.102","0.003999344421189"
"2002","CHL","Chile","Manufacturas de media tecnología","45985.9180000001","23.9713987435151"
"2002","CHL","Chile","Manufacturas de alta tecnología","3834.63","1.99890420288762"
"2002","CHN","China","Manufacturas de alta tecnología","66611.664","19.6102729167782"
"2002","CHN","China","Manufacturas de media tecnología","93636.802","27.5663920101789"
"2002","COL","Colombia","Manufacturas de media tecnología","3835.743","26.7249550327382"
"2002","COL","Colombia","Manufacturas de alta tecnología","736.316","5.13016956294664"
"2002","CZE","Chequia","Manufacturas de alta tecnología","3946.834","27.6529020373486"
"2002","CZE","Chequia","Manufacturas de media tecnología","6079.244","42.5933137276965"
"2002","DNK","Dinamarca","Manufacturas de media tecnología","17789.605","38.8255806413757"
"2002","DNK","Dinamarca","Manufacturas de alta tecnología","13977.2","30.5050565057874"
"2002","ECU","Ecuador","Manufacturas de media tecnología","1382.472","5.82853121495696"
"2002","ECU","Ecuador","Manufacturas de alta tecnología","549.965","2.31866408117763"
"2002","FIN","Finlandia","Manufacturas en basadas en RRNN","19147.49","57.2811902264223"
"2002","FIN","Finlandia","Productos primarios","114.993","0.344010411166528"
"2002","FIN","Finlandia","Manufacturas de baja tecnología","1551.27","4.64074361509222"
"2002","FRA","Francia","Productos primarios","10730.746","3.29792845022353"
"2002","FRA","Francia","Manufacturas en basadas en RRNN","42741.978","13.1360844124936"
"2002","FRA","Francia","Manufacturas de baja tecnología","26648.343","8.18995515605485"
"2002","DEU","Alemania","Productos primarios","11780.167","2.05247514600649"
"2002","DEU","Alemania","Manufacturas en basadas en RRNN","107507.552","18.7311927316481"
"2002","DEU","Alemania","Manufacturas de baja tecnología","45575.88","7.94074998744706"
"2002","GRC","Grecia","Manufacturas de media tecnología","2324.386","49.7068871312833"
"2002","GRC","Grecia","Manufacturas de alta tecnología","72.474","1.54985313883005"
"2002","GRD","Granada","Productos primarios","496.913","99.6940441940623"
"2002","GRD","Granada","Manufacturas en basadas en RRNN","1.525","0.30595580593775"
"2002","GTM","Guatemala","Manufacturas de media tecnología","48.227","12.7504712653707"
"2002","GTM","Guatemala","Manufacturas de alta tecnología","1.354","0.35797661254716"
