"anio","provincia_id","provincia","prop_industrial"
"2004","6","Buenos Aires","0.331948588729468"
"2004","2","CABA","0.160601659172375"
"2004","10","Catamarca","0.117523297063931"
"2004","22","Chaco","0.102428925369966"
"2004","26","Chubut","0.14983840165539"
"2004","18","Corrientes","0.0981436508726704"
"2004","14","Córdoba","0.190375741379592"
"2004","30","Entre Ríos","0.139266648557589"
"2004","34","Formosa","0.078907332283131"
"2004","38","Jujuy","0.180070523912964"
"2004","42","La Pampa","0.0576257118177732"
"2004","46","La Rioja","0.284285507091455"
"2004","50","Mendoza","0.231680331476271"
"2004","54","Misiones","0.243264191466822"
"2004","58","Neuquén","0.0505882822060327"
"2004","62","Río Negro","0.0728148796145268"
"2004","66","Salta","0.128836858225751"
"2004","70","San Juan","0.239486757999287"
"2004","74","San Luis","0.47604930167151"
"2004","78","Santa Cruz","0.0237031080869294"
"2004","82","Santa Fe","0.259746124481332"
"2004","86","Santiago del Estero","0.12263502047933"
"2004","94","Tierra del Fuego","0.136738484964719"
"2004","90","Tucumán","0.170962226251507"
"2005","6","Buenos Aires","0.326621070383925"
"2005","2","CABA","0.158569465543497"
"2005","10","Catamarca","0.110423034221"
"2005","22","Chaco","0.0968901108685654"
"2005","26","Chubut","0.147517029163906"
"2005","18","Corrientes","0.0946150829302509"
"2005","14","Córdoba","0.181118570224315"
"2005","30","Entre Ríos","0.137773208020706"
"2005","34","Formosa","0.0755947086571072"
"2005","38","Jujuy","0.176184519296572"
"2005","42","La Pampa","0.0520889528586469"
"2005","46","La Rioja","0.288473935393825"
"2005","50","Mendoza","0.233058048702158"
"2005","54","Misiones","0.237835422674292"
"2005","58","Neuquén","0.0561963855887908"
"2005","62","Río Negro","0.0692547935603242"
"2005","66","Salta","0.125983549587326"
"2005","70","San Juan","0.232513625665785"
"2005","74","San Luis","0.458264510223891"
"2005","78","Santa Cruz","0.0254290477570665"
"2005","82","Santa Fe","0.252618867024998"
"2005","86","Santiago del Estero","0.11878010073324"
"2005","94","Tierra del Fuego","0.1557985377835"
"2005","90","Tucumán","0.161632591977674"
"2006","6","Buenos Aires","0.331251888661121"
"2006","2","CABA","0.158724493173263"
"2006","10","Catamarca","0.111604471113131"
"2006","22","Chaco","0.0963600551298909"
"2006","26","Chubut","0.151071860949195"
"2006","18","Corrientes","0.0953466084784168"
"2006","14","Córdoba","0.190045963304904"
"2006","30","Entre Ríos","0.146308584348296"
"2006","34","Formosa","0.0776087498002324"
"2006","38","Jujuy","0.175343428532427"
"2006","42","La Pampa","0.0564079164058584"
"2006","46","La Rioja","0.283762526856293"
"2006","50","Mendoza","0.23047064209612"
"2006","54","Misiones","0.24281946407081"
"2006","58","Neuquén","0.0626277962227205"
"2006","62","Río Negro","0.0683327390015724"
"2006","66","Salta","0.123760537712208"
"2006","70","San Juan","0.226902145309381"
"2006","74","San Luis","0.464194588739852"
"2006","78","Santa Cruz","0.0246508581205638"
"2006","82","Santa Fe","0.259503200096918"
"2006","86","Santiago del Estero","0.130795682206381"
"2006","94","Tierra del Fuego","0.180411943610404"
"2006","90","Tucumán","0.154826976424457"
"2007","6","Buenos Aires","0.331236599979727"
"2007","2","CABA","0.156234245874947"
"2007","10","Catamarca","0.113544976113229"
"2007","22","Chaco","0.0961986359587692"
"2007","26","Chubut","0.160103892339213"
"2007","18","Corrientes","0.0968687369142441"
