"anio","ciiu_rev3_2d","rama_de_actividad","descripcion_corta","salario_respecto_media"
"1995","15","Alimentos","Alimentos y bebidas","3.64004730080602"
"1996","15","Alimentos","Alimentos y bebidas","6.03390601215479"
"1997","15","Alimentos","Alimentos y bebidas","6.11692408678427"
"1998","15","Alimentos","Alimentos y bebidas","6.43174911922651"
"1999","15","Alimentos","Alimentos y bebidas","7.20244402371693"
"2000","15","Alimentos","Alimentos y bebidas","6.34157428062822"
"2001","15","Alimentos","Alimentos y bebidas","5.96889894026538"
"2002","15","Alimentos","Alimentos y bebidas","8.15515922606222"
"2003","15","Alimentos","Alimentos y bebidas","10.7097379800366"
"2004","15","Alimentos","Alimentos y bebidas","11.8106767887268"
"2005","15","Alimentos","Alimentos y bebidas","13.8894718269859"
"2006","15","Alimentos","Alimentos y bebidas","13.7786678660506"
"2007","15","Alimentos","Alimentos y bebidas","13.940638146976"
"2008","15","Alimentos","Alimentos y bebidas","12.6853051222617"
"2009","15","Alimentos","Alimentos y bebidas","14.1949305966978"
"2010","15","Alimentos","Alimentos y bebidas","16.0499006881854"
"2011","15","Alimentos","Alimentos y bebidas","15.2450087285342"
"2012","15","Alimentos","Alimentos y bebidas","16.5535695212856"
"2013","15","Alimentos","Alimentos y bebidas","17.0077771062041"
"2014","15","Alimentos","Alimentos y bebidas","16.3064863813531"
"2015","15","Alimentos","Alimentos y bebidas","16.3284976371155"
"2016","15","Alimentos","Alimentos y bebidas","17.9440465706559"
"2017","15","Alimentos","Alimentos y bebidas","17.4329220244468"
"2018","15","Alimentos","Alimentos y bebidas","15.406444039369"
"2019","15","Alimentos","Alimentos y bebidas","13.5113626278174"
"2020","15","Alimentos","Alimentos y bebidas","17.2338402315839"
"2021","15","Alimentos","Alimentos y bebidas","14.3602241757153"
"2022","15","Alimentos","Alimentos y bebidas","11.5393126387397"
"2023","15","Alimentos","Alimentos y bebidas","9.80036344830641"
"2024","15","Alimentos","Alimentos y bebidas","12.7490728357481"
"1995","16","Tabaco","Tabaco","93.5155549660202"
"1996","16","Tabaco","Tabaco","106.634031680267"
