geocodigoFundar,geonombreFundar,anio,formal_def_productiva,cat_ocup_cod,cat_ocup_detalle,valor
ARG,Argentina,2022,Formal,1.0,Empleadores,3.7
ARG,Argentina,2022,Formal,2.0,Asalariados en pequeñas y grandes empresas,32.4
ARG,Argentina,2022,Formal,3.0,Asalariados públicos,19.0
ARG,Argentina,2022,Formal,4.0,Cuentapropistas profesionales,4.8
ARG,Argentina,2022,Informal,5.0,Asalariados en microempresas,20.2
ARG,Argentina,2022,Informal,6.0,Cuentapropistas sin calificación,19.35
ARG,Argentina,2022,Informal,7.0,Trabajadores sin ingresos,0.5
BOL,Bolivia,2021,Formal,1.0,Empleadores,3.3326883
BOL,Bolivia,2021,Formal,2.0,Asalariados en pequeñas y grandes empresas,11.777639
BOL,Bolivia,2021,Formal,3.0,Asalariados públicos,8.6066561
BOL,Bolivia,2021,Formal,4.0,Cuentapropistas profesionales,1.5393624
BOL,Bolivia,2021,Informal,5.0,Asalariados en microempresas,12.483091
BOL,Bolivia,2021,Informal,6.0,Cuentapropistas sin calificación,44.409978
BOL,Bolivia,2021,Informal,7.0,Trabajadores sin ingresos,17.850585
BRA,Brasil,2022,Formal,1.0,Empleadores,4.3889184
BRA,Brasil,2022,Formal,2.0,Asalariados en pequeñas y grandes empresas,38.429833
BRA,Brasil,2022,Formal,3.0,Asalariados públicos,12.079348
BRA,Brasil,2022,Formal,4.0,Cuentapropistas profesionales,3.7584903
BRA,Brasil,2022,Informal,5.0,Asalariados en microempresas,17.483436
BRA,Brasil,2022,Informal,6.0,Cuentapropistas sin calificación,22.161235
BRA,Brasil,2022,Informal,7.0,Trabajadores sin ingresos,1.6987395
CHL,Chile,2022,Formal,1.0,Empleadores,4.0837686
CHL,Chile,2022,Formal,2.0,Asalariados en pequeñas y grandes empresas,47.433493
CHL,Chile,2022,Formal,3.0,Asalariados públicos,14.129429
CHL,Chile,2022,Formal,4.0,Cuentapropistas profesionales,5.4734173
CHL,Chile,2022,Informal,5.0,Asalariados en microempresas,10.730143
CHL,Chile,2022,Informal,6.0,Cuentapropistas sin calificación,17.803289
CHL,Chile,2022,Informal,7.0,Trabajadores sin ingresos,0.34645958
COL,Colombia,2021,Formal,1.0,Empleadores,3.1451938
COL,Colombia,2021,Formal,2.0,Asalariados en pequeñas y grandes empresas,29.33269
COL,Colombia,2021,Formal,3.0,Asalariados públicos,3.8208884
COL,Colombia,2021,Formal,4.0,Cuentapropistas profesionales,4.9067609
COL,Colombia,2021,Informal,5.0,Asalariados en microempresas,15.527764
COL,Colombia,2021,Informal,6.0,Cuentapropistas sin calificación,40.052107
COL,Colombia,2021,Informal,7.0,Trabajadores sin ingresos,3.2145962
CRI,Costa Rica,2022,Formal,1.0,Empleadores,3.2622014
CRI,Costa Rica,2022,Formal,2.0,Asalariados en pequeñas y grandes empresas,46.814493
CRI,Costa Rica,2022,Formal,3.0,Asalariados públicos,12.897894
CRI,Costa Rica,2022,Formal,4.0,Cuentapropistas profesionales,1.6158381
CRI,Costa Rica,2022,Informal,5.0,Asalariados en microempresas,16.891368
CRI,Costa Rica,2022,Informal,6.0,Cuentapropistas sin calificación,17.707073
CRI,Costa Rica,2022,Informal,7.0,Trabajadores sin ingresos,0.81113348
DOM,Rep. Dominicana,2022,Formal,1.0,Empleadores,3.606441
DOM,Rep. Dominicana,2022,Formal,2.0,Asalariados en pequeñas y grandes empresas,28.71505
DOM,Rep. Dominicana,2022,Formal,3.0,Asalariados públicos,14.38774
DOM,Rep. Dominicana,2022,Formal,4.0,Cuentapropistas profesionales,2.815716
DOM,Rep. Dominicana,2022,Informal,5.0,Asalariados en microempresas,9.583243
DOM,Rep. Dominicana,2022,Informal,6.0,Cuentapropistas sin calificación,39.2301
DOM,Rep. Dominicana,2022,Informal,7.0,Trabajadores sin ingresos,1.661711
ECU,Ecuador,2022,Formal,1.0,Empleadores,2.311471
ECU,Ecuador,2022,Formal,2.0,Asalariados en pequeñas y grandes empresas,19.42178
