"anio","nivel_ed_cod","nivel_ed_desc","tasa_desocupacion"
"2003","1","Hasta secundaria incompleta","0.11919442"
"2003","2","Secundaria completa","0.10171868"
"2003","4","Superior completa","0.04682136"
"2003","3","Superior incompleta","0.096214592"
"2004","1","Hasta secundaria incompleta","0.10460488"
"2004","2","Secundaria completa","0.099458046"
"2004","4","Superior completa","0.041895073"
"2004","3","Superior incompleta","0.090843894"
"2005","1","Hasta secundaria incompleta","0.090139791"
"2005","2","Secundaria completa","0.071932659"
"2005","4","Superior completa","0.037489228"
"2005","3","Superior incompleta","0.07189922"
"2006","1","Hasta secundaria incompleta","0.078615054"
"2006","2","Secundaria completa","0.074054629"
"2006","4","Superior completa","0.025900045"
"2006","3","Superior incompleta","0.066080503"
"2007","1","Hasta secundaria incompleta","0.067889184"
"2007","2","Secundaria completa","0.057598382"
"2007","4","Superior completa","0.026020689"
"2007","3","Superior incompleta","0.057713412"
"2008","1","Hasta secundaria incompleta","0.065228097"
"2008","2","Secundaria completa","0.049412612"
"2008","4","Superior completa","0.029765729"
"2008","3","Superior incompleta","0.051418029"
"2009","1","Hasta secundaria incompleta","0.072613768"
"2009","2","Secundaria completa","0.054008521"
"2009","4","Superior completa","0.033083797"
"2009","3","Superior incompleta","0.060195085"
"2010","1","Hasta secundaria incompleta","0.062677503"
"2010","2","Secundaria completa","0.052542299"
"2010","4","Superior completa","0.022908093"
"2010","3","Superior incompleta","0.060446654"
"2011","1","Hasta secundaria incompleta","0.058233906"
"2011","2","Secundaria completa","0.050067391"
"2011","4","Superior completa","0.023241036"
"2011","3","Superior incompleta","0.052782591"
"2012","1","Hasta secundaria incompleta","0.059722897"
"2012","2","Secundaria completa","0.052926738"
"2012","4","Superior completa","0.02679177"
"2012","3","Superior incompleta","0.052967098"
"2013","1","Hasta secundaria incompleta","0.05329245"
"2013","2","Secundaria completa","0.04717987"
"2013","4","Superior completa","0.027228812"
"2013","3","Superior incompleta","0.049825702"
"2014","1","Hasta secundaria incompleta","0.060642924"
"2014","2","Secundaria completa","0.048205867"
"2014","4","Superior completa","0.02756458"
"2014","3","Superior incompleta","0.051182289"
"2015","1","Hasta secundaria incompleta","0.052471366"
"2015","2","Secundaria completa","0.047707275"
"2015","4","Superior completa","0.026932057"
"2015","3","Superior incompleta","0.049340561"
"2016","1","Hasta secundaria incompleta","0.07236509"
"2016","2","Secundaria completa","0.053276002"
"2016","4","Superior completa","0.022511145"
"2016","3","Superior incompleta","0.063973263"
"2017","1","Hasta secundaria incompleta","0.081186108"
"2017","2","Secundaria completa","0.051423997"
"2017","4","Superior completa","0.028786093"
"2017","3","Superior incompleta","0.050799757"
"2018","1","Hasta secundaria incompleta","0.084986791"
"2018","2","Secundaria completa","0.067325182"
"2018","4","Superior completa","0.031095471"
"2018","3","Superior incompleta","0.067041256"
"2019","1","Hasta secundaria incompleta","0.098548003"
"2019","2","Secundaria completa","0.074104592"
"2019","4","Superior completa","0.029551974"
"2019","3","Superior incompleta","0.065106675"
"2020","1","Hasta secundaria incompleta","0.1142854"
"2020","2","Secundaria completa","0.092473924"
"2020","4","Superior completa","0.037244435"
"2020","3","Superior incompleta","0.067140162"
"2021","1","Hasta secundaria incompleta","0.085339144"
"2021","2","Secundaria completa","0.069220237"
"2021","4","Superior completa","0.029351976"
"2021","3","Superior incompleta","0.061043654"
"2022","1","Hasta secundaria incompleta","0.057805553"
"2022","2","Secundaria completa","0.056992114"
"2022","4","Superior completa","0.024144253"
"2022","3","Superior incompleta","0.044634558"
"2023","1","Hasta secundaria incompleta","0.057169847"
"2023","2","Secundaria completa","0.050802626"
"2023","4","Superior completa","0.025859999"
"2023","3","Superior incompleta","0.044627588"
