anio,prov_cod,prov_desc,tipo_informalidad,valor,geocodigoFundar,geonombreFundar
2016,2,CABA,Informalidad (definición productiva),0.262605304100318,AR-C,CABA
2016,2,CABA,Informalidad (definición legal),0.208920240561356,AR-C,CABA
2016,6,Buenos Aires,Informalidad (definición productiva),0.450305313585956,AR-B,Buenos Aires
2016,6,Buenos Aires,Informalidad (definición legal),0.365511202036232,AR-B,Buenos Aires
2016,10,Catamarca,Informalidad (definición productiva),0.388740950983831,AR-K,Catamarca
2016,10,Catamarca,Informalidad (definición legal),0.331275173072567,AR-K,Catamarca
2016,14,Córdoba,Informalidad (definición productiva),0.516390348857123,AR-X,Córdoba
2016,14,Córdoba,Informalidad (definición legal),0.436596969436767,AR-X,Córdoba
2016,18,Corrientes,Informalidad (definición productiva),0.496687317887352,AR-W,Corrientes
2016,18,Corrientes,Informalidad (definición legal),0.425736117071857,AR-W,Corrientes
2016,22,Chaco,Informalidad (definición productiva),0.465554861879478,AR-H,Chaco
2016,22,Chaco,Informalidad (definición legal),0.467158169468084,AR-H,Chaco
2016,26,Chubut,Informalidad (definición productiva),0.337877775372481,AR-U,Chubut
2016,26,Chubut,Informalidad (definición legal),0.207359864581313,AR-U,Chubut
2016,30,Entre Ríos,Informalidad (definición productiva),0.451131862371588,AR-E,Entre Ríos
2016,30,Entre Ríos,Informalidad (definición legal),0.317327676868505,AR-E,Entre Ríos
2016,34,Formosa,Informalidad (definición productiva),0.519501969254224,AR-P,Formosa
2016,34,Formosa,Informalidad (definición legal),0.366415023119751,AR-P,Formosa
2016,38,Jujuy,Informalidad (definición productiva),0.463496925175277,AR-Y,Jujuy
2016,38,Jujuy,Informalidad (definición legal),0.353369647833798,AR-Y,Jujuy
2016,42,La Pampa,Informalidad (definición productiva),0.483973796302285,AR-L,La Pampa
2016,42,La Pampa,Informalidad (definición legal),0.308382071007353,AR-L,La Pampa
2016,46,La Rioja,Informalidad (definición productiva),0.376386694284568,AR-F,La Rioja
2016,46,La Rioja,Informalidad (definición legal),0.370168903604722,AR-F,La Rioja
2016,50,Mendoza,Informalidad (definición productiva),0.457465913434991,AR-M,Mendoza
2016,50,Mendoza,Informalidad (definición legal),0.406295644316004,AR-M,Mendoza
2016,54,Misiones,Informalidad (definición productiva),0.456693570431755,AR-N,Misiones
2016,54,Misiones,Informalidad (definición legal),0.390359865562751,AR-N,Misiones
2016,58,Neuquén,Informalidad (definición productiva),0.415283729194583,AR-Q,Neuquén
2016,58,Neuquén,Informalidad (definición legal),0.256623615294298,AR-Q,Neuquén
2016,62,Río Negro,Informalidad (definición productiva),0.449198269484384,AR-R,Río Negro
2016,62,Río Negro,Informalidad (definición legal),0.273133027939769,AR-R,Río Negro
2016,66,Salta,Informalidad (definición productiva),0.507266783194148,AR-A,Salta
2016,66,Salta,Informalidad (definición legal),0.480523186533372,AR-A,Salta
2016,70,San Juan,Informalidad (definición productiva),0.42210588493088,AR-J,San Juan
2016,70,San Juan,Informalidad (definición legal),0.407902260863149,AR-J,San Juan
2016,74,San Luis,Informalidad (definición productiva),0.415716531449325,AR-D,San Luis
2016,74,San Luis,Informalidad (definición legal),0.352129429230687,AR-D,San Luis
2016,78,Santa Cruz,Informalidad (definición productiva),0.244155886131694,AR-Z,Santa Cruz
2016,78,Santa Cruz,Informalidad (definición legal),0.153792982763146,AR-Z,Santa Cruz
2016,82,Santa Fe,Informalidad (definición productiva),0.451202414152631,AR-S,Santa Fe
2016,82,Santa Fe,Informalidad (definición legal),0.337459546646128,AR-S,Santa Fe
2016,86,Santiago del Estero,Informalidad (definición productiva),0.462726236021189,AR-G,Santiago del Estero
2016,86,Santiago del Estero,Informalidad (definición legal),0.439025374623071,AR-G,Santiago del Estero
2016,90,Tucumán,Informalidad (definición productiva),0.454008170173725,AR-T,Tucumán
2016,90,Tucumán,Informalidad (definición legal),0.468115345970232,AR-T,Tucumán
2016,94,Tierra del Fuego,Informalidad (definición productiva),0.217516697024894,AR-V,Tierra del Fuego
2016,94,Tierra del Fuego,Informalidad (definición legal),0.0823006985642574,AR-V,Tierra del Fuego
2017,2,CABA,Informalidad (definición productiva),0.259832503297321,AR-C,CABA
2017,2,CABA,Informalidad (definición legal),0.235824229848826,AR-C,CABA
2017,6,Buenos Aires,Informalidad (definición productiva),0.436816193084057,AR-B,Buenos Aires
2017,6,Buenos Aires,Informalidad (definición legal),0.364983863258397,AR-B,Buenos Aires
2017,10,Catamarca,Informalidad (definición productiva),0.381998727133276,AR-K,Catamarca
2017,10,Catamarca,Informalidad (definición legal),0.345130629509828,AR-K,Catamarca
2017,14,Córdoba,Informalidad (definición productiva),0.502479622466418,AR-X,Córdoba
2017,14,Córdoba,Informalidad (definición legal),0.46499838452479,AR-X,Córdoba
2017,18,Corrientes,Informalidad (definición productiva),0.445151973245277,AR-W,Corrientes
2017,18,Corrientes,Informalidad (definición legal),0.403547543611076,AR-W,Corrientes
