"iso3","anio","puestos_per_capita"
"ABW","1950",""
"ABW","1951",""
"ABW","1952",""
"ABW","1953",""
"ABW","1954",""
"ABW","1955",""
"ABW","1956",""
"ABW","1957",""
"ABW","1958",""
"ABW","1959",""
"ABW","1960",""
"ABW","1961",""
"ABW","1962",""
"ABW","1963",""
"ABW","1964",""
"ABW","1965",""
"ABW","1966",""
"ABW","1967",""
"ABW","1968",""
"ABW","1969",""
"ABW","1970",""
"ABW","1971",""
"ABW","1972",""
"ABW","1973",""
"ABW","1974",""
"ABW","1975",""
"ABW","1976",""
"ABW","1977",""
"ABW","1978",""
"ABW","1979",""
"ABW","1980",""
"ABW","1981",""
"ABW","1982",""
"ABW","1983",""
"ABW","1984",""
"ABW","1985",""
"ABW","1986",""
"ABW","1987",""
"ABW","1988",""
"ABW","1989",""
"ABW","1990",""
"ABW","1991","0.45185852"
"ABW","1992","0.45289475"
"ABW","1993","0.45393091"
"ABW","1994","0.45496714"
"ABW","1995","0.45600337"
"ABW","1996","0.45703962"
"ABW","1997","0.45807585"
"ABW","1998","0.45911211"
"ABW","1999","0.46014833"
"ABW","2000","0.46118456"
"ABW","2001","0.46080279"
"ABW","2002","0.46042097"
"ABW","2003","0.4600392"
"ABW","2004","0.4596574"
"ABW","2005","0.45927554"
"ABW","2006","0.45889378"
"ABW","2007","0.45851198"
"ABW","2008","0.45813018"
"ABW","2009","0.45774835"
"ABW","2010","0.45736656"
"ABW","2011","0.44773865"
"ABW","2012","0.44773862"
"ABW","2013","0.44773862"
"ABW","2014","0.44773862"
"ABW","2015","0.44773865"
"ABW","2016","0.44773865"
"ABW","2017","0.44773862"
"ABW","2018","0.44773865"
"ABW","2019","0.44773865"
"AGO","1950",""
"AGO","1951",""
"AGO","1952",""
"AGO","1953",""
"AGO","1954",""
"AGO","1955",""
"AGO","1956",""
"AGO","1957",""
"AGO","1958",""
"AGO","1959",""
"AGO","1960",""
"AGO","1961",""
"AGO","1962",""
"AGO","1963",""
"AGO","1964",""
"AGO","1965",""
"AGO","1966",""
"AGO","1967",""
"AGO","1968",""
"AGO","1969",""
"AGO","1970","0.6224075"
"AGO","1971","0.61953688"
"AGO","1972","0.61666626"
"AGO","1973","0.61379564"
"AGO","1974","0.61092502"
"AGO","1975","0.6080544"
"AGO","1976","0.60518378"
"AGO","1977","0.6023131"
"AGO","1978","0.59944254"
"AGO","1979","0.59657192"
"AGO","1980","0.5937013"
"AGO","1981","0.59060246"
"AGO","1982","0.58750367"
"AGO","1983","0.58440489"
"AGO","1984","0.58130604"
"AGO","1985","0.57820719"
"AGO","1986","0.57510841"
"AGO","1987","0.57200956"
"AGO","1988","0.56891072"
"AGO","1989","0.56581193"
"AGO","1990","0.56271309"
"AGO","1991","0.56040698"
"AGO","1992","0.55832493"
"AGO","1993","0.55610996"
"AGO","1994","0.55291498"
"AGO","1995","0.55002296"
"AGO","1996","0.54794908"
"AGO","1997","0.54785609"
"AGO","1998","0.54878348"
"AGO","1999","0.55026186"
"AGO","2000","0.55280834"
"AGO","2001","0.5544855"
"AGO","2002","0.55373877"
"AGO","2003","0.55132562"
"AGO","2004","0.54799986"
"AGO","2005","0.54645604"
"AGO","2006","0.54617101"
"AGO","2007","0.54601526"
"AGO","2008","0.54583865"
"AGO","2009","0.5449506"
"AGO","2010","0.51283211"
"AGO","2011","0.52387619"
"AGO","2012","0.52261138"
"AGO","2013","0.52143055"
"AGO","2014","0.52109677"
"AGO","2015","0.52104789"
"AGO","2016","0.52104861"
"AGO","2017","0.52133596"
"AGO","2018","0.52185792"
"AGO","2019","0.52301049"
"AIA","1950",""
"AIA","1951",""
"AIA","1952",""
"AIA","1953",""
"AIA","1954",""
"AIA","1955",""
"AIA","1956",""
"AIA","1957",""
"AIA","1958",""
"AIA","1959",""
"AIA","1960",""
"AIA","1961",""
"AIA","1962",""
"AIA","1963",""
"AIA","1964",""
"AIA","1965",""
"AIA","1966",""
"AIA","1967",""
"AIA","1968",""
"AIA","1969",""
"AIA","1970",""
"AIA","1971",""
"AIA","1972",""
"AIA","1973",""
"AIA","1974","0.1689665"
"AIA","1975","0.17995217"
"AIA","1976","0.19093785"
"AIA","1977","0.20192353"
"AIA","1978","0.21290924"
"AIA","1979","0.22389494"
"AIA","1980","0.23488063"
"AIA","1981","0.24586631"
"AIA","1982","0.256852"
"AIA","1983","0.26783767"
"AIA","1984","0.27882338"
"AIA","1985","0.29888901"
"AIA","1986","0.31895468"
"AIA","1987","0.33902031"
"AIA","1988","0.35908592"
"AIA","1989","0.37915158"
"AIA","1990","0.39921722"
"AIA","1991","0.41928285"
"AIA","1992","0.43934849"
"AIA","1993","0.4445678"
"AIA","1994","0.44978711"
"AIA","1995","0.45500639"
"AIA","1996","0.4602257"
"AIA","1997","0.46544504"
"AIA","1998","0.47066435"
"AIA","1999","0.47588363"
"AIA","2000","0.48110294"
"AIA","2001","0.48632216"
"AIA","2002","0.45472693"
"AIA","2003",""
"AIA","2004",""
"AIA","2005",""
"AIA","2006",""
"AIA","2007",""
"AIA","2008",""
"AIA","2009",""
"AIA","2010",""
"AIA","2011",""
"AIA","2012",""
"AIA","2013",""
"AIA","2014",""
"AIA","2015",""
"AIA","2016",""
"AIA","2017",""
"AIA","2018",""
"AIA","2019",""
"ALB","1950",""
"ALB","1951",""
"ALB","1952",""
"ALB","1953",""
"ALB","1954",""
"ALB","1955",""
"ALB","1956",""
"ALB","1957",""
"ALB","1958",""
"ALB","1959",""
"ALB","1960",""
"ALB","1961",""
"ALB","1962",""
"ALB","1963",""
"ALB","1964",""
"ALB","1965",""
"ALB","1966",""
"ALB","1967",""
"ALB","1968",""
"ALB","1969",""
"ALB","1970","0.35762995"
"ALB","1971","0.36015108"
"ALB","1972","0.36267224"
"ALB","1973","0.3651934"
"ALB","1974","0.36771455"
"ALB","1975","0.37023571"
"ALB","1976","0.37275684"
"ALB","1977","0.375278"
"ALB","1978","0.37779915"
"ALB","1979","0.38032031"
"ALB","1980","0.38284147"
"ALB","1981","0.38846216"
"ALB","1982","0.39869478"
"ALB","1983","0.40222007"
"ALB","1984","0.40256801"
"ALB","1985","0.40016106"
"ALB","1986","0.40536416"
"ALB","1987","0.40932682"
"ALB","1988","0.40827286"
"ALB","1989","0.40815675"
"ALB","1990","0.40293634"
"ALB","1991","0.40161708"
"ALB","1992","0.3242622"
"ALB","1993","0.3103573"
"ALB","1994","0.33970204"
"ALB","1995","0.3278144"
"ALB","1996","0.31689614"
"ALB","1997","0.31247264"
"ALB","1998","0.30730945"
"ALB","1999","0.3040531"
"ALB","2000","0.30773175"
"ALB","2001","0.31350768"
"ALB","2002","0.31639481"
"ALB","2003","0.32142851"
"ALB","2004","0.32571009"
"ALB","2005","0.32829478"
"ALB","2006","0.33139077"
"ALB","2007","0.3343679"
"ALB","2008","0.32189065"
"ALB","2009","0.30291551"
"ALB","2010","0.30217484"
"ALB","2011","0.3084068"
"ALB","2012","0.31886253"
"ALB","2013","0.30393291"
"ALB","2014","0.30580565"
"ALB","2015","0.32049513"
"ALB","2016","0.34257045"
"ALB","2017","0.35889503"
"ALB","2018","0.37154359"
"ALB","2019","0.37345669"
"ARE","1950",""
"ARE","1951",""
"ARE","1952",""
"ARE","1953",""
"ARE","1954",""
"ARE","1955",""
"ARE","1956",""
"ARE","1957",""
"ARE","1958",""
"ARE","1959",""
"ARE","1960",""
"ARE","1961",""
"ARE","1962",""
"ARE","1963",""
"ARE","1964",""
"ARE","1965",""
"ARE","1966",""
"ARE","1967",""
"ARE","1968",""
"ARE","1969",""
"ARE","1970","0.43467692"
"ARE","1971","0.45706826"
"ARE","1972","0.48501539"
"ARE","1973","0.51380646"
"ARE","1974","0.54220098"
"ARE","1975","0.52544129"
"ARE","1976","0.5288955"
"ARE","1977","0.53234965"
"ARE","1978","0.53580385"
"ARE","1979","0.539258"
"ARE","1980","0.54271227"
"ARE","1981","0.53313303"
"ARE","1982","0.52355379"
"ARE","1983","0.51397461"
"ARE","1984","0.50439537"
"ARE","1985","0.49481615"
"ARE","1986","0.49965137"
"ARE","1987","0.50448656"
"ARE","1988","0.50932175"
"ARE","1989","0.51415694"
"ARE","1990","0.51899219"
"ARE","1991","0.52382737"
"ARE","1992","0.52866256"
"ARE","1993","0.53349775"
"ARE","1994","0.53833294"
"ARE","1995","0.54316819"
"ARE","1996","0.54806131"
"ARE","1997","0.55295449"
"ARE","1998","0.55784762"
"ARE","1999","0.5627408"
"ARE","2000","0.56763393"
"ARE","2001","0.56220561"
"ARE","2002","0.55677724"
"ARE","2003","0.55134892"
"ARE","2004","0.54592055"
"ARE","2005","0.54049224"
"ARE","2006","0.55766052"
"ARE","2007","0.57844025"
"ARE","2008","0.59558535"
"ARE","2009","0.60719538"
"ARE","2010","0.6167239"
"ARE","2011","0.61402547"
"ARE","2012","0.61050385"
"ARE","2013","0.60669434"
"ARE","2014","0.60663158"
"ARE","2015","0.60787225"
"ARE","2016","0.60404754"
"ARE","2017","0.59662145"
"ARE","2018","0.59598559"
"ARE","2019","0.59452605"
"ARG","1950","0.38666633"
"ARG","1951","0.38454658"
"ARG","1952","0.38276458"
"ARG","1953","0.38126537"
"ARG","1954","0.37999934"
"ARG","1955","0.37892145"
"ARG","1956","0.37718427"
"ARG","1957","0.37566385"
"ARG","1958","0.37431818"
"ARG","1959","0.37310877"
"ARG","1960","0.37200007"
"ARG","1961","0.37070516"
"ARG","1962","0.36953282"
"ARG","1963","0.36846438"
"ARG","1964","0.36748236"
"ARG","1965","0.36657053"
"ARG","1966","0.36567461"
"ARG","1967","0.36495152"
"ARG","1968","0.3642444"
"ARG","1969","0.36340657"
"ARG","1970","0.36230096"
"ARG","1971","0.36005241"
"ARG","1972","0.35769302"
"ARG","1973","0.35530224"
"ARG","1974","0.36236191"
"ARG","1975","0.35900331"
"ARG","1976","0.35381454"
"ARG","1977","0.35799301"
"ARG","1978","0.35592589"
"ARG","1979","0.3567268"
"ARG","1980","0.35232243"
"ARG","1981","0.34762987"
"ARG","1982","0.34753609"
"ARG","1983","0.352548"
"ARG","1984","0.35500863"
"ARG","1985","0.3519071"
"ARG","1986","0.35660687"
"ARG","1987","0.3583698"
"ARG","1988","0.35985151"
"ARG","1989","0.3576031"
"ARG","1990","0.36210814"
"ARG","1991","0.36853236"
"ARG","1992","0.36940601"
"ARG","1993","0.36340809"
"ARG","1994","0.36090747"
"ARG","1995","0.33982015"
"ARG","1996","0.34435356"
"ARG","1997","0.35792011"
"ARG","1998","0.3702125"
"ARG","1999","0.36913356"
"ARG","2000","0.36881119"
"ARG","2001","0.36231375"
"ARG","2002","0.35594591"
"ARG","2003","0.36938542"
"ARG","2004","0.38960999"
"ARG","2005","0.40494734"
"ARG","2006","0.41481733"
"ARG","2007","0.4274087"
"ARG","2008","0.43338776"
"ARG","2009","0.43381536"
"ARG","2010","0.44202015"
"ARG","2011","0.44742996"
"ARG","2012","0.45003483"
"ARG","2013","0.45322791"
"ARG","2014","0.4546009"
"ARG","2015","0.46092302"
"ARG","2016","0.45331815"
"ARG","2017","0.45596188"
"ARG","2018","0.45388973"
"ARG","2019","0.46098489"
"ARM","1950",""
"ARM","1951",""
"ARM","1952",""
"ARM","1953",""
"ARM","1954",""
"ARM","1955",""
"ARM","1956",""
"ARM","1957",""
"ARM","1958",""
"ARM","1959",""
"ARM","1960",""
"ARM","1961",""
"ARM","1962",""
"ARM","1963",""
"ARM","1964",""
"ARM","1965",""
"ARM","1966",""
"ARM","1967",""
"ARM","1968",""
"ARM","1969",""
"ARM","1970",""
"ARM","1971",""
"ARM","1972",""
"ARM","1973",""
"ARM","1974",""
"ARM","1975",""
"ARM","1976",""
"ARM","1977",""
"ARM","1978",""
"ARM","1979",""
"ARM","1980",""
"ARM","1981",""
"ARM","1982",""
"ARM","1983",""
"ARM","1984",""
"ARM","1985",""
"ARM","1986",""
"ARM","1987",""
"ARM","1988",""
"ARM","1989",""
"ARM","1990","0.51794857"
"ARM","1991","0.52210766"
"ARM","1992","0.50428128"
"ARM","1993","0.51999319"
"ARM","1994","0.52160221"
"ARM","1995","0.52889413"
"ARM","1996","0.51588148"
"ARM","1997","0.49427572"
"ARM","1998","0.48285192"
"ARM","1999","0.46904415"
"ARM","2000","0.46223536"
"ARM","2001","0.45759904"
"ARM","2002","0.40068033"
"ARM","2003","0.40198082"
"ARM","2004","0.39278796"
"ARM","2005","0.39922059"
"ARM","2006","0.3975713"
"ARM","2007","0.40128845"
"ARM","2008","0.40734324"
"ARM","2009","0.39743495"
"ARM","2010","0.40317577"
"ARM","2011","0.40008777"
"ARM","2012","0.39973798"
"ARM","2013","0.39704686"
"ARM","2014","0.38725352"
"ARM","2015","0.36693183"
"ARM","2016","0.34459859"
"ARM","2017","0.34734356"
"ARM","2018","0.31373963"
"ARM","2019","0.32663247"
"ATG","1950",""
"ATG","1951",""
"ATG","1952",""
"ATG","1953",""
"ATG","1954",""
"ATG","1955",""
"ATG","1956",""
"ATG","1957",""
"ATG","1958",""
"ATG","1959",""
"ATG","1960",""
"ATG","1961",""
"ATG","1962",""
"ATG","1963",""
"ATG","1964",""
"ATG","1965",""
"ATG","1966",""
"ATG","1967",""
"ATG","1968",""
"ATG","1969",""
"ATG","1970",""
"ATG","1971",""
"ATG","1972",""
"ATG","1973",""
"ATG","1974",""
"ATG","1975",""
"ATG","1976",""
"ATG","1977",""
"ATG","1978",""
"ATG","1979",""
"ATG","1980",""
"ATG","1981",""
"ATG","1982",""
"ATG","1983",""
"ATG","1984",""
"ATG","1985",""
"ATG","1986",""
"ATG","1987",""
"ATG","1988",""
"ATG","1989",""
"ATG","1990",""
"ATG","1991","0.44029224"
"ATG","1992","0.44314694"
"ATG","1993","0.44600162"
"ATG","1994","0.44885629"
"ATG","1995","0.45171097"
"ATG","1996","0.45456564"
"ATG","1997","0.45742035"
"ATG","1998","0.46027502"
"ATG","1999","0.4631297"
"ATG","2000","0.46598437"
"ATG","2001","0.46883905"
"ATG","2002","0.43936396"
"ATG","2003","0.44262296"
"ATG","2004","0.44438359"
"ATG","2005","0.44681767"
"ATG","2006","0.44858772"
"ATG","2007","0.44986075"
"ATG","2008","0.4508355"
"ATG","2009",""
"ATG","2010",""
"ATG","2011",""
"ATG","2012",""
"ATG","2013",""
"ATG","2014",""
"ATG","2015",""
"ATG","2016",""
"ATG","2017",""
"ATG","2018",""
"ATG","2019",""
"AUS","1950","0.41056138"
"AUS","1951","0.40976137"
"AUS","1952","0.40896142"
"AUS","1953","0.4081614"
"AUS","1954","0.40736139"
"AUS","1955","0.40656143"
"AUS","1956","0.40576145"
"AUS","1957","0.40210193"
"AUS","1958","0.39737448"
"AUS","1959","0.39367002"
"AUS","1960","0.39688584"
"AUS","1961","0.38911107"
"AUS","1962","0.39120659"
"AUS","1963","0.39483571"
"AUS","1964","0.40109628"
"AUS","1965","0.40525958"
"AUS","1966","0.41209847"
"AUS","1967","0.4172155"
"AUS","1968","0.41930041"
"AUS","1969","0.42135346"
"AUS","1970","0.42763019"
"AUS","1971","0.4283525"
"AUS","1972","0.42676717"
"AUS","1973","0.43171969"
"AUS","1974","0.43351528"
"AUS","1975","0.42645499"
"AUS","1976","0.42769891"
"AUS","1977","0.4267512"
"AUS","1978","0.42331085"
"AUS","1979","0.42404595"
"AUS","1980","0.43030849"
"AUS","1981","0.43014407"
"AUS","1982","0.42326888"
"AUS","1983","0.41075626"
"AUS","1984","0.41874555"
"AUS","1985","0.42658061"
"AUS","1986","0.4383226"
"AUS","1987","0.44128162"
"AUS","1988","0.45052561"
"AUS","1989","0.46200845"
"AUS","1990","0.4625712"
"AUS","1991","0.44644326"
"AUS","1992","0.43876329"
"AUS","1993","0.43555722"
"AUS","1994","0.44512555"
"AUS","1995","0.45659113"
"AUS","1996","0.45747432"
"AUS","1997","0.45589775"
"AUS","1998","0.45884982"
"AUS","1999","0.46204987"
"AUS","2000","0.46877179"
"AUS","2001","0.46949944"
"AUS","2002","0.4734346"
"AUS","2003","0.4789018"
"AUS","2004","0.48093858"
"AUS","2005","0.49118876"
"AUS","2006","0.49519917"
"AUS","2007","0.5014739"
"AUS","2008","0.50429469"
"AUS","2009","0.49899361"
"AUS","2010","0.50198245"
"AUS","2011","0.50254482"
"AUS","2012","0.49987713"
"AUS","2013","0.49683845"
"AUS","2014","0.49444947"
"AUS","2015","0.49758664"
"AUS","2016","0.49753523"
"AUS","2017","0.50129259"
"AUS","2018","0.50684232"
"AUS","2019","0.51037866"
"AUT","1950","0.42043042"
"AUT","1951","0.42838579"
"AUT","1952","0.41924059"
"AUT","1953","0.41442862"
"AUT","1954","0.42604822"
"AUT","1955","0.44711161"
"AUT","1956","0.46038067"
"AUT","1957","0.46994171"
"AUT","1958","0.47228396"
"AUT","1959","0.47750485"
"AUT","1960","0.48498896"
"AUT","1961","0.48497471"
"AUT","1962","0.47975424"
"AUT","1963","0.47341987"
"AUT","1964","0.46949321"
"AUT","1965","0.46331689"
"AUT","1966","0.45625845"
"AUT","1967","0.44547883"
"AUT","1968","0.43735436"
"AUT","1969","0.43504152"
"AUT","1970","0.43439853"
"AUT","1971","0.43721557"
"AUT","1972","0.43789086"
"AUT","1973","0.44155672"
"AUT","1974","0.44653845"
"AUT","1975","0.44441897"
"AUT","1976","0.44670072"
"AUT","1977","0.4519628"
"AUT","1978","0.45458657"
"AUT","1979","0.45730755"
"AUT","1980","0.46147755"
"AUT","1981","0.45873037"
"AUT","1982","0.45187259"
"AUT","1983","0.45015785"
"AUT","1984","0.44968322"
"AUT","1985","0.45065889"
"AUT","1986","0.45148888"
"AUT","1987","0.45058733"
"AUT","1988","0.4532502"
"AUT","1989","0.45740163"
"AUT","1990","0.46094832"
"AUT","1991","0.46200478"
"AUT","1992","0.45900387"
"AUT","1993","0.45277205"
"AUT","1994","0.45094076"
"AUT","1995","0.44867337"
"AUT","1996","0.44980925"
"AUT","1997","0.45258495"
"AUT","1998","0.45666638"
"AUT","1999","0.46269354"
"AUT","2000","0.46595645"
"AUT","2001","0.4675175"
"AUT","2002","0.46477777"
"AUT","2003","0.46553662"
"AUT","2004","0.4655515"
"AUT","2005","0.46795845"
"AUT","2006","0.47380403"
"AUT","2007","0.48089945"
"AUT","2008","0.48852381"
"AUT","2009","0.4846684"
"AUT","2010","0.48715529"
"AUT","2011","0.4930672"
"AUT","2012","0.49592006"
"AUT","2013","0.49471855"
"AUT","2014","0.4955354"
"AUT","2015","0.49296087"
"AUT","2016","0.49400711"
"AUT","2017","0.49870569"
"AUT","2018","0.5048123"
"AUT","2019","0.50812161"
"AZE","1950",""
"AZE","1951",""
"AZE","1952",""
"AZE","1953",""
"AZE","1954",""
"AZE","1955",""
"AZE","1956",""
"AZE","1957",""
"AZE","1958",""
"AZE","1959",""
"AZE","1960",""
"AZE","1961",""
"AZE","1962",""
"AZE","1963",""
"AZE","1964",""
"AZE","1965",""
"AZE","1966",""
"AZE","1967",""
"AZE","1968",""
"AZE","1969",""
"AZE","1970",""
"AZE","1971",""
"AZE","1972",""
"AZE","1973",""
"AZE","1974",""
"AZE","1975",""
"AZE","1976",""
"AZE","1977",""
"AZE","1978",""
"AZE","1979",""
"AZE","1980",""
"AZE","1981",""
"AZE","1982",""
"AZE","1983",""
"AZE","1984",""
"AZE","1985",""
"AZE","1986",""
"AZE","1987",""
"AZE","1988",""
"AZE","1989",""
"AZE","1990","0.53540856"
