anio,provincia,tasa_empleo,geocodigoFundar,geonombreFundar
2016,CABA,0.513004338146002,AR-C,CABA
2016,Buenos Aires,0.406335490515795,AR-B,Buenos Aires
2016,Catamarca,0.409790030453598,AR-K,Catamarca
2016,Córdoba,0.40789645758115,AR-X,Córdoba
2016,Corrientes,0.395460104724128,AR-W,Corrientes
2016,Chaco,0.357439904872441,AR-H,Chaco
2016,Chubut,0.416649298551212,AR-U,Chubut
2016,Entre Ríos,0.37997722850596,AR-E,Entre Ríos
2016,Formosa,0.308432146732913,AR-P,Formosa
2016,Jujuy,0.390209233391497,AR-Y,Jujuy
2016,La Pampa,0.388765245562452,AR-L,La Pampa
2016,La Rioja,0.397530957248691,AR-F,La Rioja
2016,Mendoza,0.404397469838126,AR-M,Mendoza
2016,Misiones,0.412525553158862,AR-N,Misiones
2016,Neuquén,0.398816205554592,AR-Q,Neuquén
2016,Río Negro,0.409027370183324,AR-R,Río Negro
2016,Salta,0.373636307776739,AR-A,Salta
2016,San Juan,0.344725585142913,AR-J,San Juan
2016,San Luis,0.394589346291808,AR-D,San Luis
2016,Santa Cruz,0.406656708704393,AR-Z,Santa Cruz
2016,Santa Fe,0.400392525326519,AR-S,Santa Fe
2016,Santiago del Estero,0.36571062246403,AR-G,Santiago del Estero
2016,Tucumán,0.40634912013904,AR-T,Tucumán
2016,Tierra del Fuego,0.440984764672167,AR-V,Tierra del Fuego
2017,CABA,0.49975704923768,AR-C,CABA
2017,Buenos Aires,0.413326776762686,AR-B,Buenos Aires
2017,Catamarca,0.406615598885794,AR-K,Catamarca
2017,Córdoba,0.410528532154554,AR-X,Córdoba
2017,Corrientes,0.396477839999385,AR-W,Corrientes
2017,Chaco,0.377445754404833,AR-H,Chaco
2017,Chubut,0.396965230664221,AR-U,Chubut
2017,Entre Ríos,0.399841041357398,AR-E,Entre Ríos
2017,Formosa,0.29263684587516,AR-P,Formosa
2017,Jujuy,0.404053883884284,AR-Y,Jujuy
2017,La Pampa,0.375637675749658,AR-L,La Pampa
2017,La Rioja,0.395300004329513,AR-F,La Rioja
2017,Mendoza,0.400594439475253,AR-M,Mendoza
2017,Misiones,0.42365650101903,AR-N,Misiones
2017,Neuquén,0.416593013872344,AR-Q,Neuquén
2017,Río Negro,0.394261473594124,AR-R,Río Negro
2017,Salta,0.396226008570247,AR-A,Salta
2017,San Juan,0.35671337974868,AR-J,San Juan
2017,San Luis,0.378524099842371,AR-D,San Luis
2017,Santa Cruz,0.399072778327265,AR-Z,Santa Cruz
2017,Santa Fe,0.411133969303117,AR-S,Santa Fe
2017,Santiago del Estero,0.374802003252346,AR-G,Santiago del Estero
2017,Tucumán,0.400880635735714,AR-T,Tucumán
2017,Tierra del Fuego,0.398716101309862,AR-V,Tierra del Fuego
2018,CABA,0.49214515135441,AR-C,CABA
2018,Buenos Aires,0.410119219591475,AR-B,Buenos Aires
2018,Catamarca,0.4051060980989,AR-K,Catamarca
2018,Córdoba,0.42136458731776,AR-X,Córdoba
2018,Corrientes,0.38955477686754,AR-W,Corrientes
2018,Chaco,0.342934362059141,AR-H,Chaco
2018,Chubut,0.384245254550406,AR-U,Chubut
2018,Entre Ríos,0.429531713232063,AR-E,Entre Ríos
2018,Formosa,0.312231962404903,AR-P,Formosa
2018,Jujuy,0.403387209267065,AR-Y,Jujuy
2018,La Pampa,0.381835525288078,AR-L,La Pampa
2018,La Rioja,0.414197686921083,AR-F,La Rioja
2018,Mendoza,0.414180549919532,AR-M,Mendoza
2018,Misiones,0.407014904451647,AR-N,Misiones
2018,Neuquén,0.400365076109233,AR-Q,Neuquén
2018,Río Negro,0.397336582281409,AR-R,Río Negro
2018,Salta,0.406990385423921,AR-A,Salta
2018,San Juan,0.37218672563766,AR-J,San Juan
2018,San Luis,0.413596738557681,AR-D,San Luis
2018,Santa Cruz,0.429744305223901,AR-Z,Santa Cruz
2018,Santa Fe,0.433040240239483,AR-S,Santa Fe
2018,Santiago del Estero,0.359309538019353,AR-G,Santiago del Estero
2018,Tucumán,0.40359309389949,AR-T,Tucumán
2018,Tierra del Fuego,0.386826005642375,AR-V,Tierra del Fuego
2019,CABA,0.524219955060018,AR-C,CABA
2019,Buenos Aires,0.406736837017766,AR-B,Buenos Aires
2019,Catamarca,0.394179820618104,AR-K,Catamarca
2019,Córdoba,0.423947350587682,AR-X,Córdoba
2019,Corrientes,0.402869348346791,AR-W,Corrientes
2019,Chubut,0.404666893940753,AR-U,Chubut
2019,Entre Ríos,0.406825935719589,AR-E,Entre Ríos
2019,Formosa,0.28669855797869,AR-P,Formosa
2019,Jujuy,0.414611315464708,AR-Y,Jujuy
2019,La Pampa,0.411957557241878,AR-L,La Pampa
2019,La Rioja,0.404523923917433,AR-F,La Rioja
2019,Mendoza,0.406460983572162,AR-M,Mendoza
2019,Misiones,0.436635294315903,AR-N,Misiones
2019,Neuquén,0.410354001732816,AR-Q,Neuquén
2019,Río Negro,0.412579645308783,AR-R,Río Negro
2019,Salta,0.401720001512019,AR-A,Salta
2019,San Juan,0.402299896612068,AR-J,San Juan
2019,San Luis,0.442486169955625,AR-D,San Luis
2019,Santa Cruz,0.404859133279581,AR-Z,Santa Cruz
2019,Santa Fe,0.432003859751944,AR-S,Santa Fe
2019,Santiago del Estero,0.377586570184123,AR-G,Santiago del Estero
2019,Tucumán,0.415159424373974,AR-T,Tucumán
2019,Tierra del Fuego,0.387281056985465,AR-V,Tierra del Fuego
2020,CABA,0.428938579884812,AR-C,CABA
2020,Buenos Aires,0.349928136145333,AR-B,Buenos Aires
2020,Catamarca,0.364837662238486,AR-K,Catamarca
2020,Córdoba,0.39382709974823,AR-X,Córdoba
2020,Corrientes,0.365466378546523,AR-W,Corrientes
2020,Chaco,0.355330659821214,AR-H,Chaco
2020,Chubut,0.389793514901059,AR-U,Chubut
2020,Entre Ríos,0.360327391233018,AR-E,Entre Ríos
2020,Formosa,0.286697764648115,AR-P,Formosa
2020,Jujuy,0.361054469583746,AR-Y,Jujuy
2020,La Pampa,0.376013771375676,AR-L,La Pampa
2020,La Rioja,0.391847644503842,AR-F,La Rioja
2020,Mendoza,0.414310790493049,AR-M,Mendoza
2020,Misiones,0.396453810944613,AR-N,Misiones
2020,Neuquén,0.367332147217392,AR-Q,Neuquén
2020,Río Negro,0.384834638585693,AR-R,Río Negro
2020,Salta,0.390020128444687,AR-A,Salta
2020,San Juan,0.383052450824139,AR-J,San Juan
2020,San Luis,0.394598428388085,AR-D,San Luis
2020,Santa Cruz,0.358505658756091,AR-Z,Santa Cruz
2020,Santa Fe,0.420930572883466,AR-S,Santa Fe
2020,Tucumán,0.347070425666786,AR-T,Tucumán
2021,CABA,0.496888414590278,AR-C,CABA
2021,Buenos Aires,0.417284832744725,AR-B,Buenos Aires
2021,Catamarca,0.391387068522937,AR-K,Catamarca
2021,Córdoba,0.424206125317088,AR-X,Córdoba
2021,Corrientes,0.40264384907073,AR-W,Corrientes
2021,Chaco,0.376456164853857,AR-H,Chaco
2021,Chubut,0.409485059160319,AR-U,Chubut
2021,Entre Ríos,0.397622477152842,AR-E,Entre Ríos
2021,Formosa,0.28526477099944,AR-P,Formosa
2021,Jujuy,0.412713990069252,AR-Y,Jujuy
2021,La Pampa,0.398151062913971,AR-L,La Pampa
2021,La Rioja,0.436827137051389,AR-F,La Rioja
2021,Mendoza,0.429895165379497,AR-M,Mendoza
2021,Misiones,0.400066829550924,AR-N,Misiones
2021,Neuquén,0.403524400398211,AR-Q,Neuquén
2021,Río Negro,0.412867836822618,AR-R,Río Negro
2021,Salta,0.399739244418494,AR-A,Salta
2021,San Juan,0.403689634885934,AR-J,San Juan
2021,San Luis,0.422882198213662,AR-D,San Luis
2021,Santa Cruz,0.407735717001824,AR-Z,Santa Cruz
2021,Santa Fe,0.451402318857302,AR-S,Santa Fe
2021,Santiago del Estero,0.391347190275751,AR-G,Santiago del Estero
2021,Tucumán,0.391386041492605,AR-T,Tucumán
2021,Tierra del Fuego,0.433142444287838,AR-V,Tierra del Fuego
2022,CABA,0.510064093409328,AR-C,CABA
2022,Buenos Aires,0.428131998796611,AR-B,Buenos Aires
2022,Catamarca,0.41661662494872,AR-K,Catamarca
2022,Córdoba,0.450076570339023,AR-X,Córdoba
2022,Corrientes,0.39790392868558,AR-W,Corrientes
2022,Chaco,0.396391580738237,AR-H,Chaco
2022,Chubut,0.431936468282379,AR-U,Chubut
2022,Entre Ríos,0.408715703719447,AR-E,Entre Ríos
2022,Formosa,0.322882755366832,AR-P,Formosa
2022,Jujuy,0.419008313138264,AR-Y,Jujuy
2022,La Pampa,0.421955413912248,AR-L,La Pampa
2022,La Rioja,0.433601340881416,AR-F,La Rioja
2022,Mendoza,0.446536724369937,AR-M,Mendoza
2022,Misiones,0.440818067994226,AR-N,Misiones
2022,Neuquén,0.428388786525782,AR-Q,Neuquén
2022,Río Negro,0.414755993424225,AR-R,Río Negro
2022,Salta,0.399962369728129,AR-A,Salta
2022,San Juan,0.397918103287943,AR-J,San Juan
2022,San Luis,0.433767051554236,AR-D,San Luis
2022,Santa Cruz,0.436882674104704,AR-Z,Santa Cruz
2022,Santa Fe,0.456444183676247,AR-S,Santa Fe
2022,Santiago del Estero,0.401871603200403,AR-G,Santiago del Estero
2022,Tucumán,0.412978783310345,AR-T,Tucumán
2022,Tierra del Fuego,0.436025392551673,AR-V,Tierra del Fuego
2023,CABA,0.528291476483892,AR-C,CABA
2023,Buenos Aires,0.450224663485831,AR-B,Buenos Aires
2023,Catamarca,0.435976302715978,AR-K,Catamarca
2023,Córdoba,0.447920104201938,AR-X,Córdoba
2023,Corrientes,0.387577592350237,AR-W,Corrientes
2023,Chaco,0.379477506041677,AR-H,Chaco
2023,Chubut,0.432061669948469,AR-U,Chubut
2023,Entre Ríos,0.420095718960711,AR-E,Entre Ríos
2023,Formosa,0.359447166876962,AR-P,Formosa
2023,Jujuy,0.459358753653194,AR-Y,Jujuy
2023,La Pampa,0.449934297803849,AR-L,La Pampa
2023,La Rioja,0.452221495105888,AR-F,La Rioja
2023,Mendoza,0.425810675871108,AR-M,Mendoza
2023,Misiones,0.460892851116709,AR-N,Misiones
2023,Neuquén,0.434936910439636,AR-Q,Neuquén
2023,Río Negro,0.417247891041392,AR-R,Río Negro
2023,Salta,0.421690870824868,AR-A,Salta
2023,San Juan,0.415695559244185,AR-J,San Juan
2023,San Luis,0.443277338274669,AR-D,San Luis
2023,Santa Cruz,0.446140810635691,AR-Z,Santa Cruz
2023,Santa Fe,0.456520133790232,AR-S,Santa Fe
2023,Santiago del Estero,0.431680112968014,AR-G,Santiago del Estero
2023,Tucumán,0.449978737617946,AR-T,Tucumán
2023,Tierra del Fuego,0.463190061857313,AR-V,Tierra del Fuego
2016,Total país,0.407658230452811,,
2017,Total país,0.411846808234291,,
2018,Total país,0.41350239959339,,
2019,Total país,0.418197777163488,,
2020,Total país,0.373383861066111,,
2021,Total país,0.420179232742717,,
2022,Total país,0.433125881161887,,
2023,Total país,0.447388821823369,,
