"anio","prov_desc","apertura_edad","tasa_empleo"
"2016","Buenos Aires","Edad, entre 18 y 65","0.6563224186518476"
"2016","Buenos Aires","Edad, mayor a 65","0.1289502386955271"
"2016","Buenos Aires","Edad, menor de 18","0.0133557580305079"
"2016","Buenos Aires","Edad, total","0.4063354905157955"
"2016","CABA","Edad, entre 18 y 65","0.7556453905529761"
"2016","CABA","Edad, mayor a 65","0.1795057760036205"
"2016","CABA","Edad, menor de 18","0.0087161893125773"
"2016","CABA","Edad, total","0.5130043381460015"
"2016","Catamarca","Edad, entre 18 y 65","0.6509082709290374"
"2016","Catamarca","Edad, mayor a 65","0.0995670995670995"
"2016","Catamarca","Edad, menor de 18","0.0114723357633475"
"2016","Catamarca","Edad, total","0.4097900304535983"
"2016","Chaco","Edad, entre 18 y 65","0.566381398408299"
"2016","Chaco","Edad, mayor a 65","0.0899694658981434"
"2016","Chaco","Edad, menor de 18","0.009631093544137"
"2016","Chaco","Edad, total","0.3574399048724411"
"2016","Chubut","Edad, entre 18 y 65","0.6686033218595648"
"2016","Chubut","Edad, mayor a 65","0.0780205548128342"
"2016","Chubut","Edad, menor de 18","0.0044725933341033"
"2016","Chubut","Edad, total","0.4166492985512123"
"2016","Corrientes","Edad, entre 18 y 65","0.603855401693029"
"2016","Corrientes","Edad, mayor a 65","0.1802363215465127"
"2016","Corrientes","Edad, menor de 18","0.0200511945392491"
"2016","Corrientes","Edad, total","0.395460104724128"
"2016","Córdoba","Edad, entre 18 y 65","0.6559477421969575"
"2016","Córdoba","Edad, mayor a 65","0.1652422708938321"
"2016","Córdoba","Edad, menor de 18","0.0173740569432015"
"2016","Córdoba","Edad, total","0.4078964575811503"
"2016","Entre Ríos","Edad, entre 18 y 65","0.6194298569862595"
"2016","Entre Ríos","Edad, mayor a 65","0.08570757741315"
"2016","Entre Ríos","Edad, menor de 18","0.0059675502538909"
"2016","Entre Ríos","Edad, total","0.3799772285059601"
"2016","Formosa","Edad, entre 18 y 65","0.4837432327919567"
"2016","Formosa","Edad, mayor a 65","0.1061096039066739"
"2016","Formosa","Edad, menor de 18","0.0094402559485807"
"2016","Formosa","Edad, total","0.3084321467329131"
"2016","Jujuy","Edad, entre 18 y 65","0.6251705215652085"
"2016","Jujuy","Edad, mayor a 65","0.1176701597734647"
"2016","Jujuy","Edad, menor de 18","0.0069043698357707"
"2016","Jujuy","Edad, total","0.3902092333914969"
