anio,provincia,nivel_ed_fundar,ocupado,geocodigoFundar,geonombreFundar
2016,Buenos Aires,Hasta secundario incompleto,0.647369346312506,AR-B,Buenos Aires
2016,Buenos Aires,Secundario completo,0.732080369939695,AR-B,Buenos Aires
2016,Buenos Aires,Superior incompleto o completo,0.792269581817955,AR-B,Buenos Aires
2016,Ciudad de Buenos Aires,Hasta secundario incompleto,0.702942088673788,AR-C,CABA
2016,Ciudad de Buenos Aires,Secundario completo,0.79641574066338,AR-C,CABA
2016,Ciudad de Buenos Aires,Superior incompleto o completo,0.858126306263601,AR-C,CABA
2016,Catamarca,Hasta secundario incompleto,0.6613294160852,AR-K,Catamarca
2016,Catamarca,Secundario completo,0.780971780376719,AR-K,Catamarca
2016,Catamarca,Superior incompleto o completo,0.792486548053886,AR-K,Catamarca
2016,Chaco,Hasta secundario incompleto,0.511100024943876,AR-H,Chaco
2016,Chaco,Secundario completo,0.73221482347711,AR-H,Chaco
2016,Chaco,Superior incompleto o completo,0.698531650102964,AR-H,Chaco
2016,Chubut,Hasta secundario incompleto,0.667641463191739,AR-U,Chubut
2016,Chubut,Secundario completo,0.740869472220737,AR-U,Chubut
2016,Chubut,Superior incompleto o completo,0.792018622285412,AR-U,Chubut
2016,Corrientes,Hasta secundario incompleto,0.580674249104505,AR-W,Corrientes
2016,Corrientes,Secundario completo,0.743306180596143,AR-W,Corrientes
2016,Corrientes,Superior incompleto o completo,0.776836671060837,AR-W,Corrientes
2016,Córdoba,Hasta secundario incompleto,0.594823272972562,AR-X,Córdoba
2016,Córdoba,Secundario completo,0.750034172727095,AR-X,Córdoba
2016,Córdoba,Superior incompleto o completo,0.832983219017111,AR-X,Córdoba
2016,Entre Ríos,Hasta secundario incompleto,0.609448395126217,AR-E,Entre Ríos
2016,Entre Ríos,Secundario completo,0.798237037037037,AR-E,Entre Ríos
2016,Entre Ríos,Superior incompleto o completo,0.777384547491931,AR-E,Entre Ríos
2016,Formosa,Hasta secundario incompleto,0.461189687857636,AR-P,Formosa
2016,Formosa,Secundario completo,0.613818457581852,AR-P,Formosa
2016,Formosa,Superior incompleto o completo,0.661928258145363,AR-P,Formosa
2016,Jujuy,Hasta secundario incompleto,0.659052570236781,AR-Y,Jujuy
2016,Jujuy,Secundario completo,0.751223080791916,AR-Y,Jujuy
2016,Jujuy,Superior incompleto o completo,0.747949215425985,AR-Y,Jujuy
2016,La Pampa,Hasta secundario incompleto,0.654953802416489,AR-L,La Pampa
2016,La Pampa,Secundario completo,0.729443126226675,AR-L,La Pampa
2016,La Pampa,Superior incompleto o completo,0.795912081758365,AR-L,La Pampa
2016,La Rioja,Hasta secundario incompleto,0.657807083135069,AR-F,La Rioja
2016,La Rioja,Secundario completo,0.716700022237047,AR-F,La Rioja
2016,La Rioja,Superior incompleto o completo,0.747829392229824,AR-F,La Rioja
2016,Mendoza,Hasta secundario incompleto,0.642680043269737,AR-M,Mendoza
2016,Mendoza,Secundario completo,0.774366548760349,AR-M,Mendoza
2016,Mendoza,Superior incompleto o completo,0.78542412045319,AR-M,Mendoza
2016,Misiones,Hasta secundario incompleto,0.599435421011608,AR-N,Misiones
2016,Misiones,Secundario completo,0.750418068425505,AR-N,Misiones
2016,Misiones,Superior incompleto o completo,0.83797920942859,AR-N,Misiones
2016,Neuquén,Hasta secundario incompleto,0.655079006772009,AR-Q,Neuquén
2016,Neuquén,Secundario completo,0.757450723465946,AR-Q,Neuquén
