"iso3","pais_desc","continente_fundar","share_trabajo_no_remun","anios_observados"
"ALB","Albania","Europa","0.85792351","2010 - 2011"
"ARG","Argentina","América del Sur","0.66331661","2021 - 2021"
"ARM","Armenia","Asia","0.83200002","2008 - 2008"
"AUS","Australia","Oceanía","0.64389235","2006 - 2006"
"AUT","Austria","Europa","0.64819276","2008 - 2009"
"AZE","Azerbaiyán","Asia","0.73100615","2012 - 2012"
"BEL","Bélgica","Europa","0.61849713","2013 - 2013"
"BEN","Benin","África","0.8403042","2015 - 2015"
"BFA","Burkina Faso","África","0.89671361","2018 - 2018"
"BGD","Bangladesh","Asia","0.87049139","2021 - 2021"
"BGR","Bulgaria","Europa","0.64502162","2009 - 2010"
"BLR","Belarús","Europa","0.65837103","2014 - 2015"
"BRA","Brasil","América del Sur","0.69262296","2017 - 2017"
"CAN","Canadá","América del Norte, Central y el Caribe","0.59016395","2015 - 2015"
"CHN","China","Asia","0.70858896","2018 - 2018"
"CMR","Camerún","África","0.74125874","2014 - 2014"
"COL","Colombia","América del Sur","0.77564102","2016 - 2017"
"CPV","Cabo Verde","África","0.66576087","2012 - 2012"
"CRI","Costa Rica","América del Norte, Central y el Caribe","0.69623059","2017 - 2017"
"CUB","Cuba","América del Norte, Central y el Caribe","0.62256807","2016 - 2016"
"DEU","Alemania","Europa","0.5812183","2012 - 2013"
"DNK","Dinamarca","Europa","0.56643355","2001 - 2001"
"DOM","Dominicana","América del Norte, Central y el Caribe","0.8125","2016 - 2016"
"DZA","Argelia","África","0.85245901","2012 - 2012"
"ECU","Ecuador","América del Sur","0.77777779","2012 - 2012"
"ESP","España","Europa","0.67609257","2009 - 2010"
"EST","Estonia","Europa","0.60697675","2009 - 2010"
"ETH","Etiopía","África","0.69951922","2013 - 2013"
"FIN","Finlandia","Europa","0.60285717","2009 - 2009"
"FRA","Francia","Europa","0.61256546","2010 - 2010"
"GBR","Reino Unido","Europa","0.63911843","2005 - 2005"
"GEO","Georgia","Asia","0.81132078","2021 - 2021"
"GHA","Ghana","África","0.7638889","2009 - 2009"
"GRC","Grecia","Europa","0.72135419","2013 - 2014"
"HUN","Hungría","Europa","0.64835167","2009 - 2010"
"IND","India","Asia","0.87850469","2019 - 2019"
"IRL","Irlanda","Europa","0.68915665","2005 - 2005"
"IRN","Irán","Asia","0.79947919","2009 - 2009"
"IRQ","Iraq","Asia","0.86034912","2007 - 2007"
"ITA","Italia","Europa","0.69499999","2013 - 2014"
"JPN","Japón","Asia","0.81538463","2016 - 2016"
"KAZ","Kazajstán","Asia","0.68907565","2012 - 2012"
"KEN","Kenia","África","0.820059","2021 - 2021"
"KGZ","Kirguistán","Asia","0.7252475","2015 - 2015"
"KHM","Camboya","Asia","0.91262138","2004 - 2004"
"KOR","Corea del Sur","Asia","0.81034482","2014 - 2014"
"LTU","Lituania","Europa","0.63576162","2003 - 2003"
"LUX","Luxemburgo","Europa","0.66052634","2014 - 2014"
"LVA","Letonia","Europa","0.64631045","2003 - 2003"
"MAR","Marruecos","África","0.86609685","2011 - 2012"
"MDA","Moldavia","Europa","0.6226415","2011 - 2012"
"MDG","Madagascar","África","0.81318682","2001 - 2001"
"MEX","México","América del Norte, Central y el Caribe","0.74340951","2014 - 2014"
"MKD","Macedonia del Norte","Europa","0.72491908","2014 - 2015"
"MLI","Malí","África","0.9125874","2008 - 2008"
"MNG","Mongolia","Asia","0.6759907","2011 - 2011"
"MUS","Mauricio","África","0.72131145","2017 - 2018"
"NLD","Países Bajos","Europa","0.65633076","2005 - 2006"
"NOR","Noruega","Europa","0.56097561","2010 - 2010"
"NZL","Nueva Zelandia","Oceanía","0.63659793","2009 - 2010"
"OMN","Omán","Asia","0.7043702","2007 - 2008"
"PAK","Pakistán","Asia","0.91111112","2007 - 2007"
"PAN","Panamá","América del Norte, Central y el Caribe","0.70163172","2011 - 2011"
"PER","Perú","América del Sur","0.7136842","2010 - 2010"
"POL","Polonia","Europa","0.64365256","2013 - 2013"
"PRT","Portugal","Europa","0.79683375","1999 - 1999"
"PRY","Paraguay","América del Sur","0.76978415","2016 - 2016"
"PSE","Palestina","Asia","0.84195405","2012 - 2013"
"QAT","Qatar","Asia","0.64401293","2012 - 2013"
"ROU","Rumania","Europa","0.67866325","2011 - 2012"
"RUS","Rusia","Europa","0.69414896","2019 - 2019"
"SEN","Senegal","África","0.86792451","2021 - 2021"
"SLV","El Salvador","América del Norte, Central y el Caribe","0.84132844","2010 - 2010"
"SRB","Serbia","Europa","0.67037863","2010 - 2011"
"SVN","Eslovenia","Europa","0.63274336","2000 - 2001"
"SWE","Suecia","Europa","0.55299538","2010 - 2011"
"THA","Tailandia","Asia","0.75545853","2014 - 2014"
"TUN","Túnez","África","0.85789472","2005 - 2006"
"TUR","Turquía","Europa","0.78371501","2014 - 2015"
"TWN","Taiwán","Asia","0.80382776","2004 - 2004"
"TZA","Tanzanía","África","0.70588237","2017 - 2018"
"UGA","Uganda","África","0.61538464","2017 - 2018"
"URY","Uruguay","América del Sur","0.69909501","2013 - 2013"
"USA","Estados Unidos","América del Norte, Central y el Caribe","0.60837436","2017 - 2017"
"ZAF","Sudáfrica","África","0.70030582","2010 - 2010"
