"sector","ciiu_3_4c_desc","monto","perc_total"
"Metales y metalmecánica","Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción",3117,20.48
"Químicos","Fabricación de sustancias químicas básicas,excepto abonos y compuestos de nitrógeno",2102,13.81
"Caucho y plástico","Fabricación de productos de plástico",1227,8.06
"Metales y metalmecánica","Fabricación de maquinaria de uso general ncp",770,5.06
"Metales y metalmecánica","Fabricación de bombas, compresores, grifos y válvulas",760,4.99
"Metales y metalmecánica","Fabricación de maquinaria de uso especial ncp",644,4.23
"Equipos de transporte","Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores",604,3.97
"Equipos de transporte","Fabricación de vehículos automotores",598,3.93
"Metales y metalmecánica","Fabricación de productos elaborados de metal ncp",563,3.7
"Metales y metalmecánica","Fabricación de equipo de elevación y manipulación",481,3.16
"Metales y metalmecánica","Fabricación de cojinetes, engranajes, trenes de engranaje y piezas de transmisión",435,2.86
"Metales y metalmecánica","Fabricación de productos metálicos para uso estructural y montaje estructural",430,2.82
"Metales y metalmecánica","Fabricación de productos primarios de metales preciosos y metales no ferrosos",405,2.66
"Caucho y plástico","Fabricación de cubiertas y cámaras de caucho, recauchutado y renovación de cubiertas de caucho",380,2.5
"Madera y papel","Fabricación de pasta de madera, papel y cartón",279,1.84
"Caucho y plástico","Fabricación de productos de caucho ncp",211,1.39
"Químicos","Fabricación de productos químicos ncp",191,1.25
"Metales y metalmecánica","Industrias básicas de hierro y acero",186,1.22
"Otros","Fabricación de aparatos de distribución y control de la energía eléctrica",179,1.17
"Metales y metalmecánica","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",176,1.15
"Resto de las actividades","Resto de las actividades",1481,9.73
