grupo_nuevo,anio,impo_grupo
aluminio,1994,8395439.0
aluminio,1995,86232234.0
aluminio,1996,85714008.0
aluminio,1997,77382518.0
aluminio,1998,76535213.79
aluminio,1999,82071775.12
aluminio,2000,104380192.39
aluminio,2001,98325572.81
aluminio,2002,98306573.17
aluminio,2003,104949264.67
aluminio,2004,125740974.81
aluminio,2005,130709733.8
aluminio,2006,183629895.67
aluminio,2007,184910699.39
aluminio,2008,308366430.38
aluminio,2009,211777134.26
aluminio,2010,255827906.67
aluminio,2011,303906665.88
aluminio,2012,258598894.03
aluminio,2013,256491297.28
aluminio,2014,248818252.51
aluminio,2015,246127404.85
aluminio,2016,218174257.27
aluminio,2017,240873366.32
aluminio,2018,447174499.28
aluminio,2019,328406336.56
aluminio,2020,178244947.51
aluminio,2021,241935369.21
aluminio,2022,346334103.89
cinc,1994,4542206.0
cinc,1995,11810494.0
cinc,1996,14341000.0
cinc,1997,20430182.0
cinc,1998,15389288.29
cinc,1999,9464462.36
cinc,2000,13094560.12
cinc,2001,6058104.12
cinc,2002,13319848.72
cinc,2003,11159193.27
cinc,2004,33121513.73
cinc,2005,38617015.95
cinc,2006,78390099.44
cinc,2007,128593647.05
cinc,2008,67758365.02
cinc,2009,23224179.65
cinc,2010,44554874.03
cinc,2011,32342213.62
cinc,2012,28051474.83
cinc,2013,28713470.31
cinc,2014,30886858.57
cinc,2015,27718556.73
cinc,2016,79871468.25
cinc,2017,96786153.87
cinc,2018,113688465.05
cinc,2019,79364890.73
cinc,2020,69138418.0
cinc,2021,109716227.8
cinc,2022,117933707.3
ferroaleaciones,1994,5737092.0
ferroaleaciones,1995,17784324.0
ferroaleaciones,1996,19519093.0
ferroaleaciones,1997,27688036.0
ferroaleaciones,1998,24009403.33
ferroaleaciones,1999,24136752.7
ferroaleaciones,2000,32933849.38
ferroaleaciones,2001,34129629.12
ferroaleaciones,2002,38351433.88
ferroaleaciones,2003,38160103.4
ferroaleaciones,2004,88777880.06
ferroaleaciones,2005,162387927.47
ferroaleaciones,2006,124076287.67
ferroaleaciones,2007,149185413.79
ferroaleaciones,2008,282018006.97
ferroaleaciones,2009,63266430.82
ferroaleaciones,2010,138577463.98
ferroaleaciones,2011,158633928.89
ferroaleaciones,2012,135106891.47
ferroaleaciones,2013,114024832.83
ferroaleaciones,2014,115288929.25
ferroaleaciones,2015,73050239.3
ferroaleaciones,2016,45785935.63
ferroaleaciones,2017,97238143.68
ferroaleaciones,2018,151414695.33
ferroaleaciones,2019,86776391.48
ferroaleaciones,2020,53316078.17
ferroaleaciones,2021,158128959.76
ferroaleaciones,2022,175790034.91
hierro,1994,122668583.0
hierro,1995,146449714.0
hierro,1996,174719531.0
hierro,1997,178159822.0
hierro,1998,190050044.63
hierro,1999,123095289.53
hierro,2000,165760989.34
hierro,2001,145652064.03
hierro,2002,161974652.67
hierro,2003,204607420.32
hierro,2004,252005426.18
hierro,2005,426717704.94
hierro,2006,502658154.3
hierro,2007,472518859.81
hierro,2008,903181158.22
hierro,2009,282551159.51
hierro,2010,826562214.8
hierro,2011,1246240368.83
hierro,2012,728895649.02
hierro,2013,783150589.11
hierro,2014,764706227.04
hierro,2015,432449795.75
hierro,2016,316294074.2
hierro,2017,475377003.05
hierro,2018,610289058.53
hierro,2019,420298790.19
hierro,2020,339366474.51
hierro,2021,1050823909.49
hierro,2022,904461818.37
otros,1994,212458856.0
otros,1995,258579544.0
otros,1996,263720082.0
otros,1997,300406396.0
otros,1998,277343123.73
otros,1999,220087762.26
otros,2000,237629438.42
otros,2001,191669745.9
otros,2002,85163432.75
otros,2003,124382150.28
otros,2004,201345595.58
otros,2005,251988642.03
otros,2006,319229604.37
otros,2007,376679891.65
otros,2008,569398080.04
otros,2009,267540200.9
otros,2010,401066721.75
otros,2011,535743016.41
otros,2012,492156708.78
otros,2013,472603976.61
otros,2014,551204158.05
otros,2015,524127570.68
otros,2016,294290101.83
otros,2017,349069766.8
otros,2018,391263283.94
otros,2019,293053533.68
otros,2020,249273833.36
otros,2021,366588844.93
otros,2022,550967590.78
