anio,sector,importaciones_sector_perc
1994,metaliferos,1.1519353754738
1995,metaliferos,1.94238066181545
1996,metaliferos,1.74562310470554
1997,metaliferos,1.43045915584615
1998,metaliferos,1.35213453738619
1999,metaliferos,1.25441470420619
2000,metaliferos,1.66458926252446
2001,metaliferos,1.7893157949623
2002,metaliferos,3.90587248499535
2003,metaliferos,3.0156255400782
2004,metaliferos,2.73670807862499
2005,metaliferos,3.14419798960431
2006,metaliferos,3.15120625219248
2007,metaliferos,2.54377105498536
2008,metaliferos,3.12708918869317
2009,metaliferos,1.77527204805391
2010,metaliferos,2.53004683613846
2011,metaliferos,2.67382534974568
2012,metaliferos,2.00769754195319
2013,metaliferos,1.88303595003076
2014,metaliferos,2.10566633136973
2015,metaliferos,1.58605484656779
2016,metaliferos,1.31758492748657
2017,metaliferos,1.50424458088396
2018,metaliferos,2.17330610524303
2019,metaliferos,1.99659194580457
2020,metaliferos,1.67312550437944
2021,metaliferos,2.62317712300186
2022,metaliferos,2.02274018662624
1994,no_metaliferos,0.205678029277561
1995,no_metaliferos,0.315544098152431
1996,no_metaliferos,0.282125569648338
1997,no_metaliferos,0.238127332826626
1998,no_metaliferos,0.21307285976258
1999,no_metaliferos,0.244943671704702
2000,no_metaliferos,0.234755830326996
2001,no_metaliferos,0.263247579822024
2002,no_metaliferos,0.451579685670444
2003,no_metaliferos,0.408392839835931
2004,no_metaliferos,0.318266588654719
2005,no_metaliferos,0.302391787154341
2006,no_metaliferos,0.304526254489157
2007,no_metaliferos,0.294630143861437
2008,no_metaliferos,0.501273900024315
2009,no_metaliferos,0.324138968148754
2010,no_metaliferos,0.334914385078881
2011,no_metaliferos,0.295979675170876
2012,no_metaliferos,0.33261078090583
2013,no_metaliferos,0.254467923653109
2014,no_metaliferos,0.407397869753
2015,no_metaliferos,0.43989927276983
2016,no_metaliferos,0.286291469455964
2017,no_metaliferos,0.263828788723191
2018,no_metaliferos,0.323724157643498
2019,no_metaliferos,0.394318448837213
2020,no_metaliferos,0.362842903371443
2021,no_metaliferos,0.363663704354504
2022,no_metaliferos,0.487055908587809
1994,piedras_preciosas_semipreciosas,0.0004700778198312
1995,piedras_preciosas_semipreciosas,0.0005300650313428
1996,piedras_preciosas_semipreciosas,0.0001731980927883
1997,piedras_preciosas_semipreciosas,0.0002363499675404
1998,piedras_preciosas_semipreciosas,0.0003038979378762
1999,piedras_preciosas_semipreciosas,0.0002392873777592
