tipo_energia,mineral_critico,mineral_utilizado
eolica_offshore,cobre,8000.0
eolica_offshore,niquel,240.0
eolica_offshore,manganeso,790.0
eolica_offshore,cobalto,0.0
eolica_offshore,cromo,525.0
eolica_offshore,molibdeno,109.0
eolica_offshore,cinc,5500.0
eolica_offshore,tierras_raras,239.0
eolica_offshore,silicio,0.0
eolica_offshore,otros,6.0
eolica_onshore,cobre,2900.0
eolica_onshore,niquel,403.5
eolica_onshore,manganeso,780.0
eolica_onshore,cobalto,0.0
eolica_onshore,cromo,470.0
eolica_onshore,molibdeno,99.0
eolica_onshore,cinc,5500.0
eolica_onshore,tierras_raras,14.0
eolica_onshore,silicio,0.0
eolica_onshore,otros,0.0
solar_fotovoltaica,cobre,2822.1
solar_fotovoltaica,niquel,1.3
solar_fotovoltaica,manganeso,0.0
solar_fotovoltaica,cobalto,0.0
solar_fotovoltaica,cromo,0.0
solar_fotovoltaica,molibdeno,0.0
solar_fotovoltaica,cinc,29.99
solar_fotovoltaica,tierras_raras,0.0
solar_fotovoltaica,silicio,3948.3
solar_fotovoltaica,otros,31.95
nuclear,cobre,1473.0
nuclear,niquel,1297.4
nuclear,manganeso,147.69
nuclear,cobalto,0.0
nuclear,cromo,2190.0
nuclear,molibdeno,70.8
nuclear,cinc,0.0
nuclear,tierras_raras,0.5
nuclear,silicio,0.0
nuclear,otros,94.28
carbon,cobre,1150.0
carbon,niquel,721.04
carbon,manganeso,4.63
carbon,cobalto,201.46
carbon,cromo,307.5
carbon,molibdeno,66.25
carbon,cinc,0.0
carbon,tierras_raras,0.0
carbon,silicio,0.0
carbon,otros,33.9
gas_natural,cobre,1100.0
gas_natural,niquel,15.75
gas_natural,manganeso,0.0
gas_natural,cobalto,1.8
gas_natural,cromo,48.34
gas_natural,molibdeno,0.0
gas_natural,cinc,0.0
gas_natural,tierras_raras,0.0
gas_natural,silicio,0.0
gas_natural,otros,0.0
