codigo_pais,mineral,pais,share,tamanio_mercado,geocodigoFundar,geonombreFundar
AUS,Mineral de Hierro,Australia,0.338461538461538,313830048309.179,AUS,Australia
CHL,Cobre,Chile,0.236363636363636,194236169909.42,CHL,Chile
CHN,Oro,China,0.106451612903226,179553493273.253,CHN,China
AUS,Litio,Australia,0.469230769230769,25598722724.8536,AUS,Australia
MEX,Plata,MÃ©xico,0.242307692307692,18198682682.6852,MEX,México
COD,Cobalto,Congo (Kinshasa),0.721212121212121,10521178685.1708,COD,Rep. Dem. Congo
CHN,Molibdeno,China,0.4,9793251917.35201,CHN,China
CHN,Tungsteno,China,0.845238095238095,2860025220.68096,CHN,China
CHN,Antimonio,China,0.545454545454545,1527804723.18736,CHN,China
ZAF,Manganeso,Sudafrica,0.36,130000000.0,ZAF,Sudáfrica
CHN,Mercurio,China,0.909090909090909,72600000.0,CHN,China
CHN,Zinc,China,0.323076923076923,45303248.7691355,CHN,China
CHN,Plomo,China,0.444444444444444,9687262.42624224,CHN,China
