"complejos","anio","unidad_medida","expo"
"Soja","2024","Millones de USD","19624.40815882"
"Petrolero-petroquímico","2024","Millones de USD","10401.63744555"
"Automotriz","2024","Millones de USD","9008.2358528"
"Maicero","2024","Millones de USD","7262.76272634"
"Oro y plata","2024","Millones de USD","3821.1869248"
"Carne y cuero bovinos","2024","Millones de USD","3790.09550538"
"Triguero","2024","Millones de USD","2763.3363736"
"Pesquero","2024","Millones de USD","2007.03838828"
"Girasol","2024","Millones de USD","1449.3699668"
"Lácteo","2024","Millones de USD","1278.77674913"
"Cebada","2024","Millones de USD","1211.49497618"
"Maní","2024","Millones de USD","1189.84757248"
"Farmacéutico","2024","Millones de USD","1160.59993227"
"Siderúrgico","2024","Millones de USD","1148.2246166"
"Aluminio","2024","Millones de USD","1111.73602998"
"Uva","2024","Millones de USD","935.85199621"
"Forestal","2024","Millones de USD","739.06896093"
"Litio","2024","Millones de USD","653.99331745"
"Limón","2024","Millones de USD","439.15911839"
"Azucarero","2024","Millones de USD","421.79953762"
"Textil","2024","Millones de USD","382.51210251"
"Peras y manzanas","2024","Millones de USD","360.2321661"
"Papa","2024","Millones de USD","352.78855438"
"Tabacalero","2024","Millones de USD","322.3778227"
"Olivícola","2024","Millones de USD","321.29791105"
"Avícola","2024","Millones de USD","260.05353929"
"Arrocero","2024","Millones de USD","211.89093615"
"Porotos","2024","Millones de USD","203.01098634"
"Resto del sector frutícola","2024","Millones de USD","200.84492856"
"Miel","2024","Millones de USD","190.20301047"
"Ajo","2024","Millones de USD","182.40405203"
"Resto del sector hortícola","2024","Millones de USD","157.9645941"
"Cítricos, excluido el limón","2024","Millones de USD","115.62365871"
"Yerba mate","2024","Millones de USD","101.41428842"
"Té","2024","Millones de USD","81.17141056"
"Garbanzos","2024","Millones de USD","78.31824349"
"Arándanos y frutos similares","2024","Millones de USD","68.67339589"
"Equino","2024","Millones de USD","67.74152266"
"Plomo","2024","Millones de USD","34.61208972"
"Otros minerales metalíferos","2024","Millones de USD","22.57781199"
