"anio","provincia","puerto","desembarque_toneladas","share","latitud","longitud"
"2024","Buenos Aires","Gral. Lavalle","10400.565","0.01266038987437","-36.3313092060514","-56.9084041885079"
"2024","Buenos Aires","Ing. White","11818.065","0.0143858829266147","-38.790735093548","-62.2657430260339"
"2024","Buenos Aires","Mar Del Plata","366444.43","0.446065127335995","-38.0145142529216","-57.5311675060392"
"2024","Buenos Aires","Necochea/ Quequen","1121.534","0.00136521984116841","-38.5587277023737","-58.6967627366004"
"2024","Buenos Aires","Rio Salado","389.674","0.00047434199621898","-35.9861236505012","-57.3715391713242"
"2024","Buenos Aires","Rosales","154.674","0.000188281419656366","-38.8985190682962","-62.0795955693142"
"2024","Buenos Aires","San Clemente Del Tuyú","1731.765","0.00210804125264237","-36.3704488240768","-56.7118156659205"
"2024","Chubut","Caleta Cordova","36.026","0.0000438536950265735","-45.7503030835695","-67.3765597180696"
"2024","Chubut","Camarones","7530.62","0.00916686595350621","-44.799876730024","-65.7037054585528"
"2024","Chubut","Comodoro Rivadavia","13448.715","0.016370839008197","-45.8595405354173","-67.4771848534541"
"2024","Chubut","Puerto Madryn","156907.811","0.191000590986544","-42.6523223561081","-65.0661610144471"
"2024","Chubut","Rawson","96034.753","0.116901092822248","-43.3373832464434","-65.0544875760684"
"2024","Rio Negro","San Antonio Este","1213.044","0.00147661304696094","-40.8161985485906","-64.7566274815578"
"2024","Rio Negro","San Antonio Oeste","2912.719","0.0035455918149144","-40.7304625210211","-64.9293096237399"
"2024","Santa Cruz","Caleta Olivia/ Paula","43968.332","0.053521729371985","-46.4365514331273","-67.5144022831659"
"2024","Santa Cruz","Pto. Deseado","69296.872","0.0843536304608754","-47.7494295781015","-65.8890829225222"
"2024","Santa Cruz","San Julian","108.302","0.000131833755586742","-49.3110012030052","-67.716666856714"
"2024","Tierra del Fuego","Ushuaia","31898.896","0.0388298577934931","-54.8019813614958","-68.3029661143961"
