anio,desembarque_toneladas_fao,desembarque_toneladas_magyp,valor_empalme
1950,43900.0,,66251.1598460681
1951,62100.0,,83409.94210891
1952,67300.0,,88312.4513268648
1953,68000.0,,88972.4044908202
1954,70200.0,,91046.5430061088
1955,71000.0,,91800.7751934865
1956,66400.0,,87463.9401160649
1957,71600.0,,92366.4493340197
1958,71800.0,,92555.0073808641
1959,76800.0,,97268.9585519746
1960,85100.0,,105094.117496018
1961,77500.0,,97928.91171593
1962,82306.0,,102459.961581601
1963,110371.0,,128919.369505044
1964,143504.0,,160156.838335524
1965,172100.0,,187116.867873339
1966,211100.0,,223885.687008
1967,194960.0,,208669.052627656
1968,187221.0,,201372.799005011
1969,169100.0,,184288.497170673
1970,185800.0,,200033.094082181
1971,201308.0,,214653.885034497
1972,211148.0,,223930.940939243
1973,270089.0,,279499.940134526
1974,266384.0,,276006.902316734
1975,199068.0,,212542.03490984
1976,256206.0,,266411.183312821
1977,369431.0,,373158.607582616
1978,503654.0,,499702.741190607
1979,549276.0,,542714.717256287
1980,376865.0,,380167.310183823
1981,351857.0,,356590.012006398
1982,459645.0,,458211.485772727
1983,401771.0,,403648.443757359
1984,305484.0,,312870.000474817
1985,396832.0,,398992.002790536
1986,411748.0,,413054.661924192
1987,450797.0,,449869.67778033
1988,482681.0,,479929.601608267
1989,481383.0,503310.42,503310.42
1990,548035.0,583292.646,583292.646
1991,629906.0,704381.163,704381.163
1992,732588.0,731211.764,731211.764
1993,970326.0,970626.874,970626.874
1994,983773.0,984312.055,984312.055
1995,1155879.0,1148679.383,1148679.383
1996,1268376.0,1249543.788,1249543.788
1997,1365915.0,1343260.257,1343260.257
1998,1141292.0,1120153.404,1120153.404
1999,1058468.0,1019736.558,1019736.558
2000,891379.0,850312.62,850312.62
2001,915545.0,875011.016,875011.016
2002,927711.0,880876.808,880876.808
2003,883604.0,839304.499,839304.499
2004,910943.0,873626.043,873626.043
2005,895935.0,861661.466,861661.466
2006,1138363.0,1073756.527,1073756.527
2007,965714.0,917181.475,917181.475
2008,983837.0,929920.71,929920.71
2009,845717.0,769757.375,769757.375
2010,796304.0,764658.358,764658.358
2011,775010.0,733571.248,733571.248
2012,723737.0,692262.572,692262.572
2013,858422.0,824145.11,824145.11
2014,815355.0,791107.982,791107.982
2015,795415.0,767708.447,767708.447
2016,736337.0,705724.937,705724.937
2017,813007.0,778960.767,778960.767
2018,815187.0,791655.874,791655.874
2019,800611.0,781226.658,781226.658
2020,818156.668,789756.049,789756.049
2021,835298.782,798052.634,798052.634
2022,834620.718,797893.774,797893.774
2023,815274.751,781626.322,781626.322
2024,,821504.322,821504.322
