"anio","produccion_acuicola","produccion_captura","produccion_total"
"1961","2036048","39458328","41494376"
"1962","2102404","43031796","45134200"
"1963","2353276","43845748.1","46199024.1"
"1964","2543477","48569021.1","51112498.1"
"1965","2745153","49421277.4","52166430.4"
"1966","2967746","53386745.8","56354491.8"
"1967","3091674","56833105","59924779"
"1968","3268313","59958905","63227218"
"1969","3449366","58597775","62047141"
"1970","3712507","64439249","68151756"
"1971","4166242","64407661","68573903"
"1972","4560185","60051427","64611612"
"1973","4740324","60668219","65408543"
"1974","5196208","63983039","69179247"
"1975","5501099","63366881","68867980"
"1976","5673241","66761392","72434633"
"1977","6673107.5","65385574","72058681.5"
"1978","7035848","67433325","74469173"
"1979","7137393","67997058.5","75134451.5"
"1980","7792341","68465259","76257600"
"1981","8204938","70716638.033","78921576.033"
"1982","8598805","72693631.738","81292436.738"
"1983","9496350.5","72374450.376","81870800.876"
"1984","10632634.449","78100656.361","88733290.81"
"1985","11801076.648","79856000.779","91657077.427"
"1986","13028918.102","85260711.019","98289629.121"
"1987","14286326.228","86236229.413","100522555.641"
"1988","15911947.959","89809396.127","105721344.086"
"1989","16966547.069","90318722.714","107285269.783"
"1990","17280172.541","86726993.41","104007165.951"
"1991","18932531.603","85576783.162","104509314.765"
"1992","22080953.889","87187878.23","109268832.119"
"1993","25526967.052","88819002.809","114345969.861"
"1994","28913970.005","94516996.581","123430966.586"
"1995","32365536.194","94857953.367","127223489.561"
"1996","35098908.135","96516806.576","131615714.711"
"1997","35592765.999","95812133.871","131404899.87"
"1998","37727553.108","88363558.361","126091111.469"
"1999","41007546.405","94466861.829","135474408.234"
"2000","43015718.903","96322695.378","139338414.281"
"2001","45560092.118","93562831.418","139122923.536"
"2002","48672659.246","93908368.361","142581027.607"
"2003","51533532.865","91237669.079","142771201.944"
"2004","55812575.889","96013351.199","151825927.088"
"2005","59157170.668","95740558.669","154897729.337"
"2006","62947520.512","93810620.938","156758141.45"
"2007","66317509.476","93642135.93","159959645.406"
"2008","70216922.062","92480714.833","162697636.895"
"2009","73845182.534","91585990.469","165431173.003"
"2010","77993971.477","89879623.563","167873595.04"
"2011","81627398.941","94290039.351","175917438.292"
"2012","88192176.66","91562808.052","179754984.712"
"2013","94962335.007","93250175.716","188212510.723"
"2014","99633592.284","93634785.295","193268377.579"
"2015","103983139.747","94459138.441","198442278.188"
"2016","108204870.137","92399211.364","200604081.501"
"2017","112232994.033","95915433.477","208148427.51"
"2018","115951120.621","98963445.646","214914566.267"
"2019","119684940.206","95097321.772","214782261.978"
"2020","122728120.148","91818006.376","214546126.524"
"2021","126395846.471","93831949.915","220227796.386"
"2022","131085363.495","93518918.362","224604281.857"
"2023","136165766.706","92678331.626","228844098.332"
