"anio","iso3","pais_nombre","produccion_acuicola","produccion_captura","produccion_total","share_global"
"1961","ARG","Argentina","0","101900","101900","0.245575448586093"
"1962","ARG","Argentina","1","101306","101307","0.224457285162914"
"1963","ARG","Argentina","2","130571","130573","0.282631511257399"
"1964","ARG","Argentina","4","168604","168608","0.329876265625139"
"1965","ARG","Argentina","5","205000","205005","0.392982610518047"
"1966","ARG","Argentina","5","250800","250805","0.445048818628509"
"1967","ARG","Argentina","8","240860","240868","0.401950585416427"
"1968","ARG","Argentina","11","223121","223132","0.352904978359162"
"1969","ARG","Argentina","15","202800","202815","0.326872433977256"
"1970","ARG","Argentina","19","214500","214519","0.314766651060319"
"1971","ARG","Argentina","23","228608","228631","0.33340817716034"
"1972","ARG","Argentina","27","237948","237975","0.368316147258483"
"1973","ARG","Argentina","31","301989","302020","0.461743965157579"
"1974","ARG","Argentina","36","295965","296001","0.427875429173145"
"1975","ARG","Argentina","42","232209","232251","0.337240906441571"
"1976","ARG","Argentina","49","281727","281776","0.389007286058866"
"1977","ARG","Argentina","57","402723","402780","0.558961101723739"
"1978","ARG","Argentina","67","541892","541959","0.72776288250173"
"1979","ARG","Argentina","78","580657","580735","0.772927716122344"
"1980","ARG","Argentina","90","400011","400101","0.524670327941084"
"1981","ARG","Argentina","105","374777","374882","0.475005719403333"
"1982","ARG","Argentina","123","488112","488235","0.600590927755737"
"1983","ARG","Argentina","143","428064","428207","0.523027740559854"
"1984","ARG","Argentina","150","322563","322713","0.363688754304186"
"1985","ARG","Argentina","270","419470","419740","0.457946087506773"
"1986","ARG","Argentina","270","422424","422694","0.430049440393798"
"1987","ARG","Argentina","353","461568","461921","0.459519753606022"
"1988","ARG","Argentina","353","496041","496394","0.469530542097728"
"1989","ARG","Argentina","300","494683","494983","0.461370886237388"
"1990","ARG","Argentina","300","560857","561157","0.539536862550772"
"1991","ARG","Argentina","350","642362","642712","0.614980589476837"
"1992","ARG","Argentina","402","745678","746080","0.682793057756375"
"1993","ARG","Argentina","707","984908","985615","0.86195866911455"
"1994","ARG","Argentina","763","999814","1000577","0.810636931456623"
"1995","ARG","Argentina","1474","1175635","1177109","0.925229298505926"
"1996","ARG","Argentina","1322","1290065","1291387","0.981179947117721"
"1997","ARG","Argentina","1314","1389550","1390864","1.05845672526366"
"1998","ARG","Argentina","1040","1165404","1166444","0.925080274422654"
"1999","ARG","Argentina","1218","1086938","1088156","0.803218861912626"
"2000","ARG","Argentina","1784","922289","924073","0.663186103249637"
"2001","ARG","Argentina","1340","931282","932622","0.670358253187995"
"2002","ARG","Argentina","1457","946535","947992","0.664879483554415"
"2003","ARG","Argentina","1647","911283","912930","0.639435675801121"
"2004","ARG","Argentina","1848","945978","947826","0.624284677972445"
"2005","ARG","Argentina","2057","934009","936066","0.604312280113201"
"2006","ARG","Argentina","2528","1176616","1179144","0.752205907197556"
"2007","ARG","Argentina","2957","992618","995575","0.622391352189542"
"2008","ARG","Argentina","2700","999949","1002649","0.616265250765184"
"2009","ARG","Argentina","2582.95","872632","875214.95","0.529050803492839"
"2010","ARG","Argentina","2654.35","818162","820816.35","0.488949051102659"
"2011","ARG","Argentina","3193.25","815988","819181.25","0.465662334532331"
"2012","ARG","Argentina","2958.42","762560","765518.42","0.425867700540544"
"2013","ARG","Argentina","3825.12","890305","894130.12","0.475064126484093"
"2014","ARG","Argentina","4002.71","853436","857438.71","0.443651838309407"
"2015","ARG","Argentina","3662.65","835850","839512.65","0.423051306236599"
"2016","ARG","Argentina","3673.485","771152","774825.485","0.386246121814893"
"2017","ARG","Argentina","3567.76","849268","852835.76","0.409724815220633"
"2018","ARG","Argentina","3205.31","838209","841414.31","0.391511066287925"
"2019","ARG","Argentina","2592.19","854642","857234.19","0.399117777280791"
"2020","ARG","Argentina","2084.5","859922.518","862007.018","0.401781673696902"
"2021","ARG","Argentina","3687","887839.782","891526.782","0.404820280014696"
"2022","ARG","Argentina","6022.03","885797.718","891819.748","0.397062665335917"
"2023","ARG","Argentina","5515.964","836232.951","841748.915","0.367826359139407"
