anio,prod_kg_pc,consumo_kg_pc
1961,4.91646449173986,4.09158974358974
1962,4.80753670962653,4.06215384615385
1963,6.09535982313266,5.03353846153846
1964,7.74516439410929,6.70157264957265
1965,9.27094648040267,6.52495726495726
1966,11.1697779979623,5.93623931623932
1967,10.5648219955043,5.11203418803419
1968,9.6382885908316,5.48488888888889
1969,8.62722758385179,4.97466666666667
1970,8.98383710048028,5.18071794871795
1971,9.42528093092989,6.39740170940171
1972,9.65638016179626,5.74981196581196
1973,12.0586097463448,5.43582905982906
1974,11.6255029682244,6.16191452991453
1975,8.97619384506681,4.64105982905983
1976,10.7211386468976,3.27719658119658
1977,15.0843735095811,4.47425641025641
1978,19.9747841657121,6.888
1979,21.0648631365167,7.49634188034188
1980,14.2834060579768,5.90680341880342
1981,13.1704096397834,5.92642735042735
1982,16.8797738037361,5.75962393162393
1983,14.5691593698441,5.78905982905983
1984,10.8064157989261,4.92560683760684
1985,13.8361648948866,6.68194871794872
1986,13.7184952086818,5.64188034188034
1987,14.7617446406502,5.15128205128205
1988,15.6194364524798,6.46608547008547
1989,15.3383470482491,5.31808547008547
1990,17.1314780808502,5.86755555555556
1991,19.3411469666805,6.32871794871795
1992,22.1431255920462,8.54622222222222
1993,28.8590509504705,9.11531623931624
1994,28.9071391267642,7.93788034188034
1995,33.5645374596308,9.84140170940171
1996,36.3629702972026,11.5781196581197
1997,38.69122305735,11.764547008547
1998,32.069075678954,11.3818803418803
1999,29.5737302472134,10.047452991453
2000,24.8313375961037,8.38923076923077
2001,24.7874109713467,9.85121367521368
2002,24.9279050240907,7.10386324786325
2003,23.7591947716811,7.21179487179487
2004,24.418488539598,6.69176068376068
2005,23.8690118153223,6.57401709401709
2006,29.7597440217414,8.88964102564103
2007,24.8789488545088,7.14311111111111
2008,24.8032191055703,7.6631452991453
2009,21.4225571022433,5.99511111111111
2010,19.8799300844924,5.74
2011,19.6302011518629,5.91
2012,18.156716610311,5.75
2013,20.9976179156415,7.05
2014,19.929278428132,5.86
2015,19.3093455916428,7.18
2016,17.6496574181601,6.05
2017,19.2561990823252,7.28
2018,18.8426051601704,7.37
2019,19.0608882370971,6.83
2020,19.0743429075134,7.14
2021,19.6751689017818,7.15
2022,19.6401874880638,7.12
