"year","semester","age_group","poverty_line","poverty_rate"
"2003","II","old_and_child","Indigencia","21.014883"
"2003","II","old_and_old","Indigencia","5.9267793"
"2003","II","child_no_siblings","Indigencia","16.023182"
"2003","II","child_1_sibling","Indigencia","21.72793"
"2003","II","child_2more_siblings","Indigencia","45.301964"
"2004","I","old_and_child","Indigencia","21.23789"
"2004","I","old_and_old","Indigencia","13.592821"
"2004","I","child_no_siblings","Indigencia","15.776295"
"2004","I","child_1_sibling","Indigencia","18.40037"
"2004","I","child_2more_siblings","Indigencia","43.123737"
"2004","II","old_and_child","Indigencia","16.622383"
"2004","II","old_and_old","Indigencia","3.082761"
"2004","II","child_no_siblings","Indigencia","13.527333"
"2004","II","child_1_sibling","Indigencia","15.045649"
"2004","II","child_2more_siblings","Indigencia","39.297913"
"2005","I","old_and_child","Indigencia","13.371202"
"2005","I","old_and_old","Indigencia","3.2034018"
"2005","I","child_no_siblings","Indigencia","10.605322"
"2005","I","child_1_sibling","Indigencia","13.486207"
"2005","I","child_2more_siblings","Indigencia","35.654549"
"2005","II","old_and_child","Indigencia","9.9070292"
"2005","II","old_and_old","Indigencia","2.9671307"
"2005","II","child_no_siblings","Indigencia","9.2049694"
"2005","II","child_1_sibling","Indigencia","13.598679"
"2005","II","child_2more_siblings","Indigencia","34.44875"
"2006","I","old_and_child","Indigencia","10.779361"
"2006","I","old_and_old","Indigencia","3.4570239"
"2006","I","child_no_siblings","Indigencia","8.3321915"
"2006","I","child_1_sibling","Indigencia","10.836704"
"2006","I","child_2more_siblings","Indigencia","31.651506"
"2006","II","old_and_child","Indigencia","8.8055344"
"2006","II","old_and_old","Indigencia","1.6994921"
"2006","II","child_no_siblings","Indigencia","7.0749035"
"2006","II","child_1_sibling","Indigencia","7.218492"
"2006","II","child_2more_siblings","Indigencia","26.852726"
"2007","I","old_and_child","Indigencia","7.1223893"
"2007","I","old_and_old","Indigencia","1.6460024"
"2007","I","child_no_siblings","Indigencia","7.6585083"
"2007","I","child_1_sibling","Indigencia","9.6432562"
"2007","I","child_2more_siblings","Indigencia","27.858168"
"2007","II","old_and_child","Indigencia","6.3659611"
"2007","II","old_and_old","Indigencia","1.463441"
"2007","II","child_no_siblings","Indigencia","8.1367407"
"2007","II","child_1_sibling","Indigencia","11.237857"
"2007","II","child_2more_siblings","Indigencia","24.282539"
"2008","I","old_and_child","Indigencia","6.5958157"
"2008","I","old_and_old","Indigencia","1.2907764"
"2008","I","child_no_siblings","Indigencia","7.6739674"
"2008","I","child_1_sibling","Indigencia","9.786891"
"2008","I","child_2more_siblings","Indigencia","28.38588"
"2008","II","old_and_child","Indigencia","5.0177855"
"2008","II","old_and_old","Indigencia","1.3377419"
"2008","II","child_no_siblings","Indigencia","6.3748269"
"2008","II","child_1_sibling","Indigencia","7.6796131"
"2008","II","child_2more_siblings","Indigencia","25.540899"
"2009","I","old_and_child","Indigencia","3.3138752"
"2009","I","old_and_old","Indigencia","0.89019918"
"2009","I","child_no_siblings","Indigencia","7.3529201"
"2009","I","child_1_sibling","Indigencia","8.0441751"
"2009","I","child_2more_siblings","Indigencia","24.989637"
"2009","II","old_and_child","Indigencia","3.6558666"
"2009","II","old_and_old","Indigencia","1.179986"
"2009","II","child_no_siblings","Indigencia","6.0890913"
"2009","II","child_1_sibling","Indigencia","7.7716713"
"2009","II","child_2more_siblings","Indigencia","22.79015"
"2010","I","old_and_child","Indigencia","7.1912494"
"2010","I","old_and_old","Indigencia","1.2205901"
"2010","I","child_no_siblings","Indigencia","9.415204"
"2010","I","child_1_sibling","Indigencia","7.9162555"
"2010","I","child_2more_siblings","Indigencia","24.597872"
"2010","II","old_and_child","Indigencia","5.4344773"
"2010","II","old_and_old","Indigencia","0.624497"
"2010","II","child_no_siblings","Indigencia","5.9901147"
"2010","II","child_1_sibling","Indigencia","8.6939554"
"2010","II","child_2more_siblings","Indigencia","22.75"
"2011","I","old_and_child","Indigencia","3.6488268"
"2011","I","old_and_old","Indigencia","1.2589191"
"2011","I","child_no_siblings","Indigencia","6.1873136"
"2011","I","child_1_sibling","Indigencia","7.5134273"
"2011","I","child_2more_siblings","Indigencia","19.049677"
"2011","II","old_and_child","Indigencia","2.8754101"
"2011","II","old_and_old","Indigencia","0.92867506"
"2011","II","child_no_siblings","Indigencia","6.170754"
"2011","II","child_1_sibling","Indigencia","5.925786"
"2011","II","child_2more_siblings","Indigencia","17.002007"
"2012","I","old_and_child","Indigencia","2.4996099"
"2012","I","old_and_old","Indigencia","0.93502885"
"2012","I","child_no_siblings","Indigencia","6.3955574"
"2012","I","child_1_sibling","Indigencia","6.9677982"
"2012","I","child_2more_siblings","Indigencia","17.888655"
"2012","II","old_and_child","Indigencia","3.6892116"
"2012","II","old_and_old","Indigencia","0.54807717"
"2012","II","child_no_siblings","Indigencia","4.9620705"
"2012","II","child_1_sibling","Indigencia","5.8223362"
"2012","II","child_2more_siblings","Indigencia","18.722937"
"2013","I","old_and_child","Indigencia","2.7680206"
"2013","I","old_and_old","Indigencia","0.56496483"
"2013","I","child_no_siblings","Indigencia","5.4915209"
"2013","I","child_1_sibling","Indigencia","6.2242723"
"2013","I","child_2more_siblings","Indigencia","14.20684"
"2013","II","old_and_child","Indigencia","2.9592483"
"2013","II","old_and_old","Indigencia","1.1088896"
"2013","II","child_no_siblings","Indigencia","4.3382988"
"2013","II","child_1_sibling","Indigencia","7.4345202"
"2013","II","child_2more_siblings","Indigencia","16.451271"
"2014","I","old_and_child","Indigencia","4.0319548"
"2014","I","old_and_old","Indigencia","0.92343265"
"2014","I","child_no_siblings","Indigencia","5.5613551"
"2014","I","child_1_sibling","Indigencia","7.6900902"
"2014","I","child_2more_siblings","Indigencia","21.10873"
"2014","II","old_and_child","Indigencia","3.784879"
"2014","II","old_and_old","Indigencia","0.85140169"
"2014","II","child_no_siblings","Indigencia","6.0126557"
"2014","II","child_1_sibling","Indigencia","7.4542561"
"2014","II","child_2more_siblings","Indigencia","19.780703"
"2015","I","old_and_child","Indigencia","2.4203956"
"2015","I","old_and_old","Indigencia","0.76972359"
"2015","I","child_no_siblings","Indigencia","4.6586609"
"2015","I","child_1_sibling","Indigencia","6.1601114"
"2015","I","child_2more_siblings","Indigencia","16.466242"
"2015","II","old_and_child","Indigencia",
"2015","II","old_and_old","Indigencia",
"2015","II","child_no_siblings","Indigencia",
"2015","II","child_1_sibling","Indigencia",
"2015","II","child_2more_siblings","Indigencia",
"2016","I","old_and_child","Indigencia",
"2016","I","old_and_old","Indigencia",
"2016","I","child_no_siblings","Indigencia",
