"geocodigoFundar","geonombreFundar","anio","poverty_line","poverty_rate"
"ARG","Argentina","2023","3.00000","0.01157"
"ARM","Armenia","2023","3.00000","0.01928"
"AUT","Austria","2022","3.00000","0.00644"
"BEL","Bélgica","2022","3.00000","0.00020"
"BEN","Benin","2021","3.00000","0.27223"
"BFA","Burkina Faso","2021","3.00000","0.42062"
"BGD","Bangladesh","2022","3.00000","0.08014"
"BGR","Bulgaria","2022","3.00000","0.01053"
"BOL","Bolivia","2023","3.00000","0.02817"
"BRA","Brasil","2023","3.00000","0.03816"
"BTN","Bhután","2022","3.00000","0.00013"
"CAF","Rep. Centroafricana","2021","3.00000","0.71617"
"CHE","Suiza","2021","3.00000","0.00038"
"CHL","Chile","2022","3.00000","0.00520"
"CHN","China","2021","3.00000","0.00000"
"CIV","Costa de Marfil","2021","3.00000","0.20903"
"CMR","Camerún","2021","3.00000","0.26692"
"COL","Colombia","2023","3.00000","0.07687"
"CRI","Costa Rica","2024","3.00000","0.01284"
"CYP","Chipre","2022","3.00000","0.00005"
"CZE","Chequia","2022","3.00000","0.00000"
"DNK","Dinamarca","2022","3.00000","0.00244"
"DOM","Rep. Dominicana","2023","3.00000","0.01273"
"ECU","Ecuador","2023","3.00000","0.04681"
"EGY","Egipto","2021","3.00000","0.01374"
"ESP","España","2022","3.00000","0.00785"
"EST","Estonia","2022","3.00000","0.00498"
"ETH","Etiopía","2021","3.00000","0.38636"
"FIN","Finlandia","2022","3.00000","0.00106"
"FRA","Francia","2022","3.00000","0.00055"
"GBR","Reino Unido","2021","3.00000","0.00498"
"GEO","Georgia","2023","3.00000","0.05827"
"GNB","Guinea-Bissau","2021","3.00000","0.39861"
"GNQ","Guinea Ecuatorial","2022","3.00000","0.08794"
"GRC","Grecia","2022","3.00000","0.00624"
"GTM","Guatemala","2023","3.00000","0.09661"
"HND","Honduras","2023","3.00000","0.17021"
"HRV","Croacia","2022","3.00000","0.00398"
"HUN","Hungría","2022","3.00000","0.01501"
"IDN","Indonesia","2024","3.00000","0.05438"
"IND","India","2022","3.00000","0.05252"
"IRL","Irlanda","2022","3.00000","0.00201"
"IRN","Irán","2023","3.00000","0.02488"
"IRQ","Iraq","2023","3.00000","0.00549"
"ISR","Israel","2021","3.00000","0.00721"
"ITA","Italia","2022","3.00000","0.00685"
"JAM","Jamaica","2021","3.00000","0.01387"
"KAZ","Kazajstán","2021","3.00000","0.00040"
"KEN","Kenia","2021","3.00000","0.46450"
"KGZ","Kirguistán","2022","3.00000","0.04549"
"KOR","Corea del Sur","2021","3.00000","0.00249"
"LBN","Líbano","2022","3.00000","0.05894"
