"geocodigoFundar","geonombreFundar","year","poverty_line","poverty_rate"
"AFE","África Oriental y Meridional","1981","3.00000","0.58188"
"AFE","África Oriental y Meridional","1982","3.00000","0.58558"
"AFE","África Oriental y Meridional","1983","3.00000","0.59171"
"AFE","África Oriental y Meridional","1984","3.00000","0.60101"
"AFE","África Oriental y Meridional","1985","3.00000","0.60866"
"AFE","África Oriental y Meridional","1986","3.00000","0.60358"
"AFE","África Oriental y Meridional","1987","3.00000","0.59731"
"AFE","África Oriental y Meridional","1988","3.00000","0.59644"
"AFE","África Oriental y Meridional","1989","3.00000","0.59692"
"AFE","África Oriental y Meridional","1990","3.00000","0.60485"
"AFE","África Oriental y Meridional","1991","3.00000","0.61691"
"AFE","África Oriental y Meridional","1992","3.00000","0.62914"
"AFE","África Oriental y Meridional","1993","3.00000","0.64020"
"AFE","África Oriental y Meridional","1994","3.00000","0.64125"
"AFE","África Oriental y Meridional","1995","3.00000","0.63508"
"AFE","África Oriental y Meridional","1996","3.00000","0.62777"
"AFE","África Oriental y Meridional","1997","3.00000","0.62687"
"AFE","África Oriental y Meridional","1998","3.00000","0.63000"
"AFE","África Oriental y Meridional","1999","3.00000","0.63070"
"AFE","África Oriental y Meridional","2000","3.00000","0.62828"
"AFE","África Oriental y Meridional","2001","3.00000","0.62472"
"AFE","África Oriental y Meridional","2002","3.00000","0.63370"
"AFE","África Oriental y Meridional","2003","3.00000","0.62684"
"AFE","África Oriental y Meridional","2004","3.00000","0.59254"
"AFE","África Oriental y Meridional","2005","3.00000","0.57426"
"AFE","África Oriental y Meridional","2006","3.00000","0.55597"
"AFE","África Oriental y Meridional","2007","3.00000","0.54482"
"AFE","África Oriental y Meridional","2008","3.00000","0.53458"
"AFE","África Oriental y Meridional","2009","3.00000","0.53124"
"AFE","África Oriental y Meridional","2010","3.00000","0.51868"
"AFE","África Oriental y Meridional","2011","3.00000","0.50793"
"AFE","África Oriental y Meridional","2012","3.00000","0.50140"
"AFE","África Oriental y Meridional","2013","3.00000","0.49602"
"AFE","África Oriental y Meridional","2014","3.00000","0.49305"
"AFE","África Oriental y Meridional","2015","3.00000","0.49457"
"AFE","África Oriental y Meridional","2016","3.00000","0.50116"
"AFE","África Oriental y Meridional","2017","3.00000","0.50915"
"AFE","África Oriental y Meridional","2018","3.00000","0.51513"
"AFE","África Oriental y Meridional","2019","3.00000","0.52124"
"AFE","África Oriental y Meridional","2020","3.00000","0.53792"
"AFE","África Oriental y Meridional","2021","3.00000","0.53983"
"AFE","África Oriental y Meridional","2022","3.00000","0.53411"
"AFE","África Oriental y Meridional","2023","3.00000","0.53235"
"AFE","África Oriental y Meridional","2024","3.00000","0.53533"
"AFE","África Oriental y Meridional","2025","3.00000","0.52762"
"AFW","África Occidental y Central","1981","3.00000","0.54555"
"AFW","África Occidental y Central","1982","3.00000","0.56279"
"AFW","África Occidental y Central","1983","3.00000","0.59052"
"AFW","África Occidental y Central","1984","3.00000","0.59606"
"AFW","África Occidental y Central","1985","3.00000","0.58541"
"AFW","África Occidental y Central","1986","3.00000","0.58981"
"AFW","África Occidental y Central","1987","3.00000","0.59890"
"AFW","África Occidental y Central","1988","3.00000","0.60184"
"AFW","África Occidental y Central","1989","3.00000","0.61138"
"AFW","África Occidental y Central","1990","3.00000","0.61408"
"AFW","África Occidental y Central","1991","3.00000","0.62701"
"AFW","África Occidental y Central","1992","3.00000","0.63660"
"AFW","África Occidental y Central","1993","3.00000","0.64147"
"AFW","África Occidental y Central","1994","3.00000","0.64476"
"AFW","África Occidental y Central","1995","3.00000","0.64736"
"AFW","África Occidental y Central","1996","3.00000","0.64388"
"AFW","África Occidental y Central","1997","3.00000","0.63524"
"AFW","África Occidental y Central","1998","3.00000","0.62684"
"AFW","África Occidental y Central","1999","3.00000","0.62150"
"AFW","África Occidental y Central","2000","3.00000","0.61549"
"AFW","África Occidental y Central","2001","3.00000","0.60023"
"AFW","África Occidental y Central","2002","3.00000","0.57765"
"AFW","África Occidental y Central","2003","3.00000","0.56548"
"AFW","África Occidental y Central","2004","3.00000","0.54501"
"AFW","África Occidental y Central","2005","3.00000","0.53463"
"AFW","África Occidental y Central","2006","3.00000","0.52417"
"AFW","África Occidental y Central","2007","3.00000","0.51502"
"AFW","África Occidental y Central","2008","3.00000","0.49633"
"AFW","África Occidental y Central","2009","3.00000","0.48572"
"AFW","África Occidental y Central","2010","3.00000","0.46304"
"AFW","África Occidental y Central","2011","3.00000","0.45318"
"AFW","África Occidental y Central","2012","3.00000","0.43459"
"AFW","África Occidental y Central","2013","3.00000","0.41992"
"AFW","África Occidental y Central","2014","3.00000","0.40221"
"AFW","África Occidental y Central","2015","3.00000","0.40177"
"AFW","África Occidental y Central","2016","3.00000","0.38937"
"AFW","África Occidental y Central","2017","3.00000","0.36989"
"AFW","África Occidental y Central","2018","3.00000","0.35211"
"AFW","África Occidental y Central","2019","3.00000","0.33943"
"AFW","África Occidental y Central","2020","3.00000","0.35152"
"AFW","África Occidental y Central","2021","3.00000","0.34543"
"AFW","África Occidental y Central","2022","3.00000","0.33756"
"AFW","África Occidental y Central","2023","3.00000","0.33324"
"AFW","África Occidental y Central","2024","3.00000","0.32750"
"AFW","África Occidental y Central","2025","3.00000","0.32017"
"ARG","Argentina","1980","3.00000","0.00000"
"ARG","Argentina","1986","3.00000","0.01265"
"ARG","Argentina","1987","3.00000","0.01487"
"ARG","Argentina","1991","3.00000","0.01282"
"ARG","Argentina","1992","3.00000","0.02494"
"ARG","Argentina","1993","3.00000","0.02913"
"ARG","Argentina","1994","3.00000","0.02706"
"ARG","Argentina","1995","3.00000","0.05119"
"ARG","Argentina","1996","3.00000","0.05411"
"ARG","Argentina","1997","3.00000","0.05212"
"ARG","Argentina","1998","3.00000","0.05660"
"ARG","Argentina","1999","3.00000","0.05906"
"ARG","Argentina","2000","3.00000","0.07346"
"ARG","Argentina","2001","3.00000","0.10725"
"ARG","Argentina","2002","3.00000","0.17058"
"ARG","Argentina","2003","3.00000","0.08187"
"ARG","Argentina","2004","3.00000","0.06020"
"ARG","Argentina","2005","3.00000","0.04425"
"ARG","Argentina","2006","3.00000","0.03464"
"ARG","Argentina","2007","3.00000","0.02759"
"ARG","Argentina","2008","3.00000","0.02623"
"ARG","Argentina","2009","3.00000","0.02448"
"ARG","Argentina","2010","3.00000","0.01534"
"ARG","Argentina","2011","3.00000","0.01208"
"ARG","Argentina","2012","3.00000","0.01270"
"ARG","Argentina","2013","3.00000","0.01089"
"ARG","Argentina","2014","3.00000","0.01059"
"ARG","Argentina","2016","3.00000","0.01269"
"ARG","Argentina","2017","3.00000","0.01114"
"ARG","Argentina","2018","3.00000","0.01638"
