"province","year","nbi_rate"
"argentina","1980","22.30000"
"argentina","1991","16.50000"
"argentina","2001","14.30000"
"argentina","2010","9.10000"
"argentina","2022","6.70000"
"caba","1980","7.40000"
"caba","1991","7.00000"
"caba","2001","7.10000"
"caba","2010","6.00000"
"caba","2022","4.80000"
"catamarca","1980","37.60000"
"catamarca","1991","24.60000"
"catamarca","2001","18.40000"
"catamarca","2010","11.30000"
"catamarca","2022","6.90000"
"chaco","1980","44.80000"
"chaco","1991","33.20000"
"chaco","2001","27.60000"
"chaco","2010","18.20000"
"chaco","2022","11.20000"
"chubut","1980","29.80000"
"chubut","1991","19.40000"
"chubut","2001","13.40000"
"chubut","2010","8.40000"
"chubut","2022","5.10000"
"cordoba","1980","19.40000"
"cordoba","1991","12.80000"
"cordoba","2001","11.10000"
"cordoba","2010","6.00000"
"cordoba","2022","4.30000"
"corrientes","1980","40.60000"
"corrientes","1991","26.90000"
"corrientes","2001","24.00000"
"corrientes","2010","15.10000"
"corrientes","2022","11.80000"
"entre rios","1980","27.90000"
"entre rios","1991","17.20000"
"entre rios","2001","14.70000"
"entre rios","2010","8.00000"
"entre rios","2022","6.00000"
"formosa","1980","46.80000"
"formosa","1991","34.30000"
"formosa","2001","28.00000"
"formosa","2010","19.70000"
"formosa","2022","11.70000"
"jujuy","1980","45.10000"
"jujuy","1991","33.60000"
"jujuy","2001","26.10000"
"jujuy","2010","15.50000"
"jujuy","2022","10.90000"
"la_pampa","1980","18.80000"
"la_pampa","1991","12.00000"
"la_pampa","2001","9.20000"
"la_pampa","2010","3.80000"
"la_pampa","2022","2.60000"
"la_rioja","1980","31.60000"
"la_rioja","1991","23.60000"
"la_rioja","2001","17.40000"
"la_rioja","2010","12.20000"
"la_rioja","2022","8.10000"
"mendoza","1980","20.40000"
"mendoza","1991","15.30000"
"mendoza","2001","13.10000"
"mendoza","2010","7.60000"
"mendoza","2022","6.40000"
"misiones","1980","39.20000"
"misiones","1991","30.00000"
"misiones","2001","23.50000"
"misiones","2010","15.60000"
"misiones","2022","8.70000"
"neuquen","1980","33.90000"
"neuquen","1991","19.10000"
"neuquen","2001","15.50000"
"neuquen","2010","10.40000"
"neuquen","2022","6.80000"
"partidos_GBA","1980","21.70000"
"partidos_GBA","1991","16.50000"
"partidos_GBA","2001","14.50000"
"partidos_GBA","2010","9.20000"
"partidos_GBA","2022","7.00000"
"PBA","1980","16.90000"
"PBA","1991","11.70000"
"PBA","2001","10.50000"
"PBA","2010","6.40000"
"PBA","2022","5.40000"
"rio_negro","1980","32.80000"
"rio_negro","1991","20.70000"
"rio_negro","2001","16.10000"
"rio_negro","2010","9.40000"
"rio_negro","2022","5.90000"
"salta","1980","42.40000"
"salta","1991","33.90000"
"salta","2001","27.50000"
"salta","2010","19.40000"
"salta","2022","14.20000"
"san_juan","1980","26.00000"
"san_juan","1991","17.20000"
"san_juan","2001","14.30000"
"san_juan","2010","10.20000"
"san_juan","2022","8.10000"
"san_luis","1980","27.70000"
"san_luis","1991","18.70000"
"san_luis","2001","13.00000"
"san_luis","2010","7.90000"
"san_luis","2022","6.50000"
"santa_cruz","1980","22.70000"
"santa_cruz","1991","15.20000"
"santa_cruz","2001","10.10000"
"santa_cruz","2010","8.20000"
"santa_cruz","2022","6.00000"
"santa_fe","1980","20.00000"
"santa_fe","1991","14.00000"
"santa_fe","2001","11.90000"
"santa_fe","2010","6.40000"
"santa_fe","2022","4.90000"
"santiago_del_estero","1980","45.80000"
"santiago_del_estero","1991","33.60000"
"santiago_del_estero","2001","26.20000"
"santiago_del_estero","2010","17.60000"
"santiago_del_estero","2022","9.60000"
"tierra_del_fuego","1980","25.60000"
"tierra_del_fuego","1991","25.50000"
"tierra_del_fuego","2001","15.50000"
"tierra_del_fuego","2010","14.20000"
"tierra_del_fuego","2022","13.40000"
"tucuman","1980","36.60000"
"tucuman","1991","24.60000"
"tucuman","2001","20.50000"
"tucuman","2010","13.30000"
"tucuman","2022","9.50000"
