"year","semester","region","k_value","pov_rate"
"2003","II","Total","0.25000","0.25620"
"2003","II","Partidos","0.25000","0.35985"
"2003","II","CABA","0.25000","0.05464"
"2003","II","Pampeana","0.25000","0.18569"
"2003","II","NEA","0.25000","0.32218"
"2003","II","NOA","0.25000","0.28298"
"2003","II","Cuyo","0.25000","0.18239"
"2003","II","Patagonia","0.25000","0.09975"
"2004","I","Total","0.25000","0.23813"
"2004","I","Partidos","0.25000","0.33292"
"2004","I","CABA","0.25000","0.04897"
"2004","I","Pampeana","0.25000","0.17805"
"2004","I","NEA","0.25000","0.30243"
"2004","I","NOA","0.25000","0.26485"
"2004","I","Cuyo","0.25000","0.17193"
"2004","I","Patagonia","0.25000","0.09876"
"2004","II","Total","0.25000","0.22928"
"2004","II","Partidos","0.25000","0.31672"
"2004","II","CABA","0.25000","0.04072"
"2004","II","Pampeana","0.25000","0.17475"
"2004","II","NEA","0.25000","0.29523"
"2004","II","NOA","0.25000","0.26685"
"2004","II","Cuyo","0.25000","0.17235"
"2004","II","Patagonia","0.25000","0.09259"
"2005","I","Total","0.25000","0.22476"
"2005","I","Partidos","0.25000","0.30740"
"2005","I","CABA","0.25000","0.04532"
"2005","I","Pampeana","0.25000","0.17148"
"2005","I","NEA","0.25000","0.28240"
"2005","I","NOA","0.25000","0.26146"
"2005","I","Cuyo","0.25000","0.18429"
"2005","I","Patagonia","0.25000","0.09460"
"2005","II","Total","0.25000","0.21895"
"2005","II","Partidos","0.25000","0.30236"
"2005","II","CABA","0.25000","0.04129"
"2005","II","Pampeana","0.25000","0.16249"
"2005","II","NEA","0.25000","0.27191"
"2005","II","NOA","0.25000","0.26147"
"2005","II","Cuyo","0.25000","0.17699"
"2005","II","Patagonia","0.25000","0.08844"
"2006","I","Total","0.25000","0.21304"
"2006","I","Partidos","0.25000","0.29232"
"2006","I","CABA","0.25000","0.05028"
"2006","I","Pampeana","0.25000","0.15321"
"2006","I","NEA","0.25000","0.28134"
"2006","I","NOA","0.25000","0.25286"
"2006","I","Cuyo","0.25000","0.17494"
"2006","I","Patagonia","0.25000","0.07103"
"2006","II","Total","0.25000","0.20665"
"2006","II","Partidos","0.25000","0.28789"
"2006","II","CABA","0.25000","0.04715"
"2006","II","Pampeana","0.25000","0.15386"
"2006","II","NEA","0.25000","0.27697"
"2006","II","NOA","0.25000","0.23942"
"2006","II","Cuyo","0.25000","0.14633"
"2006","II","Patagonia","0.25000","0.08424"
"2007","I","Total","0.25000","0.19302"
"2007","I","Partidos","0.25000","0.26245"
"2007","I","CABA","0.25000","0.05503"
"2007","I","Pampeana","0.25000","0.14274"
"2007","I","NEA","0.25000","0.25514"
"2007","I","NOA","0.25000","0.23438"
"2007","I","Cuyo","0.25000","0.14804"
"2007","I","Patagonia","0.25000","0.06996"
"2007","II","Total","0.25000","0.18627"
"2007","II","Partidos","0.25000","0.25274"
"2007","II","CABA","0.25000","0.05831"
"2007","II","Pampeana","0.25000","0.14458"
"2007","II","NEA","0.25000","0.23049"
"2007","II","NOA","0.25000","0.21277"
"2007","II","Cuyo","0.25000","0.13773"
"2007","II","Patagonia","0.25000","0.08742"
"2008","I","Total","0.25000","0.17977"
"2008","I","Partidos","0.25000","0.24852"
"2008","I","CABA","0.25000","0.03347"
"2008","I","Pampeana","0.25000","0.13782"
"2008","I","NEA","0.25000","0.21059"
"2008","I","NOA","0.25000","0.21906"
"2008","I","Cuyo","0.25000","0.13977"
"2008","I","Patagonia","0.25000","0.08435"
"2008","II","Total","0.25000","0.18057"
"2008","II","Partidos","0.25000","0.24819"
"2008","II","CABA","0.25000","0.05491"
"2008","II","Pampeana","0.25000","0.13732"
"2008","II","NEA","0.25000","0.19419"
"2008","II","NOA","0.25000","0.21368"
"2008","II","Cuyo","0.25000","0.13604"
"2008","II","Patagonia","0.25000","0.08098"
"2009","I","Total","0.25000","0.17639"
"2009","I","Partidos","0.25000","0.23887"
"2009","I","CABA","0.25000","0.04689"
"2009","I","Pampeana","0.25000","0.13605"
"2009","I","NEA","0.25000","0.17852"
"2009","I","NOA","0.25000","0.22739"
"2009","I","Cuyo","0.25000","0.13624"
"2009","I","Patagonia","0.25000","0.08997"
"2009","II","Total","0.25000","0.17589"
"2009","II","Partidos","0.25000","0.24839"
"2009","II","CABA","0.25000","0.04189"
"2009","II","Pampeana","0.25000","0.12958"
"2009","II","NEA","0.25000","0.19624"
"2009","II","NOA","0.25000","0.20354"
"2009","II","Cuyo","0.25000","0.12531"
"2009","II","Patagonia","0.25000","0.07175"
"2010","I","Total","0.25000","0.16064"
"2010","I","Partidos","0.25000","0.21529"
"2010","I","CABA","0.25000","0.04546"
"2010","I","Pampeana","0.25000","0.13206"
"2010","I","NEA","0.25000","0.18447"
"2010","I","NOA","0.25000","0.19246"
"2010","I","Cuyo","0.25000","0.10986"
"2010","I","Patagonia","0.25000","0.07431"
"2010","II","Total","0.25000","0.15682"
"2010","II","Partidos","0.25000","0.21683"
"2010","II","CABA","0.25000","0.03882"
"2010","II","Pampeana","0.25000","0.11765"
"2010","II","NEA","0.25000","0.17791"
"2010","II","NOA","0.25000","0.18149"
"2010","II","Cuyo","0.25000","0.12568"
"2010","II","Patagonia","0.25000","0.07201"
"2011","I","Total","0.25000","0.13753"
"2011","I","Partidos","0.25000","0.18349"
"2011","I","CABA","0.25000","0.02550"
"2011","I","Pampeana","0.25000","0.11017"
"2011","I","NEA","0.25000","0.16935"
"2011","I","NOA","0.25000","0.18457"
"2011","I","Cuyo","0.25000","0.09616"
"2011","I","Patagonia","0.25000","0.06608"
"2011","II","Total","0.25000","0.14092"
"2011","II","Partidos","0.25000","0.18936"
"2011","II","CABA","0.25000","0.02760"
"2011","II","Pampeana","0.25000","0.10748"
"2011","II","NEA","0.25000","0.17921"
"2011","II","NOA","0.25000","0.17488"
"2011","II","Cuyo","0.25000","0.11910"
"2011","II","Patagonia","0.25000","0.06191"
"2012","I","Total","0.25000","0.14188"
"2012","I","Partidos","0.25000","0.21095"
"2012","I","CABA","0.25000","0.01359"
"2012","I","Pampeana","0.25000","0.10315"
"2012","I","NEA","0.25000","0.13483"
"2012","I","NOA","0.25000","0.15695"
"2012","I","Cuyo","0.25000","0.10443"
"2012","I","Patagonia","0.25000","0.05502"
"2012","II","Total","0.25000","0.12992"
"2012","II","Partidos","0.25000","0.18464"
"2012","II","CABA","0.25000","0.02084"
"2012","II","Pampeana","0.25000","0.09859"
"2012","II","NEA","0.25000","0.13398"
"2012","II","NOA","0.25000","0.14791"
"2012","II","Cuyo","0.25000","0.10221"
"2012","II","Patagonia","0.25000","0.05419"
"2013","I","Total","0.25000","0.12451"
"2013","I","Partidos","0.25000","0.17516"
"2013","I","CABA","0.25000","0.03913"
"2013","I","Pampeana","0.25000","0.09524"
"2013","I","NEA","0.25000","0.12355"
"2013","I","NOA","0.25000","0.13911"
"2013","I","Cuyo","0.25000","0.08165"
"2013","I","Patagonia","0.25000","0.04665"
"2013","II","Total","0.25000","0.12343"
"2013","II","Partidos","0.25000","0.17402"
"2013","II","CABA","0.25000","0.02797"
"2013","II","Pampeana","0.25000","0.09913"
"2013","II","NEA","0.25000","0.11754"
"2013","II","NOA","0.25000","0.13215"
"2013","II","Cuyo","0.25000","0.08889"
"2013","II","Patagonia","0.25000","0.04124"
"2014","I","Total","0.25000","0.11747"
"2014","I","Partidos","0.25000","0.16949"
"2014","I","CABA","0.25000","0.01055"
"2014","I","Pampeana","0.25000","0.10356"
"2014","I","NEA","0.25000","0.09897"
"2014","I","NOA","0.25000","0.11149"
"2014","I","Cuyo","0.25000","0.08751"
"2014","I","Patagonia","0.25000","0.05323"
"2014","II","Total","0.25000","0.12534"
"2014","II","Partidos","0.25000","0.18889"
"2014","II","CABA","0.25000","0.00894"
"2014","II","Pampeana","0.25000","0.09713"
"2014","II","NEA","0.25000","0.09782"
"2014","II","NOA","0.25000","0.11697"
"2014","II","Cuyo","0.25000","0.09862"
"2014","II","Patagonia","0.25000","0.05044"
"2015","I","Total","0.25000","0.11629"
"2015","I","Partidos","0.25000","0.18053"
"2015","I","CABA","0.25000","0.00822"
"2015","I","Pampeana","0.25000","0.08806"
"2015","I","NEA","0.25000","0.08505"
"2015","I","NOA","0.25000","0.10216"
"2015","I","Cuyo","0.25000","0.07264"
"2015","I","Patagonia","0.25000","0.05255"
"2015","II","Total","0.25000",""
"2015","II","Partidos","0.25000",""
"2015","II","CABA","0.25000",""
"2015","II","Pampeana","0.25000",""
"2015","II","NEA","0.25000",""
"2015","II","NOA","0.25000",""
"2015","II","Cuyo","0.25000",""
"2015","II","Patagonia","0.25000",""
"2016","I","Total","0.25000",""
"2016","I","Partidos","0.25000",""
"2016","I","CABA","0.25000",""
"2016","I","Pampeana","0.25000",""
"2016","I","NEA","0.25000",""
"2016","I","NOA","0.25000",""
"2016","I","Cuyo","0.25000",""
"2016","I","Patagonia","0.25000",""
"2016","II","Total","0.25000","0.11672"
"2016","II","Partidos","0.25000","0.17295"
"2016","II","CABA","0.25000","0.01970"
"2016","II","Pampeana","0.25000","0.09175"
"2016","II","NEA","0.25000","0.08872"
"2016","II","NOA","0.25000","0.09046"
"2016","II","Cuyo","0.25000","0.06843"
"2016","II","Patagonia","0.25000","0.04346"
"2017","I","Total","0.25000","0.11771"
"2017","I","Partidos","0.25000","0.17926"
"2017","I","CABA","0.25000","0.01599"
"2017","I","Pampeana","0.25000","0.09027"
"2017","I","NEA","0.25000","0.07726"
"2017","I","NOA","0.25000","0.08921"
"2017","I","Cuyo","0.25000","0.07373"
"2017","I","Patagonia","0.25000","0.03216"
"2017","II","Total","0.25000","0.11368"
"2017","II","Partidos","0.25000","0.16995"
"2017","II","CABA","0.25000","0.01760"
"2017","II","Pampeana","0.25000","0.08630"
"2017","II","NEA","0.25000","0.07955"
"2017","II","NOA","0.25000","0.09752"
