"year","pov_type","poverty_rate"
"1974","beccaria","3.2"
"1975","beccaria","6.7"
"1976","beccaria","21.9"
"1977","beccaria",
"1978","beccaria",
"1979","beccaria",
"1980","beccaria","7.9"
"1981","beccaria",
"1982","beccaria","23.6"
"1983","beccaria","14.2"
"1984","beccaria",
"1985","beccaria",
"1986","beccaria",
"1987","beccaria",
"1988","beccaria",
"1989","beccaria",
"1974","arakaki","4.6"
"1975","arakaki",
"1976","arakaki",
"1977","arakaki",
"1978","arakaki",
"1979","arakaki",
"1980","arakaki","7.1"
"1981","arakaki","5.1"
"1982","arakaki","21.6"
"1983","arakaki",
"1984","arakaki",
"1985","arakaki","14.2"
"1986","arakaki","10.3"
"1987","arakaki","15.7"
"1988","arakaki","24.2"
"1989","arakaki","38.3"
