"year","period_type","date","poverty_line","fgt_parameter","poverty_rate"
"1992","mes","5","indigencia","0","5.3757915"
"1992","mes","5","indigencia","1","3.1694851"
"1992","mes","5","indigencia","2","2.6652379"
"1992","mes","5","pobreza","0","29.713865"
"1992","mes","5","pobreza","1","11.724938"
"1992","mes","5","pobreza","2","6.7737522"
"1992","mes","10","indigencia","0","5.7355475"
"1992","mes","10","indigencia","1","3.5237918"
"1992","mes","10","indigencia","2","2.9951007"
"1992","mes","10","pobreza","0","29.057262"
"1992","mes","10","pobreza","1","11.440835"
"1992","mes","10","pobreza","2","6.8426313"
"1993","mes","5","indigencia","0","6.331378"
"1993","mes","5","indigencia","1","3.8251469"
"1993","mes","5","indigencia","2","3.2487149"
"1993","mes","5","pobreza","0","28.284454"
"1993","mes","5","pobreza","1","11.942915"
"1993","mes","5","pobreza","2","7.3589268"
"1993","mes","10","indigencia","0","6.4388471"
"1993","mes","10","indigencia","1","3.5458736"
"1993","mes","10","indigencia","2","2.8439479"
"1993","mes","10","pobreza","0","26.891367"
"1993","mes","10","pobreza","1","11.03689"
"1993","mes","10","pobreza","2","6.780417"
"1994","mes","5","indigencia","0","5.785665"
"1994","mes","5","indigencia","1","3.4160891"
"1994","mes","5","indigencia","2","2.9211264"
"1994","mes","5","pobreza","0","27.864353"
"1994","mes","5","pobreza","1","11.302598"
"1994","mes","5","pobreza","2","6.860775"
"1994","mes","10","indigencia","0","4.1340971"
"1994","mes","10","indigencia","1","1.928703"
"1994","mes","10","indigencia","2","1.4049368"
"1994","mes","10","pobreza","0","29.621435"
"1994","mes","10","pobreza","1","11.25871"
"1994","mes","10","pobreza","2","6.045002"
"1995","mes","5","indigencia","0","6.4730668"
"1995","mes","5","indigencia","1","3.1151619"
"1995","mes","5","indigencia","2","2.2159121"
"1995","mes","5","pobreza","0","34.920654"
"1995","mes","5","pobreza","1","13.487111"
"1995","mes","5","pobreza","2","7.660799"
"1995","mes","10","indigencia","0","7.6814218"
"1995","mes","10","indigencia","1","3.4996912"
