trimestre;inflacion_trimestral;pbi_desestacionalizado_en_millones_de_pesos_de_1993
1q1984;58.29520333;197411.6953
2q1984;63.59207535;201805.9464
3q1984;85.32856859;200607.9167
4q1984;64.18853776;201757.7301
1q1985;91.03542768;194633.7123
2q1985;111.4071038;188672.3873
3q1985;11.63166397;184167.4262
4q1985;7.670043415;192735.292
1q1986;9.637096774;195456.2986
2q1986;13.90216992;200505.7587
3q1986;24.5398773;208158.0952
4q1986;16.96482586;202971.9204
1q1987;23.9840402;202262.7653
2q1987;16.2693683;208952.7072
3q1987;39.82573039;213500.0646
4q1987;36.32697947;204149.4467
1q1988;38.23608497;211179.4698
2q1988;60.02723206;207485.7138
3q1988;79.10538471;200687.1512
4q1988;23.10145911;200345.1523
