anio,sector,valor
1947,Alimentacion y bebidas,92.3781565
1948,Alimentacion y bebidas,93.29962821
1949,Alimentacion y bebidas,92.62747304
1950,Alimentacion y bebidas,94.63434479
1951,Alimentacion y bebidas,94.04211624
1952,Alimentacion y bebidas,98.71084971
1953,Alimentacion y bebidas,97.50197272
1954,Alimentacion y bebidas,92.91899861
1955,Alimentacion y bebidas,91.9801621
1956,Alimentacion y bebidas,92.52290185
1957,Alimentacion y bebidas,98.97209591
1958,Alimentacion y bebidas,103.3977986
1959,Alimentacion y bebidas,112.8983712
1960,Alimentacion y bebidas,108.9243262
1961,Alimentacion y bebidas,104.7818105
1962,Alimentacion y bebidas,105.2638285
1963,Alimentacion y bebidas,104.2670911
1964,Alimentacion y bebidas,108.2792305
1965,Alimentacion y bebidas,107.7382219
1966,Alimentacion y bebidas,102.361564
1967,Alimentacion y bebidas,102.1443285
1968,Alimentacion y bebidas,101.7887072
1969,Alimentacion y bebidas,100.3710101
1970,Alimentacion y bebidas,103.0044745
1971,Alimentacion y bebidas,108.3424013
1972,Alimentacion y bebidas,111.5356261
1973,Alimentacion y bebidas,107.9507937
1974,Alimentacion y bebidas,100.0
1975,Alimentacion y bebidas,97.10358118
1976,Alimentacion y bebidas,102.8886261
1977,Alimentacion y bebidas,106.1156715
1978,Alimentacion y bebidas,101.3707997
1979,Alimentacion y bebidas,104.9468305
1980,Alimentacion y bebidas,101.9781966
1981,Alimentacion y bebidas,99.32394018
1982,Alimentacion y bebidas,104.4282282
1983,Alimentacion y bebidas,103.3062663
1984,Alimentacion y bebidas,105.0307691
1985,Alimentacion y bebidas,98.49600062
1986,Alimentacion y bebidas,102.6517022
1987,Alimentacion y bebidas,103.2870782
1988,Alimentacion y bebidas,102.1285645
1989,Alimentacion y bebidas,101.1973324
1990,Alimentacion y bebidas,93.45991481
1991,Alimentacion y bebidas,89.82680268
1992,Alimentacion y bebidas,93.61898949
1993,Alimentacion y bebidas,93.35409254
1994,Alimentacion y bebidas,90.85922711
1995,Alimentacion y bebidas,90.38353106
1996,Alimentacion y bebidas,89.83678422
1997,Alimentacion y bebidas,88.7756744
1998,Alimentacion y bebidas,89.46902028
1999,Alimentacion y bebidas,87.17224546
2000,Alimentacion y bebidas,85.0132161
2001,Alimentacion y bebidas,84.2907101
2002,Alimentacion y bebidas,90.13357953
2003,Alimentacion y bebidas,94.66786355
2004,Alimentacion y bebidas,95.18167896
2005,Alimentacion y bebidas,96.33091311
2006,Alimentacion y bebidas,97.39511994
2007,Alimentacion y bebidas,102.3948974
2008,Alimentacion y bebidas,108.5942719
2009,Alimentacion y bebidas,107.7433816
2010,Alimentacion y bebidas,117.3828786
2011,Alimentacion y bebidas,122.3133762
2012,Alimentacion y bebidas,125.5115796
2013,Alimentacion y bebidas,123.307005
2014,Alimentacion y bebidas,124.7078808
2015,Alimentacion y bebidas,125.065246
2016,Alimentacion y bebidas,122.3185168
2017,Alimentacion y bebidas,118.8558505
2018,Alimentacion y bebidas,116.6179964
2019,Alimentacion y bebidas,118.6871031
2020,Alimentacion y bebidas,122.9545455
2021,Alimentacion y bebidas,122.9458256
2022,Alimentacion y bebidas,123.7708989
1947,Indumentaria,94.45327379
1948,Indumentaria,99.38501881
1949,Indumentaria,107.9117737
1950,Indumentaria,104.5911102
1951,Indumentaria,112.6106768
1952,Indumentaria,109.7150786
1953,Indumentaria,113.2698429
1954,Indumentaria,121.6192815
1955,Indumentaria,123.7093973
1956,Indumentaria,118.7881527
1957,Indumentaria,107.1071173
1958,Indumentaria,99.55377116
1959,Indumentaria,82.9252504
1960,Indumentaria,93.30846
1961,Indumentaria,101.624737
1962,Indumentaria,97.95679932
1963,Indumentaria,98.67472188
1964,Indumentaria,96.72365353
1965,Indumentaria,96.82351628
1966,Indumentaria,98.39536104
1967,Indumentaria,98.09627913
1968,Indumentaria,96.55903716
1969,Indumentaria,99.15712678
1970,Indumentaria,95.51059508
1971,Indumentaria,83.49831918
1972,Indumentaria,82.03816954
1973,Indumentaria,80.3325443
1974,Indumentaria,100.0
1975,Indumentaria,92.28567825
1976,Indumentaria,74.70733631
