rubro,periodo,porcentaje
Alimentos y bebidas no alcohólicas,1996-1997,0.288
Bebidas alcohólicas y tabaco,1996-1997,0.025
Bienes y servicios varios,1996-1997,0.045
Comunicaciones,1996-1997,0.026
Educación,1996-1997,0.026
Equipamiento y mantenimiento del hogar,1996-1997,0.067
Prendas de vestir y calzado,1996-1997,0.072
Recreación y cultura,1996-1997,0.081
Restaurantes y hoteles,1996-1997,0.051
Salud,1996-1997,0.082
Total gasto de consumo,1996-1997,1.0
Transporte,1996-1997,0.112
"Vivienda, agua, electricidad, gas y otros combustibles",1996-1997,0.128
Alimentos y bebidas no alcohólicas,2004-2005,0.257
Bebidas alcohólicas y tabaco,2004-2005,0.025
Bienes y servicios varios,2004-2005,0.049
Comunicaciones,2004-2005,0.04
Educación,2004-2005,0.023
Equipamiento y mantenimiento del hogar,2004-2005,0.072
Prendas de vestir y calzado,2004-2005,0.081
Recreación y cultura,2004-2005,0.089
Restaurantes y hoteles,2004-2005,0.068
Salud,2004-2005,0.074
Total gasto de consumo,2004-2005,1.0
Transporte,2004-2005,0.116
"Vivienda, agua, electricidad, gas y otros combustibles",2004-2005,0.106
Alimentos y bebidas no alcohólicas,2017-2018,0.226
Bebidas alcohólicas y tabaco,2017-2018,0.019
Bienes y servicios varios,2017-2018,0.044
Comunicaciones,2017-2018,0.052
Educación,2017-2018,0.031
Equipamiento y mantenimiento del hogar,2017-2018,0.054
Prendas de vestir y calzado,2017-2018,0.068
Recreación y cultura,2017-2018,0.087
Restaurantes y hoteles,2017-2018,0.066
Salud,2017-2018,0.064
Total gasto de consumo,2017-2018,1.0
Transporte,2017-2018,0.142
"Vivienda, agua, electricidad, gas y otros combustibles",2017-2018,0.145
