anio,tasa_inflacion,tasa_inflacion_valores_positivos
1935,14.0880503144654,14.0880503144654
1936,0.0,
1937,2.31532524807054,2.31532524807054
1938,-0.646551724137934,
1939,5.9652928416486,5.9652928416486
1940,-3.58239508700102,
1941,11.2526539278131,11.2526539278131
1942,3.33094555873927,3.33094555873927
1943,-1.76776429809355,
1944,3.8814396612562,3.8814396612562
1945,22.554347826087,22.554347826087
1946,18.7361419068736,18.7361419068736
1947,14.895057549086,14.895057549086
1948,18.856806128462,18.856806128462
1949,34.0314460345671,34.0314460345671
1950,22.2656141712638,22.2656141712638
1951,50.1597990395997,50.1597990395997
1952,19.1489033745274,19.1489033745274
1953,-0.714265913168155,
1954,16.0071860663068,16.0071860663068
1955,7.44185950558143,7.44185950558143
1956,16.7388200636793,16.7388200636793
1957,25.4635383009395,25.4635383009395
1958,50.8374332716109,50.8374332716109
1959,101.632917622989,101.632917622989
1960,12.1153201613103,12.1153201613103
1961,18.7807019698515,18.7807019698515
1962,31.7684260065887,31.7684260065887
1963,27.6721408120877,27.6721408120877
1964,18.1029503223632,18.1029503223632
1965,38.1983095694178,38.1983095694178
1966,29.9361207783701,29.9361207783701
1967,27.3519552464436,27.3519552464436
1968,9.56308072510541,9.56308072510541
1969,6.66239587738677,6.66239587738677
1970,21.7417420500902,21.7417420500902
1971,39.1218545255026,39.1218545255026
1972,64.1489365292724,64.1489365292724
1973,43.7675523128122,43.7675523128122
1974,40.082644677115,40.082644677115
1975,335.017430854694,335.017430854694
1976,347.550826697777,347.550826697777
1977,160.434733492235,160.434733492235
1978,169.844354993223,169.844354993223
1979,139.735590158065,139.735590158065
1980,87.6348507967084,87.6348507967084
1981,131.272234124098,131.272234124098
1982,209.735784276232,209.735784276232
1983,433.702460880802,433.702460880802
1984,687.967290920794,687.967290920794
1985,385.417752703866,385.417752703866
1986,81.9064467347781,81.9064467347781
1987,174.79389351399,174.79389351399
1988,387.720173408511,387.720173408511
1989,4923.72230860592,4923.72230860592
1990,1343.92085423,1343.92085423
1991,83.9869305883211,83.9869305883211
1992,17.545874354603,17.545874354603
1993,7.36498114422282,7.36498114422282
1994,3.85438089031496,3.85438089031496
1995,1.607754177045,1.607754177045
1996,0.054311344654056,0.054311344654056
1997,0.327996924641338,0.327996924641338
1998,0.664478929121004,0.664478929121004
1999,-1.81046644835473,
2000,-0.73369945312316,
2001,-1.54342782205186,
2002,40.952868852459,40.952868852459
2003,3.65632041869595,3.65632041869595
2004,6.10098176718095,6.10098176718095
2005,12.3265036351619,12.3265036351619
2006,9.83818770226537,9.83818770226537
2017,25.0392,25.0392
2018,47.1043480764433,47.1043480764433
2007,21.5205780710022,21.5205780710022
2008,20.5985005170631,20.5985005170631
2009,18.4736588241599,18.4736588241599
2010,27.0288609427305,27.0288609427305
2011,23.2755243759125,23.2755243759125
2012,23.006037496028,23.006037496028
2013,31.9438247105517,31.9438247105517
2014,39.0082409269708,39.0082409269708
2015,31.5689061319607,31.5689061319607
2016,31.4284602059287,31.4284602059287
2019,53.8324020163339,53.8324020163339
2020,36.1405878123454,36.1405878123454
2021,50.9416335434663,50.9416335434663
2022,94.7931823351918,94.7931823351918
2023,211.407643747177,211.407643747177
