year,semestre,proporcion
2003,2,0.83448988
2004,1,0.86979431
2004,2,0.83938098
2005,1,0.85292608
2005,2,0.86060274
2006,1,0.86137855
2006,2,0.86484468
2007,1,0.85759294
2007,2,0.84708565
2008,1,0.85633016
2008,2,0.84598434
2009,1,0.85154271
2009,2,0.84911126
2010,1,0.84853339
2010,2,0.84935266
2011,1,0.84408021
2011,2,0.84314555
2012,1,0.84370559
2012,2,0.84162307
2013,1,0.83582205
2013,2,0.83463717
2014,1,0.82449538
2014,2,0.8219654
2015,1,0.81416708
2015,2,
2016,1,
2016,2,0.79140252
2017,1,0.79078764
2017,2,0.79113472
2018,1,0.78741938
2018,2,0.77866054
2019,1,0.77605569
2019,2,0.76410025
2020,1,0.74295622
2020,2,0.73473763
2021,1,0.79624498
2021,2,0.80232561
2022,1,0.79362082
2022,2,0.80095458
2023,1,0.79830462
2023,2,0.79993963
2024,1,0.79706401
