"year","semestre","decil","fuente","proporcion"
"2025","2","Decil 1","Ingreso laboral","0.61390"
"2025","2","Decil 2","Ingreso laboral","0.71582"
"2025","2","Decil 3","Ingreso laboral","0.77398"
"2025","2","Decil 4","Ingreso laboral","0.80970"
"2025","2","Decil 5","Ingreso laboral","0.79863"
"2025","2","Decil 6","Ingreso laboral","0.83227"
"2025","2","Decil 7","Ingreso laboral","0.84550"
"2025","2","Decil 8","Ingreso laboral","0.84837"
"2025","2","Decil 9","Ingreso laboral","0.85482"
"2025","2","Decil 10","Ingreso laboral","0.81419"
"2025","2","Decil 1","Ingreso de capital","0.00083"
"2025","2","Decil 2","Ingreso de capital","0.00164"
"2025","2","Decil 3","Ingreso de capital","0.00334"
"2025","2","Decil 4","Ingreso de capital","0.00145"
"2025","2","Decil 5","Ingreso de capital","0.00283"
"2025","2","Decil 6","Ingreso de capital","0.00415"
"2025","2","Decil 7","Ingreso de capital","0.00554"
"2025","2","Decil 8","Ingreso de capital","0.00724"
"2025","2","Decil 9","Ingreso de capital","0.01054"
"2025","2","Decil 10","Ingreso de capital","0.02933"
"2025","2","Decil 1","Ingreso de jubilaciones","0.13105"
"2025","2","Decil 2","Ingreso de jubilaciones","0.13170"
"2025","2","Decil 3","Ingreso de jubilaciones","0.10469"
"2025","2","Decil 4","Ingreso de jubilaciones","0.11102"
"2025","2","Decil 5","Ingreso de jubilaciones","0.14237"
"2025","2","Decil 6","Ingreso de jubilaciones","0.12524"
"2025","2","Decil 7","Ingreso de jubilaciones","0.11256"
"2025","2","Decil 8","Ingreso de jubilaciones","0.11163"
"2025","2","Decil 9","Ingreso de jubilaciones","0.11251"
"2025","2","Decil 10","Ingreso de jubilaciones","0.09114"
"2025","2","Decil 1","Ingreso de transferencias estatales","0.22221"
"2025","2","Decil 2","Ingreso de transferencias estatales","0.12389"
"2025","2","Decil 3","Ingreso de transferencias estatales","0.09826"
"2025","2","Decil 4","Ingreso de transferencias estatales","0.05551"
"2025","2","Decil 5","Ingreso de transferencias estatales","0.03498"
"2025","2","Decil 6","Ingreso de transferencias estatales","0.01801"
"2025","2","Decil 7","Ingreso de transferencias estatales","0.01415"
"2025","2","Decil 8","Ingreso de transferencias estatales","0.00549"
"2025","2","Decil 9","Ingreso de transferencias estatales","0.00262"
"2025","2","Decil 10","Ingreso de transferencias estatales","0.00145"
"2025","2","Decil 1","Otros ingresos","0.03201"
"2025","2","Decil 2","Otros ingresos","0.02695"
"2025","2","Decil 3","Otros ingresos","0.01972"
"2025","2","Decil 4","Otros ingresos","0.02232"
"2025","2","Decil 5","Otros ingresos","0.02118"
"2025","2","Decil 6","Otros ingresos","0.02033"
"2025","2","Decil 7","Otros ingresos","0.02224"
"2025","2","Decil 8","Otros ingresos","0.02727"
"2025","2","Decil 9","Otros ingresos","0.01951"
"2025","2","Decil 10","Otros ingresos","0.06390"
