"year","semestre","fuente","indice"
"2003","2","Ingreso de capital","100"
"2004","1","Ingreso de capital","48.225368"
"2004","2","Ingreso de capital","66.618523"
"2005","1","Ingreso de capital","49.917889"
"2005","2","Ingreso de capital","51.924545"
"2006","1","Ingreso de capital","62.176537"
"2006","2","Ingreso de capital","60.751003"
"2007","1","Ingreso de capital","65.997818"
"2007","2","Ingreso de capital","130.98131"
"2008","1","Ingreso de capital","76.747734"
"2008","2","Ingreso de capital","106.17968"
"2009","1","Ingreso de capital","53.176109"
"2009","2","Ingreso de capital","58.411671"
"2010","1","Ingreso de capital","58.601681"
"2010","2","Ingreso de capital","67.973679"
"2011","1","Ingreso de capital","55.857861"
"2011","2","Ingreso de capital","60.991348"
"2012","1","Ingreso de capital","47.185162"
"2012","2","Ingreso de capital","52.274761"
"2013","1","Ingreso de capital","48.710766"
"2013","2","Ingreso de capital","53.1455"
"2014","1","Ingreso de capital","51.840263"
"2014","2","Ingreso de capital","34.886986"
"2015","1","Ingreso de capital","60.468239"
"2015","2","Ingreso de capital",
"2016","1","Ingreso de capital",
"2016","2","Ingreso de capital","60.292698"
"2017","1","Ingreso de capital","61.009003"
"2017","2","Ingreso de capital","72.93161"
"2018","1","Ingreso de capital","88.802101"
"2018","2","Ingreso de capital","75.74292"
"2019","1","Ingreso de capital","93.180473"
"2019","2","Ingreso de capital","98.310539"
"2020","1","Ingreso de capital","51.045612"
"2020","2","Ingreso de capital","48.666714"
"2021","1","Ingreso de capital","52.226955"
"2021","2","Ingreso de capital","55.135529"
"2022","1","Ingreso de capital","58.434593"
"2022","2","Ingreso de capital","45.913609"
"2023","1","Ingreso de capital","61.697205"
"2023","2","Ingreso de capital","80.596008"
"2024","1","Ingreso de capital","96.073952"
"2003","2","Ingreso de jubilaciones","100"
"2004","1","Ingreso de jubilaciones","85.077866"
"2004","2","Ingreso de jubilaciones","107.4907"
"2005","1","Ingreso de jubilaciones","106.45668"
"2005","2","Ingreso de jubilaciones","108.71349"
"2006","1","Ingreso de jubilaciones","111.25806"
"2006","2","Ingreso de jubilaciones","123.80179"
"2007","1","Ingreso de jubilaciones","131.67723"
"2007","2","Ingreso de jubilaciones","126.39001"
"2008","1","Ingreso de jubilaciones","135.29648"
"2008","2","Ingreso de jubilaciones","138.12933"
"2009","1","Ingreso de jubilaciones","146.12947"
"2009","2","Ingreso de jubilaciones","153.27461"
"2010","1","Ingreso de jubilaciones","148.11189"
"2010","2","Ingreso de jubilaciones","148.99471"
"2011","1","Ingreso de jubilaciones","161.92296"
"2011","2","Ingreso de jubilaciones","169.34781"
"2012","1","Ingreso de jubilaciones","177.63524"
"2012","2","Ingreso de jubilaciones","181.02299"
"2013","1","Ingreso de jubilaciones","184.03389"
"2013","2","Ingreso de jubilaciones","186.91676"
"2014","1","Ingreso de jubilaciones","182.53833"
"2014","2","Ingreso de jubilaciones","187.7726"
"2015","1","Ingreso de jubilaciones","198.14977"
"2015","2","Ingreso de jubilaciones",
"2016","1","Ingreso de jubilaciones",
"2016","2","Ingreso de jubilaciones","222.10834"
"2017","1","Ingreso de jubilaciones","231.8544"
"2017","2","Ingreso de jubilaciones","249.52827"
"2018","1","Ingreso de jubilaciones","252.42078"
"2018","2","Ingreso de jubilaciones","217.20992"
"2019","1","Ingreso de jubilaciones","210.19887"
"2019","2","Ingreso de jubilaciones","211.59122"
"2020","1","Ingreso de jubilaciones","217.68845"
"2020","2","Ingreso de jubilaciones","187.63397"
"2021","1","Ingreso de jubilaciones","173.01935"
"2021","2","Ingreso de jubilaciones","173.319"
"2022","1","Ingreso de jubilaciones","173.14346"
"2022","2","Ingreso de jubilaciones","157.93365"
"2023","1","Ingreso de jubilaciones","163.89021"
"2023","2","Ingreso de jubilaciones","149.53992"
"2024","1","Ingreso de jubilaciones","124.94817"
"2003","2","Ingreso de transferencias estatales","100"
"2004","1","Ingreso de transferencias estatales","71.499992"
"2004","2","Ingreso de transferencias estatales","83.696152"
"2005","1","Ingreso de transferencias estatales","86.28112"
"2005","2","Ingreso de transferencias estatales","100.0377"
"2006","1","Ingreso de transferencias estatales","87.401596"
"2006","2","Ingreso de transferencias estatales","106.19733"
"2007","1","Ingreso de transferencias estatales","96.040649"
"2007","2","Ingreso de transferencias estatales","91.066788"
"2008","1","Ingreso de transferencias estatales","88.564178"
"2008","2","Ingreso de transferencias estatales","98.823601"
"2009","1","Ingreso de transferencias estatales","100.87595"
"2009","2","Ingreso de transferencias estatales","108.80907"
"2010","1","Ingreso de transferencias estatales","141.6187"
"2010","2","Ingreso de transferencias estatales","157.82855"
"2011","1","Ingreso de transferencias estatales","145.45476"
"2011","2","Ingreso de transferencias estatales","158.13179"
"2012","1","Ingreso de transferencias estatales","143.55003"
"2012","2","Ingreso de transferencias estatales","128.51201"
"2013","1","Ingreso de transferencias estatales","133.31279"
"2013","2","Ingreso de transferencias estatales","157.56921"
"2014","1","Ingreso de transferencias estatales","150.17113"
"2014","2","Ingreso de transferencias estatales","170.72278"
"2015","1","Ingreso de transferencias estatales","163.76834"
"2015","2","Ingreso de transferencias estatales",
"2016","1","Ingreso de transferencias estatales",
"2016","2","Ingreso de transferencias estatales","166.83759"
"2017","1","Ingreso de transferencias estatales","175.72717"
"2017","2","Ingreso de transferencias estatales","177.89706"
"2018","1","Ingreso de transferencias estatales","162.54991"
"2018","2","Ingreso de transferencias estatales","164.23537"
"2019","1","Ingreso de transferencias estatales","173.25703"
"2019","2","Ingreso de transferencias estatales","184.33752"
"2020","1","Ingreso de transferencias estatales","344.95392"
"2020","2","Ingreso de transferencias estatales","551.76221"
"2021","1","Ingreso de transferencias estatales","198.55128"
"2021","2","Ingreso de transferencias estatales","214.06189"
"2022","1","Ingreso de transferencias estatales","249.69194"
"2022","2","Ingreso de transferencias estatales","250.755"
"2023","1","Ingreso de transferencias estatales","225.31618"
"2023","2","Ingreso de transferencias estatales","215.19875"
"2024","1","Ingreso de transferencias estatales","203.45343"
"2003","2","Otros ingresos","100"
"2004","1","Otros ingresos","109.43665"
"2004","2","Otros ingresos","160.86842"
"2005","1","Otros ingresos","132.2753"
"2005","2","Otros ingresos","146.08443"
"2006","1","Otros ingresos","155.62263"
"2006","2","Otros ingresos","151.83405"
"2007","1","Otros ingresos","165.28506"
"2007","2","Otros ingresos","143.07407"
"2008","1","Otros ingresos","154.18883"
"2008","2","Otros ingresos","189.43748"
"2009","1","Otros ingresos","177.18369"
"2009","2","Otros ingresos","159.27965"
"2010","1","Otros ingresos","168.12054"
"2010","2","Otros ingresos","146.78355"
"2011","1","Otros ingresos","177.4407"
"2011","2","Otros ingresos","191.95876"
"2012","1","Otros ingresos","168.37933"
"2012","2","Otros ingresos","155.53908"
"2013","1","Otros ingresos","173.00484"
"2013","2","Otros ingresos","149.82213"
"2014","1","Otros ingresos","172.71588"
"2014","2","Otros ingresos","143.53178"
"2015","1","Otros ingresos","146.23608"
"2015","2","Otros ingresos",
"2016","1","Otros ingresos",
"2016","2","Otros ingresos","206.46074"
"2017","1","Otros ingresos","190.12723"
"2017","2","Otros ingresos","180.14705"
"2018","1","Otros ingresos","203.41785"
"2018","2","Otros ingresos","273.59393"
"2019","1","Otros ingresos","214.37341"
"2019","2","Otros ingresos","220.17667"
"2020","1","Otros ingresos","141.88594"
"2020","2","Otros ingresos","134.52138"
"2021","1","Otros ingresos","130.3326"
"2021","2","Otros ingresos","98.100189"
"2022","1","Otros ingresos","126.24413"
"2022","2","Otros ingresos","113.02316"
"2023","1","Otros ingresos","125.85421"
"2023","2","Otros ingresos","116.75323"
"2024","1","Otros ingresos","105.24741"
