"geocodigoFundar","geonombreFundar","year","ipcf_promedio"
"LAC","América Latina y el Caribe","1992","360.87642"
"LAC","América Latina y el Caribe","1993","383.38910"
"LAC","América Latina y el Caribe","1994","395.16769"
"LAC","América Latina y el Caribe","1995","409.44093"
"LAC","América Latina y el Caribe","1996","405.02824"
"LAC","América Latina y el Caribe","1997","414.47494"
"LAC","América Latina y el Caribe","1998","422.53116"
"LAC","América Latina y el Caribe","1999","409.46636"
"LAC","América Latina y el Caribe","2000","428.95208"
"LAC","América Latina y el Caribe","2001","430.20597"
"LAC","América Latina y el Caribe","2002","428.32293"
"LAC","América Latina y el Caribe","2003","432.34669"
"LAC","América Latina y el Caribe","2004","441.53048"
"LAC","América Latina y el Caribe","2005","464.91500"
"LAC","América Latina y el Caribe","2006","497.61549"
"LAC","América Latina y el Caribe","2007","518.79723"
"LAC","América Latina y el Caribe","2008","534.68373"
"LAC","América Latina y el Caribe","2009","534.41993"
"LAC","América Latina y el Caribe","2010","551.82531"
"LAC","América Latina y el Caribe","2011","573.67481"
"LAC","América Latina y el Caribe","2012","594.59034"
"LAC","América Latina y el Caribe","2013","609.20101"
"LAC","América Latina y el Caribe","2014","608.71838"
"LAC","América Latina y el Caribe","2015","623.67093"
"LAC","América Latina y el Caribe","2016","627.34736"
"LAC","América Latina y el Caribe","2017","630.13164"
"LAC","América Latina y el Caribe","2018","636.07855"
"LAC","América Latina y el Caribe","2019","637.07016"
"LAC","América Latina y el Caribe","2020","603.84053"
"LAC","América Latina y el Caribe","2021","607.56393"
"LAC","América Latina y el Caribe","2022","642.80090"
"LAC","América Latina y el Caribe","2023","668.19984"
"LAC","América Latina y el Caribe","2024","693.86683"
"ARG","Argentina","1992","764.15602"
"ARG","Argentina","1993","765.76307"
"ARG","Argentina","1994","756.54269"
"ARG","Argentina","1995","718.69117"
"ARG","Argentina","1996","704.07929"
"ARG","Argentina","1997","737.71620"
"ARG","Argentina","1998","716.33506"
"ARG","Argentina","1999","682.83915"
"ARG","Argentina","2000","667.89546"
"ARG","Argentina","2001","615.12770"
"ARG","Argentina","2002","432.05125"
"ARG","Argentina","2003","610.77949"
"ARG","Argentina","2004","658.37280"
"ARG","Argentina","2005","724.19031"
"ARG","Argentina","2006","802.83505"
"ARG","Argentina","2007","828.12395"
"ARG","Argentina","2008","847.59416"
"ARG","Argentina","2009","877.21650"
"ARG","Argentina","2010","904.05379"
"ARG","Argentina","2011","961.62247"
"ARG","Argentina","2012","953.00338"
"ARG","Argentina","2013","953.77851"
"ARG","Argentina","2014","889.56061"
"ARG","Argentina","2015","921.80000"
"ARG","Argentina","2016","923.03450"
"ARG","Argentina","2017","966.38117"
"ARG","Argentina","2018","870.95205"
"ARG","Argentina","2019","848.16822"
"ARG","Argentina","2020","739.89929"
"ARG","Argentina","2021","803.91908"
"ARG","Argentina","2022","759.27541"
"ARG","Argentina","2023","760.06585"
"ARG","Argentina","2024","788.69486"
